,Date,Open,High,Low,Close,Volume
4,204.3,205,202.12,"18,612,770",04/26/2019,204.9
5,205.28,207.76,205.12,"18,463,850",04/25/2019,206.83
6,207.16,208.48,207.05,"17,427,570",04/24/2019,207.36
7,207.48,207.75,203.9,"23,286,380",04/23/2019,204.43
8,204.53,204.94,202.34,"17,841,920",04/22/2019,202.83
9,203.86,204.15,202.52,"24,185,530",04/18/2019,203.12
10,203.13,203.38,198.61,"28,865,310",04/17/2019,199.54
11,199.25,201.37,198.56,"25,668,330",04/16/2019,199.46
12,199.23,199.85,198.01,"17,524,150",04/15/2019,198.58
13,198.87,200.14,196.21,"27,738,580",04/12/2019,199.2
14,198.95,201,198.4431,"20,543,190",04/11/2019,200.85
15,200.62,200.74,198.18,"21,654,750",04/10/2019,198.68
16,199.5,202.85,199.23,"35,738,280",04/09/2019,200.32
17,200.1,200.23,196.34,"25,829,880",04/08/2019,196.42
18,197,197.1,195.93,"18,473,070",04/05/2019,196.45
19,195.69,196.37,193.14,"19,090,050",04/04/2019,194.79
20,195.35,196.5,193.15,"23,243,160",04/03/2019,193.25
21,194.02,194.46,191.05,"22,727,370",04/02/2019,191.09
22,191.24,191.68,188.38,"27,308,200",04/01/2019,191.64
23,189.95,190.08,188.54,"23,524,830",03/29/2019,189.83
24,188.72,189.559,187.53,"20,710,390",03/28/2019,188.95
25,188.47,189.76,186.55,"29,771,210",03/27/2019,188.75
26,186.79,192.88,184.58,"49,696,100",03/26/2019,191.664
27,188.74,191.98,186.6,"43,751,810",03/25/2019,191.51
28,191.05,197.69,190.78,"42,287,640",03/22/2019,195.34
29,195.09,196.33,189.81,"50,943,120",03/21/2019,190.02
30,188.16,189.49,184.73,"31,003,380",03/20/2019,186.23
31,186.53,188.99,185.92,"31,440,300",03/19/2019,188.35
32,188.02,188.39,185.79,"26,148,590",03/18/2019,185.8
33,186.12,187.33,183.74,"39,017,490",03/15/2019,184.85
34,183.73,184.1,182.56,"23,527,660",03/14/2019,183.9
35,181.71,183.3,180.92,"30,929,740",03/13/2019,182.25
36,180.91,182.67,179.37,"32,416,800",03/12/2019,180
37,178.9,179.12,175.35,"31,123,000",03/11/2019,175.49
38,172.91,173.07,169.5,"23,985,960",03/08/2019,170.32
39,172.5,174.44,172.02,"24,755,470",03/07/2019,173.87
40,174.52,175.49,173.94,"20,755,140",03/06/2019,174.67
41,175.53,176,174.54,"19,238,480",03/05/2019,175.94
42,175.85,177.75,173.97,"27,413,060",03/04/2019,175.69
43,174.97,175.15,172.89,"25,737,560",03/01/2019,174.28
44,173.15,174.91,172.92,"27,953,810",02/28/2019,174.32
45,174.87,175,172.73,"27,817,640",02/27/2019,173.21
46,174.33,175.3,173.1732,"16,991,610",02/26/2019,173.71
47,174.23,175.87,173.95,"21,846,400",02/25/2019,174.16
48,172.97,173,171.38,"18,890,250",02/22/2019,171.58
49,171.06,172.37,170.3,"17,154,540",02/21/2019,171.8
50,172.03,173.32,170.99,"25,323,890",02/20/2019,171.19
51,170.93,171.44,169.49,"18,958,570",02/19/2019,169.71
52,170.42,171.7,169.75,"24,603,320",02/15/2019,171.25
53,170.8,171.2615,169.38,"21,785,180",02/14/2019,169.71
54,170.18,172.48,169.92,"22,389,660",02/13/2019,171.39
55,170.89,171,169.7,"22,224,400",02/12/2019,170.1
56,169.43,171.21,169.25,"20,940,020",02/11/2019,171.05
57,170.41,170.66,168.42,"23,793,830",02/08/2019,168.99
58,170.94,173.94,170.34,"31,644,240",02/07/2019,172.4
59,174.24,175.57,172.8531,"28,204,640",02/06/2019,174.65
60,174.18,175.08,172.3501,"36,054,570",02/05/2019,172.86
61,171.25,171.655,167.28,"31,384,720",02/04/2019,167.41
62,166.52,168.98,165.93,"32,644,590",02/01/2019,166.96
63,166.44,169,164.56,"40,613,260",01/31/2019,166.11
64,165.25,166.15,160.23,"60,800,480",01/30/2019,163.25
65,154.68,158.13,154.11,"39,914,850",01/29/2019,156.25
66,156.3,156.33,153.66,"26,147,280",01/28/2019,155.79
