,Date,Open,High,Low,Close,Volume
4,11/02/2018,91.71,91.98,88.06,88.57,"989,524"
5,11/01/2018,88.44,91.17,88.39,90.92,"927,821"
6,10/31/2018,88.01,89.22,87.13,88.0,"960,952"
7,10/30/2018,86.34,87.68,85.81,87.61,"1,094,851"
8,10/29/2018,85.91,87.73,84.88,85.99,"777,104"
9,10/26/2018,84.94,86.12,83.07,84.72,"1,017,244"
10,10/25/2018,84.63,87.3,83.58,85.72,"2,680,753"
11,10/24/2018,89.84,90.19,84.33,84.49,"2,792,463"
12,10/23/2018,88.95,90.74,87.49,90.28,"940,609"
13,10/22/2018,92.96,93.5,89.65,90.22,"1,244,813"
14,10/19/2018,93.29,94.85,92.44,92.8,"1,100,544"
15,10/18/2018,93.96,94.28,92.54,93.38,"880,371"
16,10/17/2018,92.77,94.57,92.5,93.76,"1,470,281"
17,10/16/2018,90.03,93.22,89.49,92.57,"2,020,218"
18,10/15/2018,88.07,90.54,88.07,89.54,"946,937"
19,10/12/2018,88.25,88.78,86.76,88.48,"1,144,241"
20,10/11/2018,90.53,90.79,86.87,87.31,"1,575,398"
21,10/10/2018,91.05,92.8307,90.81,90.84,"1,651,815"
22,10/09/2018,91.49,91.8,90.435,90.92,"1,157,748"
23,10/08/2018,90.6,92.245,90.6,91.29,"1,163,411"
24,10/05/2018,91.01,92.1907,89.91,90.58,"1,178,982"
25,10/04/2018,91.36,92.57,90.81,91.04,"1,300,401"
26,10/03/2018,92.05,92.71,90.83,91.03,"1,325,019"
27,10/02/2018,92.51,93.16,91.39,91.4,"1,167,487"
28,10/01/2018,92.75,93.94,92.3,92.79,"1,220,439"
29,09/28/2018,91.12,92.51,90.53,92.22,"1,090,441"
30,09/27/2018,90.34,91.49,90.34,91.15,"938,930"
31,09/26/2018,89.61,91.4822,89.61,90.31,"1,298,783"
32,09/25/2018,89.68,90.58,89.43,89.52,"909,779"
33,09/24/2018,89.63,90.19,88.44,89.57,"965,413"
34,09/21/2018,91.16,91.7,89.62,90.13,"1,812,416"
35,09/20/2018,89.79,91.45,89.79,91.06,"1,031,369"
36,09/19/2018,87.45,89.89,87.13,89.39,"1,393,183"
37,09/18/2018,86.56,88.06,86.32,87.33,"1,001,766"
38,09/17/2018,86.02,87.39,85.36,86.76,"1,004,869"
39,09/14/2018,86.19,87.38,85.64,85.84,"1,159,935"
40,09/13/2018,85.72,86.27,85.15,85.93,"1,093,387"
41,09/12/2018,83.73,85.43,83.39,85.21,"1,308,232"
42,09/11/2018,87.25,87.81,83.96,84.1,"2,498,706"
43,09/10/2018,88.71,89.48,88.2,88.33,"981,518"
44,09/07/2018,88.3,89.26,87.79,88.64,"951,745"
45,09/06/2018,89.61,89.92,87.6,88.38,"1,329,701"
46,09/05/2018,88.64,89.539,88.3,89.44,"1,063,249"
47,09/04/2018,89.53,89.6,88.01,89.17,"1,021,069"
48,08/31/2018,89.7,90.04,89.17,89.97,"884,129"
49,08/30/2018,88.9,90.39,88.32,90.06,"1,446,375"
50,08/29/2018,88.67,89.43,87.78,89.26,"792,255"
51,08/28/2018,88.81,88.97,87.9,88.87,"578,870"
52,08/27/2018,88.63,89.65,88.23,88.46,"786,693"
53,08/24/2018,88.6,88.98,87.92,88.33,"626,722"
54,08/23/2018,88.23,88.59,87.52,88.28,"835,975"
55,08/22/2018,87.93,88.38,87.03,88.15,"550,376"
56,08/21/2018,88.35,88.831,87.93,87.99,"769,368"
57,08/20/2018,87.71,88.66,87.71,88.27,"867,592"
58,08/17/2018,86.38,88.47,86.38,87.72,"1,298,899"
59,08/16/2018,85.98,87.29,84.77,86.82,"1,811,939"
60,08/15/2018,83.94,85.15,83.01,85.12,"1,377,130"
61,08/14/2018,83.15,85.13,83.12,84.43,"1,182,478"
62,08/13/2018,82.0,83.27,81.9,83.06,"1,245,099"
63,08/10/2018,83.0,83.08,81.65,81.98,"1,254,850"
64,08/09/2018,82.72,84.52,82.35,83.24,"1,305,359"
65,08/08/2018,83.24,83.56,81.478,82.66,"1,447,362"
66,08/07/2018,82.01,84.81,81.52,83.44,"1,581,625"
67,08/06/2018,80.25,82.72,80.07,82.14,"1,966,783"
68,08/03/2018,78.98,81.34,78.22,80.97,"1,937,505"
69,08/02/2018,78.0,79.67,77.28,78.98,"3,712,164"
