,Date,Open,High,Low,Close,Volume
4,10/12/2018,69.37,69.98,68.6,69.33,"10,345,620"
5,10/11/2018,68.92,69.465,67.65,68.38,"11,920,150"
6,10/10/2018,71.05,71.21,68.78,68.92,"10,551,600"
7,10/09/2018,71.24,71.59,70.87,71.29,"4,812,290"
8,10/08/2018,71.58,72.39,70.6,71.44,"5,512,103"
9,10/05/2018,71.82,72.46,71.045,71.58,"5,412,028"
10,10/04/2018,71.77,71.87,71.07,71.82,"6,130,861"
11,10/03/2018,73.81,73.9,71.9,72.04,"7,477,162"
12,10/02/2018,74.0,74.05,73.42,73.81,"6,149,768"
13,10/01/2018,73.81,74.15,73.54,74.12,"7,196,441"
14,09/28/2018,72.7822,73.58,72.7722,73.36,"6,572,057"
15,09/27/2018,73.02,73.18,72.689,73.02,"5,476,979"
16,09/26/2018,72.06,73.29,71.98,72.84,"8,787,942"
17,09/25/2018,71.74,72.23,71.41,72.2,"8,157,981"
18,09/24/2018,70.79,71.68,70.32,71.44,"10,088,550"
19,09/21/2018,68.9,69.25,68.88,69.05,"9,182,785"
20,09/20/2018,68.63,69.01,68.4,68.79,"4,752,780"
21,09/19/2018,68.52,68.96,68.39,68.5,"3,376,509"
22,09/18/2018,67.76,68.57,67.76,68.41,"4,700,343"
23,09/17/2018,68.42,68.42,67.51,67.67,"4,255,490"
24,09/14/2018,68.51,68.82,68.36,68.42,"4,163,500"
25,09/13/2018,67.23,68.54,67.15,68.5,"6,023,116"
26,09/12/2018,66.6,67.12,66.6,66.97,"3,222,286"
27,09/11/2018,66.38,66.82,66.115,66.6,"3,185,055"
28,09/10/2018,66.45,66.93,66.44,66.55,"3,449,325"
29,09/07/2018,65.79,66.46,65.69,66.21,"4,060,677"
30,09/06/2018,66.01,66.2,65.22,65.83,"7,269,185"
31,09/05/2018,66.96,66.96,65.54,66.0,"6,545,090"
32,09/04/2018,66.74,67.11,66.565,67.11,"4,898,932"
33,08/31/2018,66.96,67.2369,66.59,66.84,"5,893,874"
34,08/30/2018,66.94,67.305,66.751,67.02,"4,136,486"
35,08/29/2018,66.72,67.355,66.63,67.13,"4,445,959"
36,08/28/2018,67.03,67.11,66.67,66.79,"4,089,337"
37,08/27/2018,66.45,66.89,66.33,66.84,"3,446,999"
38,08/24/2018,65.9,66.26,65.79,66.1,"3,831,212"
39,08/23/2018,65.67,66.17,65.64,65.83,"4,427,911"
40,08/22/2018,64.51,65.815,64.4769,65.67,"5,203,299"
41,08/21/2018,64.91,65.07,64.5,64.75,"4,032,207"
42,08/20/2018,65.0,65.13,64.375,64.64,"5,075,440"
43,08/17/2018,64.24,64.915,64.03,64.72,"4,762,957"
44,08/16/2018,63.79,64.34,63.6,64.16,"3,692,688"
45,08/15/2018,63.45,63.56,63.07,63.47,"3,692,407"
46,08/14/2018,63.45,63.92,63.385,63.63,"3,246,367"
47,08/13/2018,64.02,64.32,63.36,63.43,"4,377,174"
48,08/10/2018,64.44,64.6,63.87,64.03,"3,839,755"
49,08/09/2018,64.79,65.065,64.58,64.64,"2,431,687"
50,08/08/2018,64.74,65.31,64.555,64.84,"4,103,091"
51,08/07/2018,65.18,65.32,64.73,64.74,"3,325,620"
52,08/06/2018,65.09,65.495,64.96,65.24,"3,585,735"
53,08/03/2018,64.77,65.24,64.44,65.23,"3,945,024"
54,08/02/2018,64.5,64.78,63.91,64.58,"4,706,162"
55,08/01/2018,65.35,65.75,64.71,64.78,"4,159,589"
56,07/31/2018,65.37,65.77,65.26,65.54,"5,381,691"
57,07/30/2018,64.97,65.51,64.97,65.17,"5,088,347"
58,07/27/2018,65.51,65.8,64.96,65.26,"4,293,076"
59,07/26/2018,65.36,65.9,64.87,65.66,"5,517,000"
60,07/25/2018,64.16,65.36,64.12,65.23,"5,798,924"
61,07/24/2018,63.55,64.61,63.42,64.4,"6,378,138"
62,07/23/2018,63.26,63.29,62.87,63.2,"4,779,174"
63,07/20/2018,63.61,64.04,63.28,63.32,"5,763,742"
64,07/19/2018,64.68,64.97,63.51,63.78,"6,760,520"
65,07/18/2018,64.31,65.5,64.2,64.75,"10,498,830"
66,07/17/2018,61.84,63.26,61.55,62.8,"7,562,492"
67,07/16/2018,62.95,63.0,61.71,61.78,"5,735,776"
68,07/13/2018,62.75,63.44,62.72,63.06,"5,326,831"
69,07/12/2018,62.5,62.8,62.38,62.74,"3,736,502"
