,Date,Open,High,Low,Close,Volume
4,09/21/2018,174.75,175.64,173.87,174.19,"4,733,791"
5,09/20/2018,173.9,174.39,173.26,174.13,"1,692,976"
6,09/19/2018,172.82,173.31,171.85,173.14,"1,508,814"
7,09/18/2018,171.14,172.825,171.06,172.41,"2,032,768"
8,09/17/2018,171.45,171.72,170.76,171.04,"1,749,004"
9,09/14/2018,171.74,172.27,171.025,171.64,"2,150,625"
10,09/13/2018,171.16,172.51,170.85,172.07,"1,537,720"
11,09/12/2018,170.69,171.03,169.51,170.35,"1,741,493"
12,09/11/2018,169.71,171.01,169.2262,170.69,"1,941,262"
13,09/10/2018,169.86,171,169.45,169.55,"1,717,789"
14,09/07/2018,168.87,169.67,168.46,169.07,"1,509,934"
15,09/06/2018,168.28,169.9248,167.84,169.36,"1,812,963"
16,09/05/2018,169.05,169.29,167.5,168.64,"1,854,569"
17,09/04/2018,168.76,169.59,167.88,169.5,"1,599,902"
18,08/31/2018,168.71,169.56,168.2,169.07,"2,803,263"
19,08/30/2018,169.56,169.77,168.1326,168.63,"1,343,986"
20,08/29/2018,167.55,169.92,167.55,169.77,"1,285,870"
21,08/28/2018,167.38,167.9,166.58,167.67,"1,658,904"
22,08/27/2018,166.78,167.2539,166.14,166.87,"1,406,780"
23,08/24/2018,165.91,166.7901,165.01,165.88,"1,768,231"
24,08/23/2018,164.98,166.475,164.98,165.2,"1,288,553"
25,08/22/2018,164.69,165.86,164.34,164.92,"1,177,637"
26,08/21/2018,165.5,165.9,164.52,164.61,"1,282,088"
27,08/20/2018,165.34,165.64,164.7999,165.12,"1,202,394"
28,08/17/2018,163.47,165.17,163.06,164.89,"2,705,571"
29,08/16/2018,161.8,163.25,161.515,162.89,"1,890,941"
30,08/15/2018,160.56,161.44,159.76,160.41,"1,575,582"
31,08/14/2018,160.09,161.63,159.89,161.24,"1,574,680"
32,08/13/2018,160.73,161.9,160.05,160.23,"1,564,675"
33,08/10/2018,160.05,161.47,159.875,160.68,"1,353,743"
34,08/09/2018,161.13,161.74,160.54,160.64,"1,625,712"
35,08/08/2018,161.1,161.65,160.9001,161.14,"1,123,440"
36,08/07/2018,161.18,161.91,161,161.2,"1,344,943"
37,08/06/2018,160.27,161.01,159.58,160.58,"1,135,813"
38,08/03/2018,160.49,160.94,158.96,160.37,"1,478,506"
39,08/02/2018,158.3,160.3,157.84,160.15,"1,774,654"
40,08/01/2018,160.31,161.39,159.0899,159.71,"2,060,582"
41,07/31/2018,160.3,161.3,158.89,159.33,"2,706,083"
42,07/30/2018,162.24,162.42,158.08,159.42,"2,553,162"
43,07/27/2018,165.36,165.7499,161.11,162.02,"2,691,586"
44,07/26/2018,167.4,168.11,165.06,165.17,"2,200,429"
45,07/25/2018,165,167.12,165,167.08,"2,283,757"
46,07/24/2018,166.33,166.52,164.31,165.17,"2,496,822"
47,07/23/2018,165.93,166.45,165.51,165.96,"1,739,218"
48,07/20/2018,166.59,166.99,166.32,166.52,"1,110,210"
49,07/19/2018,166.21,167.27,165.51,166.89,"2,037,464"
50,07/18/2018,167.47,167.47,165.97,166.38,"2,166,213"
51,07/17/2018,167.08,168.95,167,168.07,"2,248,799"
52,07/16/2018,168.15,168.47,167.38,167.64,"1,520,221"
53,07/13/2018,167.75,168.5,167.63,168.09,"1,420,047"
54,07/12/2018,167.52,168.15,166.98,168.03,"1,710,302"
55,07/11/2018,165.4,167.1,164.6135,166.31,"1,286,559"
56,07/10/2018,166.5,167.77,166.34,166.46,"2,067,813"
57,07/09/2018,165,166.26,165,166.13,"1,623,888"
58,07/06/2018,164.77,165.17,163.01,164.51,"1,828,371"
59,07/05/2018,163.7,164.85,163.16,164.8,"2,406,246"
60,07/03/2018,163.91,165.4165,163.02,163.34,"1,919,106"
61,07/02/2018,161.9,163.415,161.3,163.23,"2,275,329"
62,06/29/2018,164.19,165.56,163.03,163.59,"3,369,919"
63,06/28/2018,160.49,165.56,159.7,164.5,"5,797,983"
64,06/27/2018,157.16,158.7,155.3,155.34,"3,189,517"
65,06/26/2018,156.53,157.59,156.16,156.86,"2,163,345"
66,06/25/2018,157.99,158.06,155.35,156.16,"3,134,549"
67,06/22/2018,160.5,160.5,158.44,159.63,"3,657,527"
68,06/21/2018,161.37,161.93,159.63,160.03,"1,942,307"
