,Date,Open,High,Low,Close,Volume
4,274.28,277.1,274,"2,262,838",06/14/2019,275.91
5,276.3,278.96,275.915,"1,696,743",06/13/2019,278.59
6,276.84,277.555,274.575,"1,313,852",06/12/2019,276.13
7,275.99,284.89,272.0301,"2,969,720",06/11/2019,283.91
8,280.34,284.98,280.2,"2,487,726",06/10/2019,280.98
9,278.16,282.37,275.51,"2,759,013",06/07/2019,275.87
10,274.8,275.76,271.045,"2,211,787",06/06/2019,273.72
11,272.86,273.21,268.39,"2,650,396",06/05/2019,272.78
12,268.71,268.93,257.46,"3,750,815",06/04/2019,263.27
13,259.03,272.81,257.53,"3,903,421",06/03/2019,270.51
14,270.9,272.91,268.75,"2,526,653",05/31/2019,271.28
15,274.51,275.09,272.43,"1,601,106",05/30/2019,274.43
16,273.38,276.8025,272.28,"1,805,982",05/29/2019,275.29
17,278.25,281.45,275.37,"2,475,891",05/28/2019,276.49
18,274.77,277.475,273.54,"1,878,339",05/24/2019,273.54
19,274.25,278.43,271.69,"2,706,419",05/23/2019,278.29
20,281.82,282.74,277.255,"1,570,628",05/22/2019,277.42
21,278.07,280,277.045,"1,793,665",05/21/2019,278.21
22,275.45,277.89,273.4,"2,391,950",05/20/2019,276.1
23,279.85,284.412,279.069,"2,223,523",05/17/2019,281.68
24,283.55,285.87,278.4,"3,413,063",05/16/2019,278.63
25,276.82,276.95,269.5,"2,708,559",05/15/2019,269.82
26,271.86,274.23,269.29,"2,046,551",05/14/2019,269.43
27,267.7,274.19,267.22,"2,698,322",05/13/2019,270.565
28,278.48,279.5,270.32,"2,097,736",05/10/2019,273.58
29,275.79,277.12,270.7975,"1,867,193",05/09/2019,274.16
30,276.77,278.37,274.16,"2,611,043",05/08/2019,275.83
31,277.07,280.65,273.67,"2,567,977",05/07/2019,278.82
32,283.66,284.2165,275.81,"1,994,477",05/06/2019,277.6
33,285.58,286.35,282.39,"1,979,920",05/03/2019,282.56
34,279.64,284.59,278.15,"2,482,283",05/02/2019,283.14
35,283.35,291,283.19,"2,056,176",05/01/2019,291
36,289.25,289.77,285.25,"3,066,916",04/30/2019,286.1
37,286.14,291.705,285.38,"5,533,815",04/29/2019,286.46
38,281.96,282,275.79,"2,114,018",04/26/2019,278.18
39,277.66,279.52,274.3785,"1,747,079",04/25/2019,278.4
40,275.45,280.17,275.25,"1,853,595",04/24/2019,279.22
41,278.49,278.89,271.59,"2,691,428",04/23/2019,272.54
42,272.21,272.32,269.2033,"1,364,700",04/22/2019,269.82
43,270.57,270.82,266.64,"2,027,217",04/18/2019,270.09
44,269.45,272.665,268.44,"2,390,438",04/17/2019,272.17
45,271.43,273.39,269.64,"1,638,319",04/16/2019,273.07
46,272.22,273.71,270.62,"1,462,231",04/15/2019,271.86
47,271.86,273.51,270.82,"1,680,946",04/12/2019,273.01
48,271.9,272.92,270.77,"2,085,592",04/11/2019,271.95
49,271.58,272.16,269.01,"1,469,592",04/10/2019,269.47
50,268.99,269.99,266.8,"1,546,905",04/09/2019,267.12
51,268.81,269.09,264.7,"1,796,681",04/08/2019,266.96
52,267.45,269.94,266.59,"1,970,205",04/05/2019,269.44
53,267.89,271.47,263.72,"2,929,433",04/04/2019,270.98
54,271.5,274.18,270.975,"2,283,554",04/03/2019,273.71
55,271.35,273,267.63,"1,877,762",04/02/2019,272.89
56,272.17,272.385,268.19,"2,919,523",04/01/2019,269.85
57,266.49,266.75,264.2,"2,096,442",03/29/2019,265.47
58,263.53,265.1699,260.88,"2,017,656",03/28/2019,263.5
59,262.34,265.9731,259.04,"2,521,421",03/27/2019,265.53
60,265.59,267.74,263.84,"3,149,922",03/26/2019,265.05
61,262.27,263.12,257.1,"2,639,060",03/25/2019,259.21
62,259.69,264.64,259.52,"3,447,443",03/22/2019,263.47
63,264.18,264.34,258.4,"2,357,183",03/21/2019,259
64,259.74,262.3,256.17,"3,389,345",03/20/2019,260.54
65,260.42,260.64,256.34,"4,238,002",03/19/2019,259.43
66,257.76,259.96,253.8901,"4,011,725",03/18/2019,257.11
67,257.09,260,252.03,"12,108,480",03/15/2019,258.03
68,267.69,268,263.52,"5,072,598",03/14/2019,265.26
