,Date,Open,High,Low,Close,Volume
4,11/02/2018,48.73,49.195,47.675,48.0,"3,464,995"
5,11/01/2018,47.37,48.74,47.33,48.72,"4,508,821"
6,10/31/2018,48.18,48.24,47.11,47.25,"4,604,884"
7,10/30/2018,47.4,48.03,46.98,48.0,"3,879,681"
8,10/29/2018,46.7,47.5168,46.52,47.01,"3,257,398"
9,10/26/2018,47.59,47.59,46.15,46.46,"4,529,328"
10,10/25/2018,47.76,48.17,47.39,47.9,"3,032,528"
11,10/24/2018,49.1,49.38,47.65,47.75,"5,496,915"
12,10/23/2018,48.5,49.17,47.775,49.06,"4,263,428"
13,10/22/2018,49.71,49.75,48.86,48.91,"1,994,178"
14,10/19/2018,49.51,49.77,49.35,49.54,"2,698,002"
15,10/18/2018,49.09,49.7,48.87,49.21,"3,009,000"
16,10/17/2018,49.28,49.43,48.54,49.03,"3,879,109"
17,10/16/2018,49.23,49.4,48.87,49.3,"2,499,347"
18,10/15/2018,48.86,49.65,48.8,49.04,"2,287,697"
19,10/12/2018,49.02,49.05,48.205,48.83,"4,601,649"
20,10/11/2018,50.11,50.17,48.5199,48.67,"5,775,424"
21,10/10/2018,51.6,51.87,50.105,50.14,"3,333,559"
22,10/09/2018,51.68,51.96,51.37,51.45,"3,485,234"
23,10/08/2018,51.07,52.065,50.88,51.79,"3,850,076"
24,10/05/2018,50.49,51.11,50.405,51.07,"2,652,832"
25,10/04/2018,50.32,50.6,50.11,50.46,"2,452,319"
26,10/03/2018,50.6,50.94,50.43,50.45,"2,886,858"
27,10/02/2018,50.22,50.555,50.02,50.41,"1,860,120"
28,10/01/2018,50.56,50.71,50.02,50.11,"2,950,039"
29,09/28/2018,49.46,50.3,49.46,50.27,"2,956,086"
30,09/27/2018,49.12,49.73,49.12,49.45,"1,741,732"
31,09/26/2018,49.64,49.825,49.3,49.35,"2,358,050"
32,09/25/2018,49.67,49.99,49.6,49.64,"2,374,853"
33,09/24/2018,50.37,50.62,49.5,49.62,"2,605,707"
34,09/21/2018,50.4,50.475,50.08,50.32,"5,380,988"
35,09/20/2018,50.14,50.42,50.01,50.33,"1,847,549"
36,09/19/2018,49.72,50.165,49.62,49.94,"2,053,894"
37,09/18/2018,49.8,49.89,49.37,49.62,"2,385,736"
38,09/17/2018,50.1,50.14,49.525,49.78,"3,700,562"
39,09/14/2018,50.04,50.115,49.87,50.04,"1,982,452"
40,09/13/2018,50.06,50.245,49.89,50.0,"1,632,390"
41,09/12/2018,49.68,50.165,49.68,49.89,"2,199,096"
42,09/11/2018,49.65,49.845,49.41,49.75,"2,933,288"
43,09/10/2018,49.62,50.14,49.405,49.7,"3,778,024"
44,09/07/2018,49.29,49.4,48.81,49.31,"3,395,478"
45,09/06/2018,49.7,49.845,49.29,49.41,"3,818,977"
46,09/05/2018,50.0,50.24,49.755,49.83,"6,904,827"
47,09/04/2018,50.3,50.4,49.79,50.08,"3,451,537"
48,08/31/2018,50.38,50.52,50.17,50.4,"4,717,869"
49,08/30/2018,50.39,50.595,50.16,50.38,"2,207,747"
50,08/29/2018,50.7,50.88,50.19,50.4,"2,700,603"
51,08/28/2018,50.74,51.02,50.32,50.45,"2,692,077"
52,08/27/2018,50.88,51.11,50.63,50.78,"2,492,708"
53,08/24/2018,50.65,50.78,50.44,50.7,"1,984,092"
54,08/23/2018,50.27,50.65,50.2,50.51,"1,633,316"
55,08/22/2018,50.78,50.81,50.29,50.5,"2,582,642"
56,08/21/2018,50.82,50.92,50.4,50.74,"2,866,029"
57,08/20/2018,50.67,51.06,50.67,50.77,"3,892,280"
58,08/17/2018,50.15,50.77,50.0,50.55,"5,963,273"
59,08/16/2018,49.68,50.3599,49.64,50.15,"6,099,387"
60,08/15/2018,49.45,49.865,48.87,49.44,"4,513,649"
61,08/14/2018,49.34,49.98,49.34,49.94,"2,713,458"
62,08/13/2018,49.97,50.0,49.115,49.32,"2,140,270"
63,08/10/2018,49.99,50.18,49.735,49.87,"1,809,093"
64,08/09/2018,50.12,50.285,49.735,50.24,"2,974,769"
65,08/08/2018,50.26,50.31,49.69,49.97,"2,261,799"
66,08/07/2018,50.09,50.6,50.09,50.25,"3,174,789"
67,08/06/2018,50.0,50.41,49.85,50.06,"3,701,273"
68,08/03/2018,49.6,49.99,49.33,49.95,"4,369,623"
69,08/02/2018,48.17,49.5,48.17,49.34,"6,796,146"
