,Date,Open,High,Low,Close,Volume
4,163.7,164.43,162.69,"905,398",04/26/2019,164.43
5,163.86,164.17,161.49,"1,402,264",04/25/2019,162.68
6,163.5,165.5,163.48,"1,740,207",04/24/2019,165.24
7,165.04,165.13,161.81,"1,455,474",04/23/2019,162.01
8,161.91,162.405,161.34,"813,873",04/22/2019,161.65
9,162.44,163.73,162.08,"1,379,332",04/18/2019,163.73
10,162.85,162.97,161.552,"1,098,030",04/17/2019,162.53
11,162.14,164.41,161.53,"1,080,839",04/16/2019,164.41
12,163.68,163.86,162.61,"953,225",04/15/2019,163.03
13,163.31,163.38,160.94,"997,989",04/12/2019,162.16
14,161.67,161.76,160.42,"1,520,180",04/11/2019,161.03
15,160.42,160.82,159.67,"951,582",04/10/2019,160.13
16,159.68,160.66,159.1301,"1,195,556",04/09/2019,159.83
17,160.46,160.6,158.885,"952,102",04/08/2019,159.95
18,160.34,160.42,159.15,"1,493,108",04/05/2019,160.07
19,159.34,161.37,158.18,"1,627,516",04/04/2019,161.37
20,161.1,162.45,160.49,"1,161,746",04/03/2019,162.45
21,161.44,162.71,160.83,"985,383",04/02/2019,162.54
22,162.07,162.32,159.98,"2,236,575",04/01/2019,161.2
23,159.74,159.91,158.61,"2,244,189",03/29/2019,159.49
24,158.37,158.53,156.88,"1,336,708",03/28/2019,157.03
25,156.79,157.26,154.99,"1,461,188",03/27/2019,156.42
26,156.2,156.27,154.24,"1,473,904",03/26/2019,155.11
27,153.75,154.21,152.76,"1,233,511",03/25/2019,153.48
28,153.81,155.3,153.65,"1,648,475",03/22/2019,154.93
29,155.34,156.04,153.44,"1,823,036",03/21/2019,153.44
30,154.02,154.99,153.4974,"1,974,924",03/20/2019,154.43
31,154.63,155.18,153.82,"1,422,663",03/19/2019,155
32,154.69,155.8,154.04,"1,579,141",03/18/2019,155.31
33,155.31,155.36,152.6614,"5,612,245",03/15/2019,153.01
34,153.51,153.67,152.27,"1,835,517",03/14/2019,153.34
35,152.84,153.98,152.21,"1,537,797",03/13/2019,152.71
36,151.99,152.81,151.1,"1,796,502",03/12/2019,151.75
37,151.09,151.19,149.03,"1,731,879",03/11/2019,149.88
38,149.24,149.58,148.15,"1,928,067",03/08/2019,149.01
39,150.42,151.98,150.12,"2,906,165",03/07/2019,151.35
40,152.53,153.32,152.17,"1,639,361",03/06/2019,152.47
41,152.66,153.6,152.35,"2,904,782",03/05/2019,153.45
42,153.26,154.32,151.41,"3,962,133",03/04/2019,153.89
43,153.9,154.4114,153.1503,"1,761,325",03/01/2019,154.25
44,153.03,153.56,152.3,"2,217,145",02/28/2019,152.68
45,152.98,153.4,151.66,"1,478,998",02/27/2019,152.08
46,152.88,153.415,152.25,"1,289,780",02/26/2019,152.54
47,152.49,154.55,152.23,"1,271,906",02/25/2019,154.06
48,153.18,153.21,151.22,"1,608,761",02/22/2019,151.62
49,150.98,151.5,149.61,"1,305,840",02/21/2019,150.14
50,150.56,150.71,149.473,"1,606,497",02/20/2019,150.66
51,150.31,150.55,149.02,"1,353,302",02/19/2019,149.02
52,149.67,150.32,148.44,"2,862,874",02/15/2019,149.55
53,148.15,150,148.07,"2,637,521",02/14/2019,149.625
54,150.46,151.35,149.89,"2,096,479",02/13/2019,150
55,149.5,149.9268,148.27,"2,129,974",02/12/2019,148.71
56,147.51,147.74,146.79,"1,935,828",02/11/2019,147.19
57,146.81,146.85,144.04,"1,696,444",02/08/2019,144.32
58,145.68,145.89,143.93,"2,636,341",02/07/2019,144.02
59,145.54,146.09,144.6,"1,946,219",02/06/2019,145
60,145.29,145.49,144.12,"2,649,951",02/05/2019,145.02
61,143.63,143.69,141.39,"2,841,597",02/04/2019,141.73
62,141.62,141.69,139.71,"2,923,390",02/01/2019,139.71
63,139.84,141.15,138.125,"5,774,083",01/31/2019,138.83
64,139.41,140.79,135.01,"3,729,289",01/30/2019,137
65,134,135.88,133.76,"1,696,831",01/29/2019,135.37
66,135.5,135.73,134.29,"1,923,736",01/28/2019,134.96
