,Date,Open,High,Low,Close,Volume
4,72.95,73.08,72.46,"687,825",05/03/2019,72.46
5,72.34,72.84,71.82,"1,217,670",05/02/2019,72.39
6,72.24,72.78,71.96,"1,004,101",05/01/2019,72.55
7,72.77,72.84,71.29,"1,688,030",04/30/2019,71.37
8,71.36,72.11,71.23,"897,533",04/29/2019,71.97
9,72.18,73.24,72.155,"1,207,920",04/26/2019,72.61
10,72.26,72.61,71.6,"1,226,211",04/25/2019,71.7
11,71.99,72.25,71.045,"1,934,033",04/24/2019,71.15
12,71.15,71.23,70.5,"1,650,133",04/23/2019,71.01
13,70.52,70.83,70.27,"1,216,508",04/22/2019,70.36
14,70.48,71.06,70.4284,"1,264,186",04/18/2019,70.68
15,70.61,71.08,70.51,"1,100,656",04/17/2019,70.77
16,70.85,72.24,70.73,"968,900",04/16/2019,71.95
17,72.03,72.39,71.78,"756,523",04/15/2019,72.19
18,71.98,72.015,71.06,"1,361,221",04/12/2019,71.69
19,71.84,71.87,71.22,"856,435",04/11/2019,71.5
20,71.5,72.57,71.4,"1,321,034",04/10/2019,72.06
21,72.02,72.04,71.52,"819,533",04/09/2019,71.76
22,71.67,72.38,71.5384,"1,029,449",04/08/2019,72.36
23,72.39,72.42,71.21,"2,557,810",04/05/2019,71.74
24,71.56,72.62,71.39,"1,955,014",04/04/2019,72.62
25,72.24,72.79,71.85,"1,335,439",04/03/2019,72.52
26,72.56,72.85,72.2,"1,323,157",04/02/2019,72.79
27,72.79,73.77,72.12,"1,217,087",04/01/2019,73.58
28,73.55,73.62,73.01,"1,425,260",03/29/2019,73.33
29,73.46,74.71,73.18,"978,722",03/28/2019,74.56
30,74.39,74.89,73.97,"1,395,851",03/27/2019,74.68
31,74.75,74.91,74.09,"1,016,038",03/26/2019,74.35
32,74.3,74.46,73.57,"1,385,352",03/25/2019,73.93
33,73.75,74.45,73.41,"1,313,189",03/22/2019,73.48
34,73.26,73.43,72.02,"932,940",03/21/2019,72.15
35,72.23,72.96,71.96,"1,283,690",03/20/2019,72.23
36,72.0,72.495,71.57,"1,751,948",03/19/2019,72.44
37,72.51,73.11,72.24,"1,577,556",03/18/2019,73.07
38,73.04,73.32,72.34,"2,026,216",03/15/2019,72.46
39,72.61,73.25,72.48,"1,509,713",03/14/2019,72.89
40,72.94,73.0,72.26,"1,451,946",03/13/2019,72.42
41,72.37,72.545,71.89,"1,837,618",03/12/2019,72.29
42,72.57,72.61,71.81,"1,254,040",03/11/2019,71.84
43,71.7,71.77,71.03,"1,028,177",03/08/2019,71.22
44,71.22,71.9,71.0,"1,493,082",03/07/2019,71.29
45,71.07,71.43,70.8,"1,251,425",03/06/2019,71.23
46,71.07,71.55,70.82,"1,250,149",03/05/2019,71.28
47,71.3,71.36,70.42,"1,352,334",03/04/2019,71.33
48,70.93,71.61,70.41,"1,058,608",03/01/2019,71.58
49,71.24,71.38,70.23,"1,493,982",02/28/2019,70.45
50,70.42,70.75,69.8,"1,177,938",02/27/2019,70.0
51,70.22,71.01,70.01,"1,629,396",02/26/2019,71.01
52,70.88,72.36,70.58,"1,845,649",02/25/2019,72.36
53,72.18,72.18,71.16,"1,941,418",02/22/2019,71.38
54,71.2,71.31,69.81,"1,368,767",02/21/2019,70.1
55,70.4,70.485,69.53,"1,281,952",02/20/2019,70.0
56,70.09,70.39,69.6,"1,241,413",02/19/2019,69.72
57,69.68,69.97,69.29,"1,979,068",02/15/2019,69.54
58,69.03,69.9,68.26,"2,081,010",02/14/2019,68.7
59,70.06,70.14,69.8,"1,663,911",02/13/2019,69.8
60,70.19,71.08,70.03,"2,033,448",02/12/2019,70.66
61,70.76,70.96,70.34,"1,455,269",02/11/2019,70.49
62,70.47,70.48,69.48,"875,131",02/08/2019,69.6
63,69.72,69.73,68.72,"1,280,746",02/07/2019,68.86
64,68.89,69.055,68.48,"861,407",02/06/2019,68.78
65,68.84,68.98,68.37,"1,276,183",02/05/2019,68.79
66,68.99,69.0,67.9,"1,553,577",02/04/2019,68.51
