,Date,Open,High,Low,Close,Volume
4,16.93,17.25,16.93,"7,534,308",05/03/2019,17.12
5,17.05,17.165,16.72,"12,720,700",05/02/2019,16.9
6,16.9,17.24,16.9,"6,113,805",05/01/2019,17.12
7,17.12,17.18,16.89,"10,822,900",04/30/2019,17.08
8,17.22,17.51,17.18,"5,803,910",04/29/2019,17.47
9,17.46,17.81,17.37,"7,674,688",04/26/2019,17.68
10,17.59,17.735,17.51,"4,836,060",04/25/2019,17.63
11,17.73,17.865,17.655,"4,443,237",04/24/2019,17.77
12,17.75,17.91,17.62,"6,152,089",04/23/2019,17.72
13,17.69,17.79,17.61,"3,261,836",04/22/2019,17.67
14,17.72,17.79,17.53,"4,256,567",04/18/2019,17.65
15,17.7,17.9,17.62,"3,458,161",04/17/2019,17.88
16,17.83,18.17,17.8,"4,352,984",04/16/2019,18.04
17,18.09,18.12,17.96,"3,426,206",04/15/2019,18.06
18,18.02,18.11,17.92,"2,570,696",04/12/2019,18.07
19,18.08,18.12,17.96,"2,622,511",04/11/2019,18.04
20,18.06,18.27,18.01,"3,542,507",04/10/2019,18.15
21,18.11,18.11,17.93,"4,394,365",04/09/2019,17.94
22,17.99,18.24,17.91,"4,111,107",04/08/2019,18.24
23,18.27,18.29,18.01,"5,301,144",04/05/2019,18.04
24,18.0,18.06,17.83,"4,018,460",04/04/2019,18.06
25,18.06,18.305,17.985,"9,006,719",04/03/2019,18.13
26,18.01,18.075,17.89,"8,376,458",04/02/2019,17.96
27,17.92,18.16,17.85,"7,047,736",04/01/2019,18.13
28,18.08,18.1999,18.05,"7,581,049",03/29/2019,18.12
29,18.11,18.38,18.03,"4,098,296",03/28/2019,18.27
30,18.25,18.52,18.12,"4,185,276",03/27/2019,18.37
31,18.41,18.41,18.26,"4,459,135",03/26/2019,18.3
32,18.24,18.35,18.01,"4,462,185",03/25/2019,18.08
33,18.06,18.42,18.045,"5,090,984",03/22/2019,18.3
34,18.28,18.31,17.94,"4,968,765",03/21/2019,17.99
35,17.93,18.07,17.71,"7,769,577",03/20/2019,17.88
36,17.84,18.26,17.735,"11,315,920",03/19/2019,18.14
37,18.15,18.36,18.05,"5,798,293",03/18/2019,18.32
38,18.31,18.385,17.94,"7,745,079",03/15/2019,18.14
39,18.18,18.21,18.005,"4,065,346",03/14/2019,18.16
40,18.12,18.26,18.09,"3,654,676",03/13/2019,18.17
41,18.12,18.14,17.9,"3,933,465",03/12/2019,18.0
42,17.97,17.97,17.74,"5,398,228",03/11/2019,17.76
43,17.7,17.73,17.57,"5,000,477",03/08/2019,17.69
44,17.67,17.95,17.595,"8,022,888",03/07/2019,17.72
45,17.58,17.705,17.355,"8,832,365",03/06/2019,17.45
46,17.42,17.5,17.06,"7,377,619",03/05/2019,17.14
47,17.12,17.6,16.88,"9,280,888",03/04/2019,17.53
48,17.5,17.535,17.29,"5,887,070",03/01/2019,17.29
49,17.23,17.29,16.87,"5,971,148",02/28/2019,17.26
50,17.16,17.4,17.01,"6,029,065",02/27/2019,17.07
51,17.29,17.36,17.11,"4,994,102",02/26/2019,17.36
52,17.33,17.59,17.18,"5,239,212",02/25/2019,17.51
53,17.53,17.6,17.31,"3,322,549",02/22/2019,17.4
54,17.32,17.335,17.05,"3,971,190",02/21/2019,17.08
55,17.15,17.265,17.075,"3,759,190",02/20/2019,17.16
56,17.18,17.19,16.86,"6,778,484",02/19/2019,16.9
57,16.92,17.255,16.91,"7,199,245",02/15/2019,17.17
58,17.06,17.22,16.975,"4,180,657",02/14/2019,17.02
59,17.04,17.195,16.95,"4,876,710",02/13/2019,17.12
60,17.18,17.24,17.065,"6,008,895",02/12/2019,17.2
61,17.16,17.46,17.14,"4,587,214",02/11/2019,17.25
62,17.22,17.2266,17.0466,"3,042,887",02/08/2019,17.08
63,17.11,17.13,16.865,"4,109,978",02/07/2019,16.96
64,16.98,17.065,16.85,"3,631,778",02/06/2019,16.9
65,16.95,17.055,16.77,"4,902,932",02/05/2019,16.82
66,16.83,16.855,16.37,"6,812,566",02/04/2019,16.65
