,Date,Open,High,Low,Close,Volume
4,10/30/2018,43.53,44.23,43.38,43.74,"1,140,059"
5,10/29/2018,42.87,43.47,42.87,43.36,"1,101,568"
6,10/26/2018,43.18,43.23,42.08,42.48,"1,244,826"
7,10/25/2018,42.66,43.51,42.36,43.28,"1,199,708"
8,10/24/2018,42.58,43.4,42.44,42.64,"2,515,316"
9,10/23/2018,42.41,42.77,41.98,42.5,"847,660"
10,10/22/2018,43.27,43.435,42.45,42.47,"673,088"
11,10/19/2018,42.83,43.3,42.83,43.23,"785,811"
12,10/18/2018,42.84,43.22,42.74,42.79,"861,408"
13,10/17/2018,42.91,43.31,42.62,42.84,"641,867"
14,10/16/2018,42.46,43.17,42.18,43.06,"996,327"
15,10/15/2018,42.01,42.88,41.9,42.42,"1,142,202"
16,10/12/2018,42.38,42.69,41.73,41.85,"1,749,636"
17,10/11/2018,43.65,43.65,42.08,42.13,"1,520,262"
18,10/10/2018,44.26,44.35,43.45,43.48,"1,413,511"
19,10/09/2018,44.12,44.41,43.89,44.37,"1,055,856"
20,10/08/2018,43.68,44.43,43.58,44.15,"2,231,415"
21,10/05/2018,43.42,43.95,43.42,43.52,"1,751,996"
22,10/04/2018,43.38,43.67,43.05,43.35,"1,125,986"
23,10/03/2018,44.08,44.46,43.35,43.61,"1,059,206"
24,10/02/2018,44.03,44.35,43.92,44.12,"712,069"
25,10/01/2018,44.13,44.3,43.83,43.85,"1,007,165"
26,09/28/2018,43.43,44.16,43.41,44.13,"1,267,759"
27,09/27/2018,43.28,43.7,43.27,43.41,"688,666"
28,09/26/2018,43.75,43.94,43.27,43.3,"531,865"
29,09/25/2018,43.68,44.01,43.54,43.74,"597,218"
30,09/24/2018,44.42,44.61,43.26,43.58,"1,186,458"
31,09/21/2018,44.4,44.9,44.3,44.63,"1,340,608"
32,09/20/2018,44.01,44.47,43.8,44.46,"860,117"
33,09/19/2018,44.53,44.57,43.91,44.02,"1,248,998"
34,09/18/2018,44.38,44.5,44.12,44.35,"823,418"
35,09/17/2018,44.23,44.47,44.0,44.47,"824,443"
36,09/14/2018,44.47,44.57,43.9,44.13,"1,261,445"
37,09/13/2018,44.56,44.63,44.215,44.59,"860,847"
38,09/12/2018,44.41,44.52,44.2116,44.32,"685,394"
39,09/11/2018,43.99,44.57,43.99,44.39,"1,118,022"
40,09/10/2018,43.97,44.32,43.7801,44.19,"898,736"
41,09/07/2018,43.65,43.82,43.31,43.73,"928,034"
42,09/06/2018,43.85,44.14,43.71,43.86,"1,157,232"
43,09/05/2018,43.32,44.0,43.22,43.72,"1,571,596"
44,09/04/2018,43.64,43.9,43.25,43.49,"868,026"
45,08/31/2018,43.89,44.09,43.6,43.8,"705,218"
46,08/30/2018,44.31,44.31,43.78,43.81,"538,043"
47,08/29/2018,44.26,44.45,44.08,44.18,"570,453"
48,08/28/2018,43.87,44.31,43.72,44.22,"776,637"
49,08/27/2018,43.78,43.94,43.48,43.88,"1,031,076"
50,08/24/2018,43.41,43.78,43.41,43.73,"974,311"
51,08/23/2018,43.47,43.63,43.44,43.45,"595,503"
52,08/22/2018,43.41,43.53,43.3,43.48,"526,336"
53,08/21/2018,43.92,43.93,43.33,43.45,"564,803"
54,08/20/2018,44.09,44.33,43.86,43.98,"687,060"
55,08/17/2018,43.47,43.91,43.385,43.91,"680,336"
56,08/16/2018,43.37,43.56,43.14,43.5,"615,643"
57,08/15/2018,43.16,43.75,43.14,43.73,"773,728"
58,08/14/2018,42.82,43.35,42.64,43.3,"935,096"
59,08/13/2018,42.85,42.98,42.56,42.75,"702,883"
60,08/10/2018,43.22,43.38,42.86,42.89,"551,413"
61,08/09/2018,43.1,43.29,43.05,43.22,"446,808"
62,08/08/2018,43.48,43.48,43.11,43.12,"564,791"
63,08/07/2018,43.33,43.51,42.97,43.41,"754,893"
64,08/06/2018,43.82,43.91,43.27,43.34,"876,790"
65,08/03/2018,42.08,43.85,41.28,43.81,"1,047,970"
66,08/02/2018,42.78,43.01,42.62,42.8,"1,419,691"
67,08/01/2018,42.36,42.79,42.2,42.77,"535,365"
68,07/31/2018,41.94,43.01,41.9,42.65,"881,006"
69,07/30/2018,41.89,42.0,41.61,41.77,"518,549"
