,Date,Open,High,Low,Close,Volume
4,78.86,79.075,78.455,"899,910",04/26/2019,78.5
5,78.61,78.8,77.02,"967,107",04/25/2019,78.15
6,78.14,78.7,77.92,"806,336",04/24/2019,77.96
7,77.66,77.73,76.45,"831,416",04/23/2019,76.87
8,76.69,76.77,75.52,"820,598",04/22/2019,75.52
9,75.34,75.7,74.86,"1,079,762",04/18/2019,75.6
10,76.03,77.25,75.75,"1,002,706",04/17/2019,77
11,76.61,77.19,76.32,"1,039,827",04/16/2019,77.13
12,76.65,77,75.59,"1,425,050",04/15/2019,76.77
13,77.05,77.1,75.63,"1,570,797",04/12/2019,75.8
14,75.43,75.74,74.7696,"632,638",04/11/2019,75.1
15,75.09,75.42,74.34,"1,040,536",04/10/2019,74.34
16,74.32,74.6,74.1025,"838,063",04/09/2019,74.16
17,74.47,74.5,73.47,"582,105",04/08/2019,73.98
18,74.07,74.08,73.36,"840,402",04/05/2019,73.56
19,73.39,73.71,72.33,"567,103",04/04/2019,73.61
20,73.45,73.78,72.73,"704,504",04/03/2019,73.19
21,72.73,73.05,72.22,"1,214,463",04/02/2019,73
22,73,73.1,72.085,"902,047",04/01/2019,72.24
23,71.71,71.87,71.28,"870,676",03/29/2019,71.68
24,71.09,71.41,70.27,"916,874",03/28/2019,71.04
25,70.78,71.02,69.26,"1,494,216",03/27/2019,69.77
26,69.82,70.85,69.47,"1,296,303",03/26/2019,69.53
27,69.12,69.26,67.28,"2,553,916",03/25/2019,68.23
28,71.23,73.4295,71.16,"1,018,915",03/22/2019,73.09
29,73.44,73.675,72.13,"1,015,399",03/21/2019,72.14
30,72.52,73.03,72.1702,"1,383,507",03/20/2019,72.6
31,72.59,72.93,72.2203,"1,096,432",03/19/2019,72.42
32,72.21,73,71.78,"827,216",03/18/2019,72.57
33,72.47,73.21,72.39,"1,363,417",03/15/2019,72.89
34,72.71,73.13,72.275,"893,032",03/14/2019,72.66
35,72.72,73.04,72.285,"996,349",03/13/2019,72.37
36,72.18,72.8,71.63,"1,372,609",03/12/2019,72
37,71.94,71.97,70.56,"1,144,683",03/11/2019,70.67
38,70.3,70.65,69.33,"867,440",03/08/2019,69.71
39,70.47,71.145,70.015,"1,353,426",03/07/2019,71.09
40,71.54,71.675,70.51,"1,623,081",03/06/2019,70.62
41,70.55,70.985,69.8,"1,248,949",03/05/2019,70.21
42,70.29,71.79,69.71,"994,987",03/04/2019,71.55
43,71.09,71.485,69.74,"1,633,744",03/01/2019,70.06
44,69.66,70.085,69.11,"1,452,650",02/28/2019,69.11
45,69.28,69.82,68.89,"817,825",02/27/2019,69.4
46,69.6,69.9333,69.23,"1,026,762",02/26/2019,69.43
47,69.54,70.71,69.43,"798,049",02/25/2019,70.37
48,69.86,69.89,68.6,"1,016,205",02/22/2019,68.74
49,68.82,70.04,68.66,"1,285,332",02/21/2019,69.73
50,69.83,70.8,69.3,"1,057,099",02/20/2019,70.8
51,70.47,70.765,69.3,"1,456,725",02/19/2019,69.73
52,70.09,71.38,69.97,"1,399,465",02/15/2019,71.24
53,70.78,70.94,69.78,"1,407,656",02/14/2019,70.16
54,70.37,71.2,68.33,"4,037,129",02/13/2019,70.35
55,69.33,69.87,68.27,"2,737,311",02/12/2019,68.81
56,68.51,68.54,67.25,"1,857,526",02/11/2019,67.25
57,67.09,67.1,66.0628,"962,855",02/08/2019,66.13
58,66.59,67.15,65.89,"1,044,498",02/07/2019,67.11
59,67.51,68.4999,67.48,"1,379,172",02/06/2019,68.09
60,68.17,68.3,67.28,"1,474,270",02/05/2019,67.31
61,67.04,67.08,65.59,"1,144,396",02/04/2019,65.59
62,65.52,65.54,64.4967,"1,421,547",02/01/2019,65
63,65.1,65.5,64.41,"1,626,131",01/31/2019,64.85
64,64.69,64.81,63.78,"859,204",01/30/2019,64.33
65,64.17,65.23,64.07,"848,988",01/29/2019,65
66,65,65.02,64.28,"1,218,747",01/28/2019,64.87
