,Date,Open,High,Low,Close,Volume
4,27.68,27.88,27.34,"39,814,790",04/18/2019,27.6
5,27.49,28.27,27.22,"48,154,690",04/17/2019,28.21
6,27.93,28.18,27.49,"47,212,740",04/16/2019,27.72
7,27.33,27.84,26.96,"40,739,300",04/15/2019,27.8
8,27.85,28.38,27.66,"40,957,900",04/12/2019,28.21
9,27.79,28.05,27.46,"44,616,360",04/11/2019,27.81
10,27.83,28.12,27.32,"64,160,940",04/10/2019,27.46
11,27.24,28.38,27.19,"75,260,050",04/09/2019,28.24
12,28.53,28.95,28.18,"57,868,370",04/08/2019,28.69
13,28.98,29.69,28.8,"65,521,490",04/05/2019,29.64
14,29.09,29.385,28.61,"82,049,300",04/04/2019,28.88
15,29.02,29.9498,27.88,"197,043,700",04/03/2019,28.02
16,26.75,26.8,26.09,"52,823,610",04/02/2019,26.51
17,26.36,26.555,25.83,"62,824,700",04/01/2019,26.42
18,25.52,25.73,25.25,"53,314,640",03/29/2019,25.58
19,25.06,25.56,24.65,"64,508,920",03/28/2019,25.1
20,24.89,25.88,24.55,"88,468,390",03/27/2019,25.7
21,25.69,26.98,25.46,"75,291,650",03/26/2019,26.69
22,25.97,26.99,25.54,"78,295,460",03/25/2019,26.29
23,26.37,27.75,26.33,"114,991,600",03/22/2019,27.54
24,27.89,28.11,25.71,"127,895,100",03/21/2019,25.78
25,25.7,26.88,25.31,"150,947,000",03/20/2019,26.49
26,26.0,26.08,23.59,"154,214,600",03/19/2019,23.6
27,23.25,23.62,23.04,"34,636,110",03/18/2019,23.3
28,23.29,23.65,23.01,"46,445,110",03/15/2019,23.1
29,22.82,23.49,22.8,"42,707,330",03/14/2019,23.37
30,23.38,24.15,23.35,"56,399,350",03/13/2019,23.66
31,23.49,23.795,22.78,"56,261,330",03/12/2019,23.1
32,22.96,23.075,21.98,"54,114,630",03/11/2019,22.15
33,22.01,22.085,21.035,"49,856,070",03/08/2019,21.35
34,22.08,22.4101,21.73,"51,971,070",03/07/2019,22.33
35,22.41,23.53,22.4,"60,328,940",03/06/2019,23.47
36,23.5,23.68,23.01,"35,300,270",03/05/2019,23.34
37,23.37,24.13,23.01,"47,986,840",03/04/2019,23.89
38,23.68,24.19,23.45,"45,049,370",03/01/2019,23.97
39,23.53,23.67,23.11,"38,578,940",02/28/2019,23.21
40,23.48,24.2299,23.21,"62,265,120",02/27/2019,24.11
41,24.21,24.72,24.15,"44,622,530",02/26/2019,24.65
42,24.71,25.52,24.68,"62,932,710",02/25/2019,25.01
43,24.36,24.36,23.88,"52,444,420",02/22/2019,24.05
44,23.92,24.33,23.85,"49,488,120",02/21/2019,24.04
45,23.95,24.37,23.9,"56,690,950",02/20/2019,24.14
46,23.95,24.405,23.605,"57,323,750",02/19/2019,23.625
47,23.68,24.05,23.2,"78,499,180",02/15/2019,23.58
48,23.13,23.37,22.59,"63,934,490",02/14/2019,22.74
49,22.85,23.24,22.7138,"57,294,230",02/13/2019,22.98
50,22.82,23.56,22.75,"67,318,410",02/12/2019,23.43
51,22.96,23.2827,22.66,"60,387,870",02/11/2019,23.05
52,23.05,23.28,22.27,"77,101,180",02/08/2019,22.33
53,22.67,23.22,22.32,"86,449,170",02/07/2019,22.99
54,23.26,24.14,23.22,"78,457,780",02/06/2019,23.63
55,23.31,23.86,22.98,"121,159,200",02/05/2019,23.42
56,24.13,24.66,24.07,"69,846,670",02/04/2019,24.43
57,24.51,24.84,24.065,"105,173,100",02/01/2019,24.61
58,24.41,25.14,22.83,"181,877,200",01/31/2019,23.02
59,23.09,23.13,21.37,"210,777,100",01/30/2019,21.49
60,19.25,20.39,19.05,"126,418,900",01/29/2019,20.26
61,20.18,21.01,20.02,"134,743,600",01/28/2019,20.315
62,21.93,22.03,20.79,"110,161,400",01/25/2019,20.99
63,20.85,21.01,20.04,"96,329,090",01/24/2019,20.06
64,19.8,20.48,19.55,"77,542,570",01/23/2019,20.03
65,19.76,20.9199,19.7,"78,292,580",01/22/2019,20.48
66,20.77,21.05,20.02,"87,971,230",01/18/2019,20.37
