,Date,Open,High,Low,Close,Volume
4,10/30/2018,65.51,66.61,65.1883,66.38,"1,636,508"
5,10/29/2018,67.68,67.98,64.91,65.7,"1,347,968"
6,10/26/2018,65.39,67.68,65.29,66.73,"1,649,900"
7,10/25/2018,65.97,67.04,65.765,66.43,"1,553,647"
8,10/24/2018,67.65,68.19,65.22,65.38,"2,265,595"
9,10/23/2018,69.2,69.2,67.33,68.01,"1,712,634"
10,10/22/2018,70.87,70.98,70.27,70.5,"1,512,176"
11,10/19/2018,71.38,71.495,70.1,70.61,"1,479,594"
12,10/18/2018,72.96,73.14,71.12,71.27,"1,256,000"
13,10/17/2018,73.33,73.68,72.71,73.31,"943,425"
14,10/16/2018,72.78,73.61,71.74,73.46,"1,730,884"
15,10/15/2018,72.69,73.14,72.09,72.26,"1,240,807"
16,10/12/2018,73.14,73.37,71.74,72.8,"1,018,253"
17,10/11/2018,73.99,74.11,71.65,71.85,"1,716,022"
18,10/10/2018,76.5,76.701,74.13,74.18,"1,580,935"
19,10/09/2018,77.8,77.92,76.76,76.8,"1,036,102"
20,10/08/2018,78.4,78.47,77.19,77.92,"1,011,546"
21,10/05/2018,79.26,79.43,78.09,78.65,"805,670"
22,10/04/2018,79.65,80.32,78.93,79.25,"808,951"
23,10/03/2018,79.94,80.05,79.52,79.82,"1,071,766"
24,10/02/2018,79.82,80.18,79.56,79.68,"677,201"
25,10/01/2018,79.67,79.96,79.31,79.71,"1,034,645"
26,09/28/2018,78.82,79.62,78.72,79.12,"959,162"
27,09/27/2018,79.49,79.82,78.91,78.93,"652,053"
28,09/26/2018,79.99,80.26,79.29,79.39,"899,007"
29,09/25/2018,80.33,80.4,79.74,80.04,"1,260,388"
30,09/24/2018,81.36,81.36,80.445,80.54,"913,472"
31,09/21/2018,81.58,81.92,81.26,81.53,"1,472,797"
32,09/20/2018,81.32,81.51,80.48,81.38,"881,220"
33,09/19/2018,81.65,81.65,80.93,80.96,"1,471,524"
34,09/18/2018,81.0,81.54,80.39,81.5,"1,156,447"
35,09/17/2018,80.87,81.16,80.44,80.79,"732,469"
36,09/14/2018,80.59,81.18,80.39,80.83,"714,880"
37,09/13/2018,79.9,80.865,79.83,80.69,"1,009,025"
38,09/12/2018,79.44,79.9,79.0,79.74,"1,127,370"
39,09/11/2018,79.1,80.21,78.9,79.49,"1,529,317"
40,09/10/2018,78.56,79.74,78.38,79.38,"1,449,101"
41,09/07/2018,78.13,78.72,77.61,78.09,"1,273,399"
42,09/06/2018,78.13,78.89,78.07,78.29,"1,306,768"
43,09/05/2018,76.57,78.14,76.42,78.0,"1,514,672"
44,09/04/2018,76.74,76.91,75.93,76.72,"1,163,017"
45,08/31/2018,76.22,77.03,76.12,76.96,"828,430"
46,08/30/2018,77.21,77.37,76.29,76.45,"737,794"
47,08/29/2018,77.6,77.6,77.03,77.32,"736,800"
48,08/28/2018,77.39,77.83,77.23,77.33,"713,360"
49,08/27/2018,76.57,77.38,76.48,77.06,"637,375"
50,08/24/2018,76.11,76.26,75.62,76.21,"764,294"
51,08/23/2018,76.12,76.31,75.63,75.83,"780,072"
52,08/22/2018,76.76,76.865,75.93,76.12,"560,199"
53,08/21/2018,76.75,77.15,76.61,77.0,"1,387,231"
54,08/20/2018,76.39,76.83,76.3,76.58,"960,201"
55,08/17/2018,75.73,76.47,75.51,76.31,"865,303"
56,08/16/2018,75.49,76.2,75.28,75.73,"872,443"
57,08/15/2018,75.29,75.49,74.5,75.1,"1,161,498"
58,08/14/2018,75.79,76.14,75.59,75.82,"766,971"
59,08/13/2018,76.0,76.46,75.27,75.66,"820,234"
60,08/10/2018,76.21,76.315,75.57,75.88,"717,545"
61,08/09/2018,77.25,77.55,76.48,76.66,"1,283,846"
62,08/08/2018,77.52,77.56,77.02,77.17,"724,388"
63,08/07/2018,76.58,77.6,76.57,77.49,"1,071,292"
64,08/06/2018,76.74,76.8,76.11,76.32,"794,858"
65,08/03/2018,76.85,77.115,75.94,76.57,"1,013,409"
66,08/02/2018,76.42,77.17,76.06,76.76,"1,128,456"
67,08/01/2018,77.85,77.89,76.49,76.82,"2,060,019"
68,07/31/2018,76.42,78.01,75.22,77.8,"1,587,097"
69,07/30/2018,76.94,77.74,75.87,76.07,"1,959,184"
