,Date,Open,High,Low,Close,Volume
4,181.47,181.85,180.03,"2,415,340",04/26/2019,180.7
5,180.48,181.02,175.92,"2,445,254",04/25/2019,177.08
6,178.3,180.83,178.26,"2,692,589",04/24/2019,180.14
7,179.76,180.65,175.75,"3,161,313",04/23/2019,176.94
8,176.36,177.57,174.8652,"3,215,817",04/22/2019,177.1
9,177.47,183.49,176.8504,"8,212,969",04/18/2019,183.24
10,182.47,188.74,181.53,"5,209,541",04/17/2019,188.35
11,188.05,192.57,187.44,"2,727,045",04/16/2019,192.27
12,191.2,193.18,189.85,"2,022,159",04/15/2019,191.84
13,191.42,193.48,190.79,"2,000,618",04/12/2019,193.02
14,192.11,194.79,190.65,"2,074,297",04/11/2019,194.57
15,193.89,195,192.34,"1,630,787",04/10/2019,194.15
16,192.98,194,192.51,"1,869,738",04/09/2019,193.59
17,194.88,195.31,192.56,"1,629,766",04/08/2019,194.53
18,195.41,196.87,193.3,"2,160,261",04/05/2019,193.88
19,192.33,194.43,190.99,"1,785,930",04/04/2019,192.85
20,192.92,193.87,191.7101,"1,915,742",04/03/2019,193.18
21,192.43,192.82,191.2,"2,102,421",04/02/2019,191.81
22,191.77,192.56,190.51,"2,571,543",04/01/2019,191.14
23,189.98,191,188.4982,"3,188,887",03/29/2019,189.37
24,187.65,187.89,186,"1,874,480",03/28/2019,187.08
25,186.32,188.595,185.22,"1,996,088",03/27/2019,188.25
26,188.27,189.59,187.0301,"2,338,109",03/26/2019,187.55
27,186.59,187.78,185.04,"2,431,804",03/25/2019,186.64
28,186.7,192.865,186.55,"3,128,187",03/22/2019,190.96
29,191.89,192.37,189.18,"2,227,998",03/21/2019,189.73
30,191.12,192.77,189.87,"2,353,619",03/20/2019,191.5
31,191.49,192.7584,190.9177,"2,230,580",03/19/2019,191.93
32,191.31,192.52,190.19,"2,429,924",03/18/2019,191.08
33,191.24,191.64,188.1,"6,864,971",03/15/2019,188.46
34,187.76,188.86,185.89,"2,687,643",03/14/2019,187.53
35,187.35,188.34,184.185,"2,645,237",03/13/2019,184.7
36,184.18,184.95,183.52,"2,676,768",03/12/2019,184.61
37,184.14,184.6,181.4,"2,781,050",03/11/2019,181.84
38,180.87,181.31,179.01,"2,732,183",03/08/2019,180.6
39,181.46,183.16,180.6,"3,389,439",03/07/2019,182.92
40,183.15,189.37,182.4321,"3,955,033",03/06/2019,188.88
41,188.82,190.67,188.79,"3,413,570",03/05/2019,190
42,189.78,192.12,187.41,"2,274,808",03/04/2019,191.82
43,191.16,192.0608,190.47,"2,355,182",03/01/2019,191.39
44,190.08,191.63,189.73,"2,736,292",02/28/2019,191.38
45,191.42,192.19,188.66,"1,886,181",02/27/2019,188.74
46,190.08,191.65,189.36,"2,400,073",02/26/2019,189.56
47,189.81,190.47,187.89,"3,088,166",02/25/2019,188.66
48,187.5,188.86,185.81,"2,774,094",02/22/2019,185.89
49,185.5,187.4,184.75,"2,947,581",02/21/2019,186.39
50,186.92,189.22,186.48,"2,985,858",02/20/2019,187.19
51,186.97,188.47,186.85,"2,267,508",02/19/2019,187.79
52,188.34,189.1,185.99,"3,314,157",02/15/2019,188.065
53,186.68,187.795,185.76,"2,611,504",02/14/2019,187.59
54,188.98,190.12,188.3969,"2,154,295",02/13/2019,189.22
55,188.43,188.96,186.43,"2,412,312",02/12/2019,187.33
56,185.79,187.11,185.51,"2,867,315",02/11/2019,186.79
57,186,186.05,183.41,"2,601,017",02/08/2019,183.41
58,184.23,190.67,182.67,"4,103,734",02/07/2019,190.67
59,190.76,191.87,188.11,"3,317,028",02/06/2019,188.31
60,188.31,189.06,185.72,"4,844,906",02/05/2019,186.2
61,186.18,187.14,184.29,"2,923,390",02/04/2019,186.96
62,187.07,187.83,185.56,"2,408,245",02/01/2019,186.51
63,187.11,187.6,183.91,"4,384,673",01/31/2019,184.78
64,184.86,189.755,179.65,"7,875,845",01/30/2019,188.89
65,192.11,193.67,190.8,"2,951,309",01/29/2019,192.18
66,191.95,194.97,190.014,"4,185,244",01/28/2019,194.97
