,Date,Open,High,Low,Close,Volume
4,1861.69,1870.82,1859.48,"2,745,002",04/18/2019,1868.79
5,1864.82,1876.473,1860.44,"2,838,130",04/17/2019,1872.99
6,1863.04,1869.77,1848,"3,036,907",04/16/2019,1851.35
7,1844.87,1846.85,1818.9,"3,710,653",04/15/2019,1842
8,1843.06,1851.5,1841.3,"3,090,899",04/12/2019,1848.4
9,1844.07,1849.95,1840.31,"2,623,197",04/11/2019,1848.7
10,1847.33,1848,1828.81,"2,951,939",04/10/2019,1841
11,1835.84,1853.09,1831.78,"3,703,283",04/09/2019,1845.49
12,1849.86,1850.2,1825.11,"3,745,428",04/08/2019,1833.23
13,1837.28,1838.58,1825.19,"3,628,458",04/05/2019,1829
14,1818.86,1828.75,1804.2,"3,614,013",04/04/2019,1820.65
15,1820.7,1830,1809.62,"3,923,043",04/03/2019,1826.72
16,1813.98,1820,1805.121,"3,435,556",04/02/2019,1811.02
17,1814.19,1815.67,1798.73,"4,173,480",04/01/2019,1800.11
18,1780.75,1792.86,1776.63,"3,316,831",03/29/2019,1786.58
19,1773.42,1777.93,1753.47,"3,030,860",03/28/2019,1770
20,1765.7,1787.5,1745.68,"4,316,646",03/27/2019,1784.13
21,1783.76,1805.77,1773.3598,"4,848,654",03/26/2019,1793
22,1774.26,1782.6751,1747.5,"5,098,182",03/25/2019,1757.79
23,1764.77,1818.98,1763.11,"6,347,858",03/22/2019,1810.17
24,1819.26,1823.75,1787.281,"5,740,075",03/21/2019,1796.26
25,1797.27,1799.5,1767.0338,"6,153,806",03/20/2019,1769.94
26,1761.85,1784.16,1753.51,"6,339,232",03/19/2019,1753.51
27,1742.15,1750,1712.63,"5,403,392",03/18/2019,1712.7
28,1712.36,1718.8,1693.13,"7,538,300",03/15/2019,1703
29,1686.22,1702,1684.34,"2,937,759",03/14/2019,1691.2
30,1690.81,1700,1679.35,"3,540,837",03/13/2019,1683
31,1673.1,1684.265,1660.98,"3,562,993",03/12/2019,1669
32,1670.62,1672.285,1626.01,"3,797,298",03/11/2019,1626.12
33,1620.8,1622.72,1586.57,"4,659,945",03/08/2019,1604.01
34,1625.95,1669.7534,1620.51,"4,945,564",03/07/2019,1667.37
35,1668.95,1697.75,1668.28,"3,984,996",03/06/2019,1695.97
36,1692.43,1707.8,1689.01,"3,667,977",03/05/2019,1702.95
37,1696.17,1709.43,1674.36,"6,154,237",03/04/2019,1685
38,1671.73,1674.26,1651,"4,661,618",03/01/2019,1655.13
39,1639.83,1651.77,1633.83,"3,016,008",02/28/2019,1635.25
40,1641.09,1641.81,1615.1,"3,141,146",02/27/2019,1628.18
41,1636.4,1639.99,1616.1335,"2,657,019",02/26/2019,1625.98
42,1633,1654.6,1630.3873,"3,169,190",02/25/2019,1641.45
43,1631.56,1634.94,1621.17,"3,090,342",02/22/2019,1623.5
44,1619.44,1623.56,1600.91,"3,460,682",02/21/2019,1619.85
45,1622.1,1634.93,1610.12,"3,314,310",02/20/2019,1630
46,1627.58,1634,1600.56,"3,671,821",02/19/2019,1601
47,1607.95,1628.9099,1604.5,"4,333,397",02/15/2019,1627.86
48,1622.65,1637.9,1606.061,"4,106,555",02/14/2019,1624.5
49,1640,1656.38,1637.1063,"3,545,096",02/13/2019,1647
50,1638.01,1639.395,1598.88,"4,830,487",02/12/2019,1604
51,1591,1609.29,1586,"3,301,240",02/11/2019,1600.98
52,1588.22,1588.59,1566.756,"5,649,888",02/08/2019,1586
53,1614.37,1625.5389,1592.91,"4,605,293",02/07/2019,1625
54,1640.26,1672.26,1633.34,"3,930,870",02/06/2019,1670.75
55,1658.81,1665.26,1642.5,"4,443,632",02/05/2019,1643.34
56,1633.31,1649.63,1613.5,"4,911,319",02/04/2019,1623
57,1626.23,1673.06,1622.01,"11,484,130",02/01/2019,1638.88
58,1718.73,1736.411,1679.0821,"10,304,330",01/31/2019,1692.85
59,1670.43,1676.95,1619.68,"5,717,042",01/30/2019,1623
60,1593.88,1632.38,1590.72,"4,591,586",01/29/2019,1631.27
61,1637.89,1645,1614.09,"4,807,564",01/28/2019,1643.59
62,1670.57,1683.48,1661.6122,"4,933,434",01/25/2019,1670.5
63,1654.93,1657.2572,1631.7847,"4,077,737",01/24/2019,1641.07
64,1640.02,1657.43,1612,"5,192,420",01/23/2019,1656
65,1632.17,1681.8668,1610.2,"6,402,655",01/22/2019,1681
66,1696.2,1716.2,1691.54,"5,973,318",01/18/2019,1712
