,Date,Open,High,Low,Close,Volume
4,10/30/2018,264.34,267.25,261.6,265.49,"1,899,644"
5,10/29/2018,267.92,269.48,259.72,263.52,"2,179,944"
6,10/26/2018,269.71,270.0,263.51,265.75,"1,653,673"
7,10/25/2018,266.44,273.69,263.89,270.93,"1,890,760"
8,10/24/2018,273.53,276.47,265.1,265.43,"1,753,646"
9,10/23/2018,271.92,276.12,268.51,274.09,"1,654,854"
10,10/22/2018,279.26,280.51,272.79,275.73,"942,137"
11,10/19/2018,281.09,283.06,278.51,279.15,"1,006,894"
12,10/18/2018,279.68,282.55,277.91,281.19,"903,811"
13,10/17/2018,276.92,281.4,275.7,279.58,"1,067,941"
14,10/16/2018,270.93,279.08,270.0,278.42,"1,417,750"
15,10/15/2018,270.99,271.93,267.32,267.38,"1,305,310"
16,10/12/2018,269.49,272.91,267.72,271.41,"1,325,569"
17,10/11/2018,272.35,274.59,266.03,268.52,"2,015,523"
18,10/10/2018,279.05,279.53,272.05,272.65,"1,944,485"
19,10/09/2018,277.42,280.43,275.22,279.18,"923,811"
20,10/08/2018,275.95,277.99,274.61,277.39,"780,207"
21,10/05/2018,275.66,277.98,274.31,275.92,"655,946"
22,10/04/2018,276.41,276.88,273.22,274.99,"693,866"
23,10/03/2018,276.92,277.2,275.31,276.24,"707,198"
24,10/02/2018,276.3,277.85,275.05,276.12,"922,529"
25,10/01/2018,274.76,278.11,273.77,276.2,"1,015,299"
26,09/28/2018,271.61,274.22,269.96,274.05,"1,053,791"
27,09/27/2018,270.0,273.22,269.65,271.64,"909,530"
28,09/26/2018,270.0,271.53,268.87,269.46,"784,349"
29,09/25/2018,273.73,274.33,269.7,270.25,"1,053,927"
30,09/24/2018,271.9,274.69,270.6,273.23,"1,040,212"
31,09/21/2018,274.22,276.0,272.52,272.52,"2,631,104"
32,09/20/2018,272.35,275.07,272.09,274.12,"1,247,738"
33,09/19/2018,271.76,272.66,270.4,271.85,"1,091,485"
34,09/18/2018,269.29,272.7,268.99,270.97,"1,061,409"
35,09/17/2018,272.17,274.0,269.3,269.63,"922,213"
36,09/14/2018,270.2,272.26,269.771,270.78,"1,022,374"
37,09/13/2018,267.47,270.88,265.95,270.34,"1,200,218"
38,09/12/2018,263.75,267.81,263.69,266.34,"873,736"
39,09/11/2018,261.94,264.28,260.8,264.17,"1,294,183"
40,09/10/2018,267.73,269.04,261.76,262.59,"1,976,307"
41,09/07/2018,269.87,273.14,269.36,271.9,"1,824,048"
42,09/06/2018,267.78,272.36,267.04,270.89,"1,502,634"
43,09/05/2018,267.39,268.28,265.22,267.85,"2,044,965"
44,09/04/2018,264.17,266.11,262.7085,263.7,"1,161,810"
45,08/31/2018,264.32,265.386,263.18,264.73,"1,149,092"
46,08/30/2018,267.02,267.02,264.31,265.01,"769,418"
47,08/29/2018,266.96,268.13,265.785,267.13,"650,338"
48,08/28/2018,267.26,267.705,266.3,266.71,"691,008"
49,08/27/2018,266.38,266.87,264.71,266.23,"814,616"
50,08/24/2018,264.35,266.0,263.89,265.38,"883,617"
51,08/23/2018,262.79,265.56,262.35,264.28,"730,781"
52,08/22/2018,262.81,263.4698,260.81,262.94,"661,241"
53,08/21/2018,262.79,263.78,261.9,262.6,"725,238"
54,08/20/2018,263.95,263.96,262.41,263.17,"856,872"
55,08/17/2018,266.92,267.295,263.86,263.95,"940,075"
56,08/16/2018,265.65,268.04,264.484,266.53,"1,056,361"
57,08/15/2018,263.91,265.06,262.286,264.17,"913,749"
58,08/14/2018,263.17,266.0,263.01,264.97,"931,134"
59,08/13/2018,260.85,264.55,260.05,262.94,"897,581"
60,08/10/2018,260.24,262.14,259.1456,260.04,"700,257"
61,08/09/2018,260.46,263.235,260.46,261.13,"680,654"
62,08/08/2018,258.78,260.87,257.37,260.54,"772,325"
63,08/07/2018,258.13,259.56,257.76,257.97,"582,553"
64,08/06/2018,257.14,259.21,256.93,258.13,"808,692"
65,08/03/2018,256.54,258.59,254.42,257.95,"767,482"
66,08/02/2018,251.39,257.08,251.3,256.53,"887,227"
67,08/01/2018,255.0,256.38,250.0125,252.27,"1,308,851"
68,07/31/2018,251.96,253.67,251.175,253.0,"1,336,530"
69,07/30/2018,249.23,253.885,249.23,252.21,"1,520,602"
