,Date,Open,High,Low,Close,Volume
4,175.17,175.86,173.32,"838,317",04/18/2019,174.59
5,175.37,178.87,173.84,"890,210",04/17/2019,178.01
6,176.93,176.96,175.85,"718,222",04/16/2019,175.87
7,175.96,176.75,175.67,"547,907",04/15/2019,176.03
8,176.12,176.3,174.65,"686,536",04/12/2019,175.21
9,173.89,174.205,171.89,"939,259",04/11/2019,172.82
10,172.84,173.03,171.95,"386,925",04/10/2019,172.21
11,172.0,172.34,171.39,"721,099",04/09/2019,171.86
12,172.79,172.87,171.615,"430,536",04/08/2019,172.2
13,172.59,173.52,171.94,"672,743",04/05/2019,172.5
14,172.54,173.6,171.6,"537,626",04/04/2019,173.06
15,172.74,173.98,171.83,"1,072,323",04/03/2019,173.77
16,173.14,175.26,172.89,"832,246",04/02/2019,174.1
17,173.44,173.58,171.29,"1,007,601",04/01/2019,171.72
18,170.7,170.83,169.53,"1,170,832",03/29/2019,170.0
19,169.17,169.32,167.92,"664,580",03/28/2019,168.42
20,167.98,168.68,166.9,"971,488",03/27/2019,167.86
21,167.76,167.85,166.02,"766,446",03/26/2019,166.9
22,166.64,166.95,165.22,"795,670",03/25/2019,166.57
23,166.31,167.68,165.91,"821,452",03/22/2019,166.11
24,168.2,168.59,165.33,"784,756",03/21/2019,165.63
25,165.71,167.97,165.67,"716,233",03/20/2019,167.52
26,167.96,169.47,167.74,"697,496",03/19/2019,169.2
27,169.2,170.72,168.81,"825,856",03/18/2019,170.0
28,170.0,170.27,167.95,"1,828,856",03/15/2019,168.72
29,168.58,169.25,167.06,"833,407",03/14/2019,167.26
30,167.09,168.45,166.66,"818,280",03/13/2019,166.75
31,166.48,167.01,164.44,"959,485",03/12/2019,164.87
32,164.71,164.74,162.66,"1,064,273",03/11/2019,162.79
33,162.04,162.17,160.29,"934,736",03/08/2019,161.59
34,162.55,163.99,161.75,"1,644,263",03/07/2019,163.4
35,164.0,166.56,163.31,"2,488,243",03/06/2019,166.52
36,157.25,172.69,156.09,"6,686,183",03/05/2019,171.32
37,170.63,172.35,169.75,"1,630,723",03/04/2019,171.99
38,171.65,172.91,170.88,"899,809",03/01/2019,172.75
39,171.53,172.3,170.66,"1,205,621",02/28/2019,171.1
40,171.19,171.44,170.17,"662,024",02/27/2019,170.68
41,171.35,172.1,170.63,"993,361",02/26/2019,170.95
42,171.17,173.22,170.99,"982,529",02/25/2019,172.28
43,172.06,172.655,171.38,"998,066",02/22/2019,172.46
44,172.4,173.335,171.95,"929,222",02/21/2019,172.93
45,172.8,173.32,171.66,"1,005,034",02/20/2019,172.74
46,172.66,173.53,170.8875,"1,080,531",02/19/2019,171.31
47,171.97,172.1,170.29,"1,257,910",02/15/2019,171.45
48,169.62,172.13,169.58,"961,082",02/14/2019,171.6
49,172.96,173.09,171.24,"1,073,093",02/13/2019,171.58
50,171.28,172.18,170.42,"1,101,033",02/12/2019,171.61
51,170.76,170.82,168.26,"1,103,024",02/11/2019,168.73
52,168.17,168.17,166.39,"847,908",02/08/2019,166.48
53,166.88,167.63,164.69,"1,060,447",02/07/2019,167.27
54,168.35,168.75,166.67,"1,175,480",02/06/2019,168.26
55,168.75,168.98,166.37,"1,114,542",02/05/2019,167.32
56,166.8,168.5,165.16,"1,766,579",02/04/2019,168.5
57,167.46,168.49,157.54,"3,263,331",02/01/2019,157.81
58,156.23,157.88,153.17,"1,879,121",01/31/2019,153.76
59,154.5,154.75,152.45,"2,153,738",01/30/2019,152.66
60,152.4,153.705,151.65,"978,455",01/29/2019,153.27
61,153.67,153.9399,152.17,"829,856",01/28/2019,153.46
62,154.39,155.73,153.71,"706,337",01/25/2019,154.62
63,153.91,154.6,152.99,"998,339",01/24/2019,153.85
64,154.06,154.75,152.485,"724,162",01/23/2019,154.0
65,153.7,155.26,152.68,"759,143",01/22/2019,154.07
66,154.41,154.7,152.67,"839,795",01/18/2019,153.06
