,Date,Open,High,Low,Close,Volume
4,10/26/2018,123.97,124.33,120.51,121.09,"447,771"
5,10/25/2018,123.33,125.24,122.67,124.66,"406,020"
6,10/24/2018,122.28,124.47,121.99,123.24,"463,322"
7,10/23/2018,119.94,123.06,119.57,122.5,"604,211"
8,10/22/2018,122.66,123.0944,120.5,120.56,"580,899"
9,10/19/2018,121.95,122.89,121.68,122.42,"644,400"
10,10/18/2018,122.51,123.88,121.44,121.79,"436,515"
11,10/17/2018,123.34,123.74,121.61,122.57,"625,624"
12,10/16/2018,121.54,123.84,120.98,123.45,"586,316"
13,10/15/2018,119.5,123.02,119.5,121.06,"642,883"
14,10/12/2018,120.71,121.5,119.24,120.04,"871,514"
15,10/11/2018,125,125.01,119.56,119.79,"1,062,673"
16,10/10/2018,125.39,126.89,124.7,124.71,"724,722"
17,10/09/2018,125.16,126,123.9,125.96,"811,537"
18,10/08/2018,123.05,126.12,122.97,125.35,"852,708"
19,10/05/2018,122.82,123.82,122.65,122.88,"502,804"
20,10/04/2018,122.46,122.97,121.07,122.66,"403,911"
21,10/03/2018,123.4,124.46,121.93,122.98,"510,464"
22,10/02/2018,123.48,123.87,122.67,123.4,"359,872"
23,10/01/2018,125.38,126.03,123.15,123.36,"675,115"
24,09/28/2018,122.85,125.89,122.85,125.79,"792,818"
25,09/27/2018,122.12,123.88,121.77,122.73,"599,886"
26,09/26/2018,123.29,123.83,122.27,122.43,"711,865"
27,09/25/2018,124.32,124.71,122.72,123.24,"608,927"
28,09/24/2018,126.46,127.16,123.64,124.35,"397,222"
29,09/21/2018,126.03,128.17,125.825,126.8,"1,484,498"
30,09/20/2018,125.47,126.51,124.82,126.24,"464,818"
31,09/19/2018,126.8,127.16,125.03,125.44,"451,049"
32,09/18/2018,127.57,127.9,126.14,126.6,"352,866"
33,09/17/2018,127.05,127.75,126.1,127.58,"704,515"
34,09/14/2018,127.66,127.72,125.93,126.99,"392,234"
35,09/13/2018,128,128.33,127.4,128.02,"553,609"
36,09/12/2018,128.02,128.12,127.53,127.64,"303,650"
37,09/11/2018,126.77,128.235,126.71,127.96,"435,748"
38,09/10/2018,127.54,128.505,127.23,127.39,"365,723"
39,09/07/2018,128,128.24,126.54,126.65,"530,009"
40,09/06/2018,127.79,129.01,127.5,128.61,"1,152,797"
41,09/05/2018,125.49,127.7641,125.0201,127.51,"882,750"
42,09/04/2018,128.07,128.28,125.77,125.98,"455,665"
43,08/31/2018,127.48,128.52,127.41,128.35,"537,285"
44,08/30/2018,128.17,128.38,126.9,127.35,"712,054"
45,08/29/2018,128.65,128.82,127.59,128.08,"458,460"
46,08/28/2018,126.28,128.45,125.93,128.35,"420,921"
47,08/27/2018,127,127.05,125.55,126.35,"439,305"
48,08/24/2018,126.39,126.97,125.59,126.63,"392,823"
49,08/23/2018,126.73,127.67,126.35,126.52,"347,704"
50,08/22/2018,127.19,127.59,125.65,126.52,"523,113"
51,08/21/2018,127.86,128.9,127.11,127.29,"516,908"
52,08/20/2018,130.42,130.42,128.24,128.41,"441,384"
53,08/17/2018,128.57,129.79,128.305,129.76,"433,483"
54,08/16/2018,126.52,129.03,126.52,128.62,"587,395"
55,08/15/2018,124.58,126.9,124.52,126.74,"463,994"
56,08/14/2018,124.28,124.87,123.17,124.5,"592,088"
57,08/13/2018,125.31,125.83,124.1601,124.18,"499,949"
58,08/10/2018,126.2,126.72,125.03,125.21,"411,805"
59,08/09/2018,126.61,126.96,126.205,126.47,"328,037"
60,08/08/2018,127.68,127.95,126.74,126.84,"261,785"
61,08/07/2018,127.84,127.84,126.91,127.48,"398,199"
62,08/06/2018,127.49,128.34,126.965,128.21,"567,376"
63,08/03/2018,126.05,127.48,125.46,127.46,"429,127"
64,08/02/2018,127.42,128.21,125.96,126.05,"662,691"
65,08/01/2018,126.2,128.35,125.445,128.17,"678,965"
66,07/31/2018,123.83,128.35,122.95,127.44,"1,437,458"
67,07/30/2018,122.5,122.94,121.61,122.82,"615,037"
68,07/27/2018,123.81,123.81,122.23,122.55,"566,174"
69,07/26/2018,123.62,124.14,122.87,123.3,"346,587"
