,Date,Open,High,Low,Close,Volume
4,10/26/2018,177.81,177.81,173.2,174.89,"735,502"
5,10/25/2018,176.58,178.95,175.396,177.68,"404,381"
6,10/24/2018,174.14,178.89,173.6,176.67,"544,899"
7,10/23/2018,171.96,174.7999,170.77,173.71,"494,334"
8,10/22/2018,177.4,178.09,172.56,172.84,"500,528"
9,10/19/2018,176.29,178.39,176.29,177.97,"444,310"
10,10/18/2018,176,177.5,175.63,176.3,"321,518"
11,10/17/2018,176.04,176.86,174.8,176,"523,381"
12,10/16/2018,173.39,176.84,172.44,176.14,"518,207"
13,10/15/2018,172.22,175.18,172.22,172.9,"454,138"
14,10/12/2018,174.1,175.43,172.06,172.79,"558,814"
15,10/11/2018,178.88,178.88,172.8,173.19,"833,458"
16,10/10/2018,180.12,181.63,178.12,178.36,"504,778"
17,10/09/2018,179.28,181.28,178.14,181.13,"556,663"
18,10/08/2018,177.4,180.6299,177.4,179.33,"526,823"
19,10/05/2018,177.57,179.02,177.06,177.31,"374,515"
20,10/04/2018,177.74,178.2178,175.58,177.22,"545,584"
21,10/03/2018,180.38,181.23,176.93,178.61,"470,263"
22,10/02/2018,180.21,181.66,179.8,179.99,"372,449"
23,10/01/2018,180.86,181.64,179.87,179.96,"538,253"
24,09/28/2018,177.52,181.23,177.52,181.15,"873,967"
25,09/27/2018,178.06,178.91,176.91,177.73,"506,985"
26,09/26/2018,181.06,181.33,178.05,178.21,"666,639"
27,09/25/2018,181,181.645,179.45,181.14,"580,900"
28,09/24/2018,184.72,185.205,180.07,180.72,"560,948"
29,09/21/2018,184.87,185.99,183.5,185.19,"974,779"
30,09/20/2018,182.32,184.26,181.32,184.13,"446,788"
31,09/19/2018,184.31,184.44,181.45,182.1,"479,282"
32,09/18/2018,184.73,185.06,183.19,184.08,"398,666"
33,09/17/2018,183.39,184.86,182.99,184.73,"644,438"
34,09/14/2018,185.24,185.38,182.12,183.29,"615,313"
35,09/13/2018,184.65,185.77,183.84,185.72,"544,187"
36,09/12/2018,184.22,184.8,182.88,183.72,"344,477"
37,09/11/2018,183.08,184.66,183.08,183.92,"527,487"
38,09/10/2018,184.37,185.14,183.74,184.29,"501,078"
39,09/07/2018,183.41,183.82,182.14,183.18,"472,023"
40,09/06/2018,184.45,185.14,183.81,184.24,"570,893"
41,09/05/2018,182.22,184.785,181.33,183.9,"543,630"
42,09/04/2018,182.55,183.95,181.9,182.86,"381,575"
43,08/31/2018,183.22,184.235,182.22,183.29,"532,627"
44,08/30/2018,184.86,184.86,182.69,182.83,"301,619"
45,08/29/2018,184.97,185.34,183.77,184.26,"380,813"
46,08/28/2018,182.38,184.54,181.945,184.49,"391,733"
47,08/27/2018,183.19,183.26,180.73,182.47,"521,631"
48,08/24/2018,180.85,183.13,180.85,182.8,"318,204"
49,08/23/2018,181.45,181.78,180.85,181.15,"235,152"
50,08/22/2018,181.26,181.47,180.27,181.3,"378,732"
51,08/21/2018,182.66,182.74,180.5,181.03,"384,874"
52,08/20/2018,183.87,184.32,182.68,183.07,"537,413"
53,08/17/2018,181.55,183.345,180.83,183.2,"541,706"
54,08/16/2018,180.48,181.5,179.75,181.32,"391,970"
55,08/15/2018,178.26,180.85,178,180.3,"554,646"
56,08/14/2018,177.72,179.24,177.23,178.63,"502,391"
57,08/13/2018,177.27,178.03,176.57,177.67,"466,382"
58,08/10/2018,178.89,179.53,177.16,177.2,"479,107"
59,08/09/2018,178.5,179.235,177.89,178.89,"341,212"
60,08/08/2018,179.54,179.54,177.745,178.26,"319,459"
61,08/07/2018,180.39,180.89,177.29,179.09,"841,883"
62,08/06/2018,179.71,182.04,178.98,180.21,"725,734"
63,08/03/2018,178.68,180.37,177.4,180.08,"825,253"
64,08/02/2018,178.05,179.37,174.63,178.5,"611,908"
65,08/01/2018,175.85,178.46,172.86,178.21,"983,230"
66,07/31/2018,173.07,179.18,169.71,176.85,"1,323,522"
67,07/30/2018,172.31,173.13,170.98,172.17,"453,007"
68,07/27/2018,173.36,173.38,171.4274,172.23,"426,274"
69,07/26/2018,172.97,174.32,172.4,172.88,"348,998"
