,Date,Open,High,Low,Close,Volume
4,08/15/2018,205.13,207.58,202.77,206.58,"4,043,343"
5,08/14/2018,211.58,211.58,206.84,207.3,"3,581,360"
6,08/13/2018,211.65,213.979,210.45,211.08,"2,935,900"
7,08/10/2018,212.81,214.48,210.46,212.23,"3,700,510"
8,08/09/2018,220.15,220.2478,215.94,216.58,"2,750,929"
9,08/08/2018,220.54,221.23,218.95,219.46,"1,579,885"
10,08/07/2018,219.22,221.835,217.14,220.31,"2,979,821"
11,08/06/2018,216.63,218.3051,215.86,216.95,"2,263,519"
12,08/03/2018,215.75,218.0,214.4,217.81,"2,481,020"
13,08/02/2018,214.27,218.26,213.25,216.35,"4,010,484"
14,08/01/2018,223.26,223.94,216.2,216.8,"4,265,911"
15,07/31/2018,226.68,228.84,221.54,221.77,"6,287,858"
16,07/30/2018,221.11,228.015,221.05,225.19,"7,524,057"
17,07/27/2018,224.01,229.29,220.07,221.05,"7,943,214"
18,07/26/2018,226.5,229.77,221.57,223.18,"8,497,137"
19,07/25/2018,217.71,228.65,217.71,225.97,"9,218,224"
20,07/24/2018,217.8,220.3895,216.0,217.34,"8,021,016"
21,07/23/2018,210.41,218.64,210.4,216.72,"8,207,024"
22,07/20/2018,210.1,211.21,208.76,210.33,"6,288,992"
23,07/19/2018,208.29,211.48,208.04,210.37,"6,241,328"
24,07/18/2018,207.22,209.88,206.63,208.78,"8,077,578"
25,07/17/2018,202.21,209.09,202.01,208.31,"11,019,600"
26,07/16/2018,201.6,206.38,200.53,203.25,"10,210,210"
27,07/13/2018,212.5,214.0,201.9,202.46,"16,161,920"
28,07/12/2018,207.08,210.28,197.4567,209.98,"43,468,160"
29,07/11/2018,244.95,247.54,242.61,243.44,"3,446,374"
30,07/10/2018,248.34,251.8,247.05,250.56,"1,639,909"
31,07/09/2018,249.0,249.23,245.525,247.43,"1,783,264"
32,07/06/2018,244.9,248.6,244.42,247.68,"2,309,801"
33,07/05/2018,241.79,245.61,240.68,245.4,"2,526,056"
34,07/03/2018,243.36,243.39,239.0,239.29,"1,159,050"
35,07/02/2018,240.09,242.22,237.42,242.05,"3,176,624"
36,06/29/2018,246.95,246.95,242.57,242.64,"4,276,790"
37,06/28/2018,246.28,247.32,242.265,244.9,"3,323,441"
38,06/27/2018,252.09,255.16,246.85,247.11,"2,471,360"
39,06/26/2018,253.0,254.61,250.55,251.54,"2,422,743"
40,06/25/2018,256.42,256.42,250.43,252.42,"2,968,597"
41,06/22/2018,261.18,261.5,258.96,259.71,"5,239,060"
42,06/21/2018,261.58,262.57,258.44,259.65,"1,813,925"
43,06/20/2018,261.5,264.02,260.74,261.22,"2,494,854"
44,06/19/2018,256.0,261.13,254.15,260.95,"3,619,317"
45,06/18/2018,269.0,269.0,264.23,264.5,"3,014,349"
46,06/15/2018,268.66,271.81,266.33,270.23,"6,094,111"
47,06/14/2018,265.0,269.07,264.1,268.46,"3,701,270"
48,06/13/2018,261.76,266.07,260.71,263.58,"3,456,391"
49,06/12/2018,260.33,261.73,258.4,261.43,"2,745,231"
50,06/11/2018,257.86,261.8,256.32,260.83,"3,175,518"
51,06/08/2018,256.74,259.93,253.74,257.97,"7,368,502"
52,06/07/2018,263.0,266.48,262.92,264.68,"4,559,367"
53,06/06/2018,260.74,263.78,259.71,263.52,"3,741,880"
54,06/05/2018,259.46,261.35,258.04,259.26,"4,066,500"
55,06/04/2018,258.0,259.36,256.23,258.37,"2,580,395"
56,06/01/2018,254.37,257.7,252.54,256.34,"2,579,589"
57,05/31/2018,249.26,255.29,249.0,252.07,"3,467,545"
58,05/30/2018,251.18,252.03,249.33,249.4,"2,666,161"
59,05/29/2018,248.64,251.11,248.4675,249.69,"2,821,373"
60,05/25/2018,244.04,250.68,244.04,250.03,"3,081,152"
61,05/24/2018,240.86,244.36,240.0,243.53,"2,181,609"
62,05/23/2018,236.23,240.63,236.03,240.56,"2,341,282"
63,05/22/2018,240.24,241.3695,237.58,238.49,"1,832,352"
64,05/21/2018,239.46,240.5,236.67,239.05,"2,556,424"
65,05/18/2018,239.86,240.62,235.88,235.99,"2,524,306"
66,05/17/2018,238.12,241.66,238.0003,239.45,"2,277,850"
67,05/16/2018,242.14,242.21,238.99,240.51,"2,818,341"
68,05/15/2018,242.31,244.44,238.5,241.58,"2,493,728"
