,Date,Open,High,Low,Close,Volume
4,10/12/2018,104.31,104.92,101.71,103.0,"4,852,792"
5,10/11/2018,103.22,104.34,101.55,101.58,"6,067,772"
6,10/10/2018,106.96,107.01,103.5226,103.57,"4,535,246"
7,10/09/2018,106.3,106.93,105.935,106.66,"2,604,183"
8,10/08/2018,106.63,107.23,105.57,106.99,"2,716,065"
9,10/05/2018,108.06,108.47,106.72,107.23,"2,399,808"
10,10/04/2018,108.25,108.85,106.81,107.74,"2,478,723"
11,10/03/2018,109.25,109.4,108.25,108.45,"2,505,064"
12,10/02/2018,108.01,108.47,107.31,108.39,"2,223,078"
13,10/01/2018,107.81,108.99,107.61,107.9,"3,361,319"
14,09/28/2018,107.27,107.87,106.28,106.49,"3,931,470"
15,09/27/2018,108.01,108.35,107.34,107.85,"2,121,705"
16,09/26/2018,110.08,110.11,107.8,108.01,"2,943,601"
17,09/25/2018,110.24,110.24,109.38,109.87,"1,910,563"
18,09/24/2018,110.74,110.835,109.35,109.85,"1,871,568"
19,09/21/2018,111.29,111.51,110.76,110.9,"5,657,531"
20,09/20/2018,110.85,111.77,110.65,111.11,"2,844,755"
21,09/19/2018,110.0,110.46,109.73,110.1,"2,365,735"
22,09/18/2018,109.44,109.87,108.965,109.64,"2,173,159"
23,09/17/2018,110.21,110.24,108.941,109.2,"2,383,108"
24,09/14/2018,108.84,110.01,108.84,109.56,"2,977,624"
25,09/13/2018,108.2,109.19,107.93,108.66,"3,417,624"
26,09/12/2018,108.31,108.685,107.66,107.88,"4,100,593"
27,09/11/2018,106.71,108.465,106.47,108.31,"2,795,761"
28,09/10/2018,106.56,107.8,106.56,107.29,"3,310,255"
29,09/07/2018,105.64,106.345,105.35,106.08,"2,498,391"
30,09/06/2018,105.5,105.87,104.55,105.4,"3,623,884"
31,09/05/2018,107.0,107.25,104.88,105.68,"5,511,779"
32,09/04/2018,106.35,107.27,105.58,107.01,"2,941,829"
33,08/31/2018,105.52,106.4,105.3,105.98,"2,115,465"
34,08/30/2018,106.6,106.67,105.97,106.23,"1,868,325"
35,08/29/2018,107.04,107.31,105.885,106.71,"1,896,159"
36,08/28/2018,107.06,107.43,106.6784,107.28,"2,275,033"
37,08/27/2018,106.79,107.33,106.28,107.05,"1,945,203"
38,08/24/2018,105.91,106.34,105.45,105.76,"1,843,975"
39,08/23/2018,105.54,106.0165,105.16,105.37,"1,866,769"
40,08/22/2018,104.9,106.26,104.51,105.83,"2,761,301"
41,08/21/2018,103.92,105.25,103.76,104.81,"3,213,792"
42,08/20/2018,103.02,103.965,102.931,103.83,"2,264,121"
43,08/17/2018,102.63,103.31,102.06,103.03,"1,950,759"
44,08/16/2018,101.9,103.14,101.865,102.65,"2,290,356"
45,08/15/2018,101.57,101.93,100.84,101.51,"2,219,592"
46,08/14/2018,101.93,102.6,101.83,102.18,"2,327,069"
47,08/13/2018,101.48,102.3,101.4,101.81,"3,389,232"
48,08/10/2018,102.09,102.2,101.17,101.58,"2,473,161"
49,08/09/2018,102.44,103.32,102.28,102.99,"2,434,972"
50,08/08/2018,102.0,102.95,101.81,102.78,"2,228,875"
51,08/07/2018,101.49,102.75,101.37,101.97,"1,852,802"
52,08/06/2018,100.77,101.32,100.4,100.92,"2,004,583"
53,08/03/2018,99.96,100.9,99.7,100.79,"1,830,396"
54,08/02/2018,98.9,99.925,98.67,99.73,"2,481,594"
55,08/01/2018,99.9,100.93,99.17,99.45,"3,315,376"
56,07/31/2018,101.05,101.2,99.44,99.52,"4,329,852"
57,07/30/2018,102.73,103.11,100.35,100.85,"4,420,103"
58,07/27/2018,102.87,104.24,102.67,103.85,"3,807,242"
59,07/26/2018,102.84,103.15,102.355,102.5,"2,743,986"
60,07/25/2018,101.23,102.78,101.08,102.63,"2,548,576"
61,07/24/2018,101.46,102.09,101.17,101.71,"3,152,969"
62,07/23/2018,100.15,101.4008,100.01,101.22,"2,616,686"
63,07/20/2018,100.13,101.3,99.98,100.15,"3,324,791"
64,07/19/2018,100.2,101.37,99.28,100.17,"7,168,008"
65,07/18/2018,101.55,103.07,101.42,102.98,"5,893,410"
66,07/17/2018,100.78,101.46,100.65,101.15,"3,090,268"
67,07/16/2018,100.6,100.875,100.07,100.69,"3,264,682"
68,07/13/2018,101.08,101.15,99.62,100.5,"3,456,479"
69,07/12/2018,101.03,101.33,100.6,101.15,"3,687,614"
