,Date,Open,High,Low,Close,Volume
4,09/26/2018,162.25,162.585,159.11,159.41,"364,071"
5,09/25/2018,163.67,163.67,160.93,161.63,"378,203"
6,09/24/2018,163.85,163.995,160.1,162.82,"465,924"
7,09/21/2018,163.35,173.01,163.35,165.06,"1,707,073"
8,09/20/2018,158.94,161.6,157.58,161.13,"662,827"
9,09/19/2018,160.09,161.0,157.04,157.63,"443,275"
10,09/18/2018,158.15,160.0,156.555,159.89,"402,968"
11,09/17/2018,159.3,160.46,156.84,158.22,"464,851"
12,09/14/2018,157.83,162.0,157.56,159.1,"840,940"
13,09/13/2018,155.3,159.92,155.3,158.12,"638,977"
14,09/12/2018,152.9,158.36,148.825,155.11,"1,566,198"
15,09/11/2018,155.12,159.18,154.58,158.21,"503,938"
16,09/10/2018,157.28,158.47,152.62,154.95,"528,428"
17,09/07/2018,155.69,161.3413,155.35,156.41,"761,630"
18,09/06/2018,152.41,153.05,150.0,150.46,"313,580"
19,09/05/2018,150.1,152.42,149.92,151.93,"382,480"
20,09/04/2018,152.47,152.68,149.86,150.72,"337,063"
21,08/31/2018,150.52,153.5,150.28,152.84,"311,890"
22,08/30/2018,152.78,152.84,150.0,151.5,"467,083"
23,08/29/2018,152.4,153.03,150.526,153.0,"444,244"
24,08/28/2018,153.5,155.25,151.515,151.89,"701,870"
25,08/27/2018,150.25,154.42,149.5,153.5,"587,509"
26,08/24/2018,147.98,149.4097,146.87,149.03,"295,929"
27,08/23/2018,148.25,148.25,146.51,147.58,"436,749"
28,08/22/2018,147.57,148.61,145.695,148.39,"337,932"
29,08/21/2018,145.58,149.12,145.48,148.1,"516,369"
30,08/20/2018,143.94,145.6,143.25,145.09,"417,284"
31,08/17/2018,142.25,143.91,141.5,143.69,"452,070"
32,08/16/2018,140.46,143.1,140.23,142.35,"591,737"
33,08/15/2018,137.06,140.475,135.94,140.07,"507,878"
34,08/14/2018,136.42,138.57,136.1,137.5,"290,655"
35,08/13/2018,136.11,137.38,134.84,135.87,"262,590"
36,08/10/2018,134.72,136.435,133.56,135.71,"218,584"
37,08/09/2018,134.45,136.15,134.41,135.17,"242,408"
38,08/08/2018,136.91,136.91,133.18,134.16,"371,582"
39,08/07/2018,138.09,138.16,136.4,136.89,"317,936"
40,08/06/2018,136.43,138.43,136.41,138.16,"361,681"
41,08/03/2018,136.25,138.35,135.36,136.48,"364,037"
42,08/02/2018,134.81,137.24,134.08,135.77,"393,138"
43,08/01/2018,138.62,139.3,135.61,135.67,"449,616"
44,07/31/2018,136.67,140.81,136.05,139.03,"708,018"
45,07/30/2018,134.2,138.3,134.2,136.09,"759,338"
46,07/27/2018,133.85,134.5695,133.06,134.34,"428,446"
47,07/26/2018,132.77,134.89,131.82,133.9,"386,225"
48,07/25/2018,130.99,133.26,129.92,133.1,"397,698"
49,07/24/2018,131.54,133.1495,130.37,130.93,"425,974"
50,07/23/2018,130.31,131.86,129.1,130.27,"305,964"
51,07/20/2018,133.38,133.5,130.1,130.29,"537,016"
52,07/19/2018,133.11,134.48,131.81,133.64,"627,270"
53,07/18/2018,129.57,132.49,129.57,131.85,"591,791"
54,07/17/2018,131.39,133.12,129.99,130.91,"576,445"
55,07/16/2018,133.77,134.52,131.03,132.33,"704,302"
56,07/13/2018,132.19,135.5,131.44,134.46,"809,825"
57,07/12/2018,134.02,134.17,131.47,132.36,"672,122"
58,07/11/2018,129.83,134.11,128.665,132.66,"1,439,077"
59,07/10/2018,128.48,130.88,127.71,130.65,"843,549"
60,07/09/2018,129.33,129.46,127.42,127.85,"808,549"
61,07/06/2018,126.24,129.06,125.225,128.47,"1,365,618"
62,07/05/2018,133.54,134.0,125.56,126.1,"2,422,087"
63,07/03/2018,129.16,139.69,128.64,132.05,"3,175,031"
64,07/02/2018,115.26,117.88,115.01,117.12,"903,294"
65,06/29/2018,115.88,118.43,115.07,115.87,"917,670"
66,06/28/2018,119.29,119.49,113.91,115.39,"1,060,566"
67,06/27/2018,120.25,123.145,119.7,119.85,"795,981"
68,06/26/2018,120.39,120.99,119.5516,120.28,"510,597"
