,Date,Open,High,Low,Close,Volume
4,10/12/2018,48.02,48.19,45.93,46.88,"5,666,833"
5,10/11/2018,48.55,48.88,47.295,47.44,"6,860,635"
6,10/10/2018,49.65,50.16,48.7,48.73,"4,061,799"
7,10/09/2018,49.58,49.665,49.22,49.43,"3,405,675"
8,10/08/2018,48.94,50.0,48.9,49.74,"3,544,316"
9,10/05/2018,49.58,49.855,48.9,48.99,"3,223,556"
10,10/04/2018,48.99,50.125,48.93,49.39,"4,017,323"
11,10/03/2018,48.52,49.25,48.3,48.96,"4,141,313"
12,10/02/2018,48.29,48.58,47.85,48.27,"2,979,055"
13,10/01/2018,48.92,49.01,48.175,48.35,"2,340,819"
14,09/28/2018,48.59,48.85,48.41,48.54,"3,078,328"
15,09/27/2018,49.75,49.75,48.86,48.9,"3,251,635"
16,09/26/2018,50.54,50.62,49.67,49.75,"2,795,800"
17,09/25/2018,50.9,50.91,50.26,50.31,"2,289,932"
18,09/24/2018,51.36,51.42,50.64,50.68,"2,635,457"
19,09/21/2018,51.63,51.71,51.28,51.44,"4,792,118"
20,09/20/2018,51.23,51.785,51.23,51.57,"2,625,780"
21,09/19/2018,50.18,51.17,50.02,50.97,"3,376,872"
22,09/18/2018,50.29,50.32,49.895,50.06,"2,484,577"
23,09/17/2018,50.41,50.48,50.1,50.24,"2,697,048"
24,09/14/2018,50.02,50.31,49.92,50.21,"3,764,776"
25,09/13/2018,50.85,50.88,49.93,49.96,"3,888,724"
26,09/12/2018,51.75,51.92,50.65,50.67,"2,705,937"
27,09/11/2018,51.65,52.16,51.65,51.87,"1,402,437"
28,09/10/2018,52.16,52.22,51.7,51.76,"1,325,802"
29,09/07/2018,52.47,52.5,51.71,51.98,"1,898,884"
30,09/06/2018,52.4,52.475,52.11,52.25,"1,923,741"
31,09/05/2018,52.15,52.58,52.14,52.32,"2,142,269"
32,09/04/2018,51.65,52.19,51.41,52.14,"2,908,778"
33,08/31/2018,51.39,51.7,51.19,51.66,"2,022,624"
34,08/30/2018,51.86,52.04,51.45,51.53,"1,950,245"
35,08/29/2018,52.22,52.22,51.67,52.0,"1,824,294"
36,08/28/2018,52.38,52.41,51.97,52.12,"1,504,628"
37,08/27/2018,51.92,52.49,51.7497,52.25,"2,168,237"
38,08/24/2018,52.24,52.25,51.64,51.71,"2,042,744"
39,08/23/2018,52.63,52.7,51.865,52.01,"2,278,813"
40,08/22/2018,52.56,52.85,52.27,52.69,"1,838,886"
41,08/21/2018,52.39,53.076,52.13,52.71,"2,681,703"
42,08/20/2018,52.4,52.56,52.14,52.29,"1,977,250"
43,08/17/2018,52.07,52.57,52.03,52.43,"2,686,739"
44,08/16/2018,51.57,52.45,51.57,52.2,"2,746,638"
45,08/15/2018,51.48,51.73,51.1,51.33,"2,347,150"
46,08/14/2018,50.55,52.01,50.55,51.85,"3,963,598"
47,08/13/2018,50.73,51.01,50.45,50.51,"2,690,088"
48,08/10/2018,50.56,50.93,50.37,50.75,"2,588,965"
49,08/09/2018,51.49,51.59,51.065,51.2,"2,327,813"
50,08/08/2018,51.68,52.17,51.5308,52.01,"2,046,823"
51,08/07/2018,51.57,52.1,51.57,51.71,"3,027,618"
52,08/06/2018,51.48,51.7,50.97,51.42,"2,379,642"
53,08/03/2018,51.23,51.6262,51.23,51.6,"2,587,389"
54,08/02/2018,50.89,51.49,50.64,51.32,"2,412,752"
55,08/01/2018,50.99,51.515,50.96,51.11,"3,795,966"
56,07/31/2018,51.67,51.67,50.71,50.81,"5,256,939"
57,07/30/2018,51.38,51.865,51.33,51.44,"3,698,421"
58,07/27/2018,51.19,51.5499,50.94,51.32,"3,049,752"
59,07/26/2018,50.82,51.515,50.82,51.06,"3,368,542"
60,07/25/2018,50.76,51.03,50.29,50.68,"4,543,606"
61,07/24/2018,50.87,51.51,50.675,50.85,"5,452,411"
62,07/23/2018,49.82,50.9,49.79,50.75,"4,942,871"
63,07/20/2018,50.5,50.77,49.71,49.94,"6,925,279"
64,07/19/2018,50.43,51.69,49.75,50.52,"8,124,123"
65,07/18/2018,51.84,53.05,51.1,52.98,"5,800,165"
66,07/17/2018,51.69,52.24,51.48,52.0,"3,945,033"
67,07/16/2018,51.11,51.75,51.11,51.64,"2,445,419"
68,07/13/2018,51.48,51.48,50.74,50.93,"3,676,425"
69,07/12/2018,52.25,52.31,51.19,51.55,"3,020,775"
