,Date,Open,High,Low,Close,Volume
4,08/24/2018,83.05,83.1,80.92,82.08,"4,137,888"
5,08/23/2018,80.99,82.725,80.99,82.6,"3,382,635"
6,08/22/2018,81.9,84.37,80.63,80.95,"4,072,853"
7,08/21/2018,79.4,81.82,79.17,81.43,"4,695,111"
8,08/20/2018,78.54,79.72,78.28,79.38,"2,469,821"
9,08/17/2018,76.92,78.7,76.69,78.48,"1,799,246"
10,08/16/2018,78.13,78.37,76.48,76.91,"3,682,290"
11,08/15/2018,78.26,78.26,75.74,76.38,"3,630,076"
12,08/14/2018,77.45,79.01,77.3,78.53,"2,981,508"
13,08/13/2018,78.95,79.23,77.02,77.07,"2,003,696"
14,08/10/2018,78.24,79.25,78,78.71,"1,675,447"
15,08/09/2018,78.06,79.05,77.78,78.68,"2,214,050"
16,08/08/2018,76.88,77.52,76.63,77.29,"1,513,573"
17,08/07/2018,76.62,77.64,76.53,77.29,"1,639,768"
18,08/06/2018,76.03,76.63,75.88,76.42,"1,385,846"
19,08/03/2018,76.11,77.22,75.69,76.08,"1,426,051"
20,08/02/2018,74.38,76.06,74.31,75.92,"1,523,898"
21,08/01/2018,75.19,76.46,74.72,74.88,"2,243,247"
22,07/31/2018,74.57,75.49,74.4,75.03,"2,195,154"
23,07/30/2018,74.56,74.86,73.78,74.44,"3,122,233"
24,07/27/2018,75.9,76.5,74.355,74.68,"2,450,131"
25,07/26/2018,75.62,76.88,75.5,76.01,"2,120,463"
26,07/25/2018,75.2,75.44,74.4,75.32,"2,267,647"
27,07/24/2018,77.1,77.62,74.865,75.25,"2,412,239"
28,07/23/2018,75.97,76.92,75.745,76.4,"1,531,958"
29,07/20/2018,77.51,77.74,76.035,76.11,"2,779,607"
30,07/19/2018,76.35,78.79,76.2,77.98,"3,372,720"
31,07/18/2018,76.6,76.88,75.97,76.35,"1,856,430"
32,07/17/2018,75.78,76.83,75.49,76.56,"1,910,065"
33,07/16/2018,75.75,76.22,75.2199,75.48,"1,586,517"
34,07/13/2018,74.78,76.78,74.78,75.88,"3,106,068"
35,07/12/2018,74.65,75.0848,74.21,74.69,"1,257,427"
36,07/11/2018,74.54,74.75,73.03,74.28,"3,230,136"
37,07/10/2018,75.69,75.76,74.9,75.71,"2,094,455"
38,07/09/2018,74.57,75.42,74.401,75.21,"2,397,466"
39,07/06/2018,73.83,74.39,73.2,74.28,"1,442,475"
40,07/05/2018,73.98,74.31,73.26,73.74,"2,119,359"
41,07/03/2018,74.33,74.9,73.55,73.63,"1,185,668"
42,07/02/2018,74.33,74.45,72.84,74.35,"2,745,603"
43,06/29/2018,75.39,76.12,74.58,74.58,"3,004,534"
44,06/28/2018,73.93,75.2769,73.155,74.99,"3,235,698"
45,06/27/2018,76.54,76.93,74.05,74.08,"3,002,912"
46,06/26/2018,75.47,77.23,75.23,76.52,"2,853,943"
47,06/25/2018,75.92,76.71,74.58,75.11,"3,348,326"
48,06/22/2018,77.69,77.97,76.05,76.26,"4,128,479"
49,06/21/2018,75.85,77.74,75.76,77.23,"2,927,351"
50,06/20/2018,76.38,76.63,75.18,75.86,"3,306,796"
51,06/19/2018,76,76.8,75.12,76.41,"4,188,186"
52,06/18/2018,74.1,77.12,73.97,77.06,"4,096,724"
53,06/15/2018,72.88,74.98,71.93,74.81,"6,386,390"
54,06/14/2018,73.21,74.03,73.04,73.32,"3,288,500"
55,06/13/2018,73.7,73.74,72.8,73.26,"3,643,633"
56,06/12/2018,74.05,74.25,72.92,74.05,"3,233,561"
57,06/11/2018,72.45,74.23,72.34,73.64,"3,992,541"
58,06/08/2018,71.26,72.54,70.91,72.31,"2,816,227"
59,06/07/2018,71.87,72.67,71.35,71.66,"3,425,119"
60,06/06/2018,71.75,72.08,70.75,71.56,"3,071,361"
61,06/05/2018,69.47,71.86,69.32,71.76,"4,831,848"
62,06/04/2018,68.94,70.06,68.64,69.86,"3,260,617"
63,06/01/2018,68.5,69.43,67.91,68.85,"3,602,161"
64,05/31/2018,69.45,69.5269,68.2,68.25,"5,611,654"
65,05/30/2018,68.47,69.89,67.55,69.6,"4,776,788"
66,05/29/2018,68.11,69.28,67.77,68.18,"4,731,352"
67,05/25/2018,71,71.04,68.32,68.45,"8,744,478"
68,05/24/2018,70.89,72.86,69.71,70.9,"16,429,330"
