,Date,Open,High,Low,Close,Volume
4,237.89,238.095,235.91,"925,377",05/03/2019,237.9
5,236.67,237.69,234.31,"954,634",05/02/2019,235.63
6,235.65,240.73,235.1,"937,510",05/01/2019,240.29
7,240.74,240.95,233.91,"1,716,918",04/30/2019,237.43
8,236.71,238.94,235.7,"1,103,186",04/29/2019,237.31
9,238.12,239.0,236.055,"806,910",04/26/2019,238.51
10,237.43,238.36,230.7,"1,807,597",04/25/2019,231.77
11,232.5,233.28,226.09,"1,767,501",04/24/2019,227.87
12,228.04,231.24,224.2801,"2,544,959",04/23/2019,225.06
13,225.04,229.525,224.61,"1,489,638",04/22/2019,227.12
14,227.89,230.88,223.63,"2,542,740",04/18/2019,226.0
15,225.87,240.71,221.51,"4,695,230",04/17/2019,240.71
16,240.02,249.07,239.64,"1,559,339",04/16/2019,247.5
17,246.2,247.69,245.185,"1,102,275",04/15/2019,246.79
18,246.71,253.6,246.37,"1,338,350",04/12/2019,252.61
19,251.73,253.34,251.24,"959,443",04/11/2019,253.21
20,252.23,253.83,249.39,"831,329",04/10/2019,249.94
21,249.77,250.47,247.65,"1,267,568",04/09/2019,249.33
22,250.99,251.83,249.11,"1,245,056",04/08/2019,251.57
23,251.28,253.65,250.94,"1,475,013",04/05/2019,252.52
24,251.59,251.88,248.42,"1,114,814",04/04/2019,249.88
25,249.39,251.55,248.36,"1,374,059",04/03/2019,251.53
26,250.74,252.02,250.41,"973,587",04/02/2019,251.41
27,251.39,252.75,250.19,"1,090,646",04/01/2019,250.88
28,249.73,249.99,247.19,"1,464,620",03/29/2019,248.26
29,247.0,247.39,244.67,"964,283",03/28/2019,246.12
30,245.6,247.9,244.16,"1,024,153",03/27/2019,247.22
31,247.0,248.03,243.34,"1,296,415",03/26/2019,243.34
32,241.25,241.52,238.207,"1,143,920",03/25/2019,240.73
33,240.12,244.74,240.04,"1,094,249",03/22/2019,244.43
34,245.42,245.68,242.6,"1,112,377",03/21/2019,242.95
35,243.15,247.63,242.19,"1,340,317",03/20/2019,247.63
36,247.57,247.65,242.62,"1,344,354",03/19/2019,244.69
37,244.67,249.25,242.04,"1,953,432",03/18/2019,249.25
38,253.92,257.16,252.56,"2,015,212",03/15/2019,252.81
39,252.26,253.74,251.32,"875,157",03/14/2019,253.74
40,253.63,254.94,251.29,"774,705",03/13/2019,251.79
41,250.58,252.35,250.06,"825,306",03/12/2019,250.8
42,249.94,249.97,247.73,"639,514",03/11/2019,247.9
43,246.72,247.01,243.58,"804,858",03/08/2019,245.62
44,246.67,248.28,245.47,"719,167",03/07/2019,247.94
45,248.58,252.69,247.425,"845,251",03/06/2019,252.51
46,252.23,252.87,250.13,"569,445",03/05/2019,252.85
47,252.86,255.62,249.86,"821,639",03/04/2019,255.44
48,254.37,254.47,249.9001,"975,554",03/01/2019,250.53
49,248.79,251.83,248.62,"1,214,936",02/28/2019,250.21
50,250.29,250.32,247.79,"704,599",02/27/2019,247.95
51,249.11,250.59,248.07,"786,795",02/26/2019,250.22
52,250.28,252.0,249.985,"1,001,461",02/25/2019,250.58
53,249.66,249.85,247.87,"671,561",02/22/2019,248.18
54,247.69,249.05,246.3927,"688,472",02/21/2019,249.05
55,249.06,249.19,246.92,"697,342",02/20/2019,247.68
56,248.04,248.6,246.99,"730,290",02/19/2019,247.65
57,248.34,248.39,245.0,"1,477,561",02/15/2019,246.91
58,244.51,245.95,243.0,"810,249",02/14/2019,244.3
59,245.05,247.73,244.73,"874,601",02/13/2019,247.25
60,246.26,246.52,242.37,"1,095,547",02/12/2019,243.71
61,242.78,244.81,241.745,"766,356",02/11/2019,242.97
62,242.21,242.26,237.75,"904,726",02/08/2019,240.67
63,241.56,243.22,239.95,"960,923",02/07/2019,241.25
64,243.07,245.44,241.8768,"1,249,108",02/06/2019,242.24
65,242.41,254.0,241.39,"2,036,658",02/05/2019,248.0
66,247.16,248.0,244.17,"979,055",02/04/2019,246.99
