,Date,Open,High,Low,Close,Volume
4,42.22,42.76,41.93,"1,721,736",05/03/2019,42.25
5,41.85,42.57,41.1,"1,717,716",05/02/2019,41.94
6,41.95,42.62,41.045,"2,210,640",05/01/2019,41.79
7,41.79,42.05,40.97,"876,746",04/30/2019,41.79
8,41.79,42.145,40.8,"1,359,944",04/29/2019,41.11
9,40.97,41.12,40.03,"1,176,802",04/26/2019,40.17
10,40.29,40.8,39.86,"931,045",04/25/2019,40.01
11,40.25,40.9,40.21,"1,365,575",04/24/2019,40.9
12,41.13,41.435,40.6,"1,179,342",04/23/2019,41.01
13,41.01,41.28,40.66,"620,509",04/22/2019,41.0
14,41.19,41.49,40.88,"1,649,309",04/18/2019,41.35
15,41.22,42.075,41.11,"1,385,927",04/17/2019,41.91
16,41.57,41.8,40.55,"1,634,551",04/16/2019,40.55
17,40.27,40.435,39.7,"2,570,054",04/15/2019,39.96
18,39.98,41.13,39.58,"1,832,169",04/12/2019,40.24
19,39.53,40.01,38.906,"1,082,167",04/11/2019,38.96
20,38.73,38.8,37.99,"1,116,410",04/10/2019,38.23
21,37.98,38.5,37.57,"1,330,448",04/09/2019,38.34
22,38.71,38.73,37.73,"1,561,179",04/08/2019,37.73
23,37.82,38.14,37.55,"1,389,654",04/05/2019,37.71
24,37.48,37.92,36.32,"1,890,702",04/04/2019,36.6
25,37.3,38.095,36.96,"3,988,319",04/03/2019,37.38
26,37.07,38.69,36.68,"28,596,380",04/02/2019,37.95
27,38.24,38.7,36.82,"2,642,662",04/01/2019,36.96
28,36.29,36.48,35.925,"1,621,355",03/29/2019,35.94
29,35.56,35.73,35.01,"1,746,891",03/28/2019,35.34
30,35.28,36.6,34.69,"2,664,559",03/27/2019,36.1
31,35.99,36.28,35.305,"1,515,826",03/26/2019,35.34
32,34.92,35.8461,34.7,"1,551,672",03/25/2019,35.51
33,35.54,37.8486,35.5,"1,948,730",03/22/2019,37.74
34,38.15,38.23,36.77,"2,143,897",03/21/2019,37.82
35,38.03,40.66,37.95,"1,496,554",03/20/2019,40.13
36,40.13,41.0,40.03,"1,114,234",03/19/2019,40.84
37,40.58,41.05,39.68,"1,252,172",03/18/2019,39.68
38,39.57,39.72,38.66,"3,907,131",03/15/2019,38.77
39,38.77,38.99,38.09,"1,011,304",03/14/2019,38.59
40,38.59,38.83,38.44,"2,210,181",03/13/2019,38.83
41,38.62,38.67,37.71,"2,078,474",03/12/2019,37.95
42,37.76,38.47,37.57,"2,239,307",03/11/2019,37.88
43,37.62,37.74,36.845,"874,926",03/08/2019,37.1
44,37.53,38.36,37.3,"1,973,041",03/07/2019,38.36
45,38.8,39.83,38.67,"895,061",03/06/2019,39.43
46,39.47,39.65,38.63,"1,191,781",03/05/2019,39.57
47,39.44,40.22,38.8,"1,960,557",03/04/2019,39.08
48,38.97,39.6,38.69,"1,681,515",03/01/2019,39.05
49,38.72,39.91,38.11,"2,485,967",02/28/2019,39.53
50,40.95,42.528,40.19,"2,617,302",02/27/2019,42.32
51,42.62,43.83,42.59,"1,150,035",02/26/2019,43.08
52,43.43,44.12,43.25,"1,192,753",02/25/2019,43.35
53,43.08,43.41,42.82,"822,986",02/22/2019,43.09
54,43.16,44.01,42.9707,"1,276,254",02/21/2019,43.41
55,43.34,43.385,42.31,"999,938",02/20/2019,42.85
56,42.76,42.97,41.75,"1,038,091",02/19/2019,41.75
57,41.95,41.98,41.08,"1,094,080",02/15/2019,41.36
58,40.94,41.39,40.62,"1,188,923",02/14/2019,40.98
59,41.38,41.58,40.17,"1,548,531",02/13/2019,40.97
60,40.68,40.77,37.14,"3,428,649",02/12/2019,38.19
61,35.7,35.88,35.02,"1,092,205",02/11/2019,35.35
62,35.27,35.955,34.45,"913,798",02/08/2019,35.68
63,35.85,37.07,35.32,"1,032,261",02/07/2019,36.98
64,37.35,38.13,37.17,"861,475",02/06/2019,37.38
65,37.48,37.62,36.89,"721,230",02/05/2019,37.19
66,37.12,37.61,36.99,"773,194",02/04/2019,37.46
