,Date,Open,High,Low,Close,Volume
4,226.39,227.88,221.53,"2,697,663",04/18/2019,227.28
5,227.18,231.88,225.28,"2,375,029",04/17/2019,229.77
6,228.72,233.44,227.42,"2,424,973",04/16/2019,232.17
7,232.37,235.88,231.5743,"1,753,353",04/15/2019,235.04
8,234.5,236.79,233.61,"1,980,309",04/12/2019,235.0
9,233.83,240.745,231.05,"2,874,974",04/11/2019,240.52
10,240.28,241.8699,235.75,"1,604,952",04/10/2019,237.65
11,237.58,239.25,235.72,"2,137,262",04/09/2019,239.25
12,239.74,243.05,238.376,"2,087,060",04/08/2019,241.83
13,241.72,244.0804,235.31,"3,250,111",04/05/2019,235.47
14,235.04,236.8,231.04,"2,629,403",04/04/2019,231.4
15,231.4,235.0,228.5,"3,934,728",04/03/2019,235.0
16,233.27,237.55,232.35,"3,289,234",04/02/2019,232.35
17,232.49,239.46,232.22,"3,470,571",04/01/2019,239.065
18,236.38,237.14,233.02,"2,671,936",03/29/2019,235.59
19,232.82,236.28,230.11,"2,837,146",03/28/2019,230.98
20,229.95,237.77,227.08,"4,041,042",03/27/2019,232.94
21,232.91,233.7607,221.57,"6,800,718",03/26/2019,221.89
22,220.26,221.8795,216.12,"5,918,554",03/25/2019,220.02
23,216.71,226.8,216.49,"8,458,808",03/22/2019,225.1
24,226.88,235.77,224.6001,"21,573,590",03/21/2019,230.07
25,320.59,325.0,320.14,"885,534",03/20/2019,323.67
26,323.76,327.75,322.4,"1,050,051",03/19/2019,326.26
27,325.645,330.0,324.28,"1,036,071",03/18/2019,328.55
28,329.87,330.1,321.96,"2,367,854",03/15/2019,321.96
29,321.52,323.55,318.695,"1,157,508",03/14/2019,321.53
30,320.56,321.22,312.11,"1,083,929",03/13/2019,313.12
31,312.72,315.28,311.26,"1,332,232",03/12/2019,313.08
32,311.46,312.15,307.28,"1,216,035",03/11/2019,308.28
33,307.93,313.33,305.9,"1,601,073",03/08/2019,312.29
34,315.29,317.995,314.1796,"1,077,399",03/07/2019,317.11
35,317.97,328.41,317.84,"997,012",03/06/2019,327.49
36,326.87,330.12,325.04,"1,000,930",03/05/2019,327.75
37,327.26,336.57,324.44,"1,046,896",03/04/2019,335.6
38,334.1,335.17,330.15,"905,363",03/01/2019,331.29
39,328.01,329.78,326.51,"746,851",02/28/2019,327.64
40,328.89,330.03,325.51,"597,467",02/27/2019,326.53
41,327.62,329.15,325.13,"742,936",02/26/2019,327.23
42,327.48,331.99,326.2534,"802,267",02/25/2019,327.95
43,325.33,325.39,320.425,"1,029,961",02/22/2019,321.19
44,321.17,331.49,320.39,"1,441,197",02/21/2019,329.97
45,335.16,335.3,331.57,"859,919",02/20/2019,332.37
46,333.0,335.935,330.83,"946,754",02/19/2019,330.83
47,332.87,333.28,324.71,"1,434,502",02/15/2019,328.09
48,324.71,325.78,318.57,"1,245,888",02/14/2019,321.0
49,321.54,323.66,319.235,"1,131,759",02/13/2019,321.0
50,319.43,320.31,316.95,"1,082,622",02/12/2019,319.1
51,316.87,317.9,314.538,"1,360,874",02/11/2019,316.12
52,315.12,316.71,305.45,"1,633,726",02/08/2019,307.11
53,308.73,325.205,307.0,"2,778,500",02/07/2019,323.9
54,333.24,338.41,331.63,"927,342",02/06/2019,337.47
55,336.99,338.87,333.3,"1,246,617",02/05/2019,334.33
56,334.07,334.11,326.61,"988,520",02/04/2019,331.37
57,330.91,333.75,326.07,"1,145,060",02/01/2019,333.75
58,333.78,334.3,325.06,"1,416,415",01/31/2019,328.24
59,327.86,330.995,321.4225,"2,386,865",01/30/2019,326.2
60,334.48,335.08,326.01,"1,588,755",01/29/2019,327.14
61,330.01,335.875,326.84,"1,195,343",01/28/2019,335.19
62,336.77,337.36,333.51,"971,394",01/25/2019,334.88
63,332.87,337.21,331.9702,"1,074,902",01/24/2019,336.91
64,337.22,344.0,333.29,"1,045,502",01/23/2019,340.46
65,338.96,340.6976,333.66,"1,406,451",01/22/2019,335.05
66,337.42,340.545,334.71,"1,270,553",01/18/2019,340.33
