,Date,Open,High,Low,Close,Volume
4,10/26/2018,19.23,19.24,18.72,18.87,"1,182,826"
5,10/25/2018,19.27,19.51,19.19,19.31,"703,169"
6,10/24/2018,19.44,19.51,19.23,19.23,"726,379"
7,10/23/2018,19.45,19.45,19.17,19.36,"657,202"
8,10/22/2018,19.71,19.8,19.52,19.53,"478,405"
9,10/19/2018,19.74,19.89,19.63,19.7,"395,101"
10,10/18/2018,19.88,19.89,19.6,19.68,"419,252"
11,10/17/2018,20.02,20.08,19.78,19.89,"764,197"
12,10/16/2018,19.85,20.15,19.74,20.05,"1,400,308"
13,10/15/2018,19.63,19.95,19.57,19.78,"1,492,350"
14,10/12/2018,19.65,19.69,19.37,19.53,"1,935,541"
15,10/11/2018,20.03,20.18,19.4,19.45,"2,141,218"
16,10/10/2018,20.19,20.37,19.96,19.98,"1,456,959"
17,10/09/2018,20.36,20.41,20.1,20.24,"1,082,836"
18,10/08/2018,19.96,20.44,19.96,20.34,"1,780,742"
19,10/05/2018,20.16,20.34,19.89,19.91,"1,843,616"
20,10/04/2018,20.44,20.66,20.13,20.15,"2,528,758"
21,10/03/2018,20.62,20.9,20.36,20.46,"2,391,940"
22,10/02/2018,20.65,20.78,20.58,20.68,"2,649,107"
23,10/01/2018,20.95,20.99,20.63,20.63,"1,628,488"
24,09/28/2018,20.62,20.93,20.59,20.93,"2,338,818"
25,09/27/2018,20.49,20.82,20.39,20.65,"1,191,711"
26,09/26/2018,20.81,20.91,20.44,20.45,"2,061,763"
27,09/25/2018,20.56,21,20.5,20.81,"2,122,740"
28,09/24/2018,20.75,20.99,20.41,20.59,"1,991,054"
29,09/21/2018,20.45,21.09,20.45,20.84,"5,130,110"
30,09/20/2018,20.17,20.55,20.17,20.51,"3,677,510"
31,09/19/2018,20.24,20.3,20.09,20.16,"1,485,629"
32,09/18/2018,20.09,20.28,19.82,20.2,"1,741,903"
33,09/17/2018,19.8,20.2,19.8,20.16,"3,113,334"
34,09/14/2018,19.6,20,19.54,20,"4,254,097"
35,09/13/2018,19.76,19.84,19.57,19.66,"4,497,262"
36,09/12/2018,19.64,19.8,19.56,19.75,"3,338,772"
37,09/11/2018,19.63,19.9,19.57,19.61,"5,843,883"
38,09/10/2018,19.72,19.78,19.39,19.64,"3,757,624"
39,09/07/2018,19.49,19.51,19.19,19.49,"7,475,545"
40,09/06/2018,19.2,19.48,19.2,19.45,"13,394,810"
41,09/05/2018,19.29,19.54,19.22,19.26,"7,986,639"
42,09/04/2018,19.95,19.95,19.39,19.46,"4,864,157"
43,08/31/2018,20,20.42,19.9,20.02,"10,581,810"
44,08/30/2018,20.35,20.58,20.08,20.25,"5,844,192"
45,08/29/2018,20.8,20.931,20.57,20.64,"3,663,856"
46,08/28/2018,21,21.16,20.41,20.8,"13,771,190"
