,Date,Open,High,Low,Close,Volume
4,08/31/2018,14,14,14,14,00
5,08/30/2018,14,14,14,14,00
6,08/29/2018,14,14,14,14,00
7,08/28/2018,14,14,14,14,167
8,08/27/2018,14,14,14,14,277
9,08/24/2018,14.2,14.2,13.5374,13.5374,498
10,08/23/2018,13.51,14.196,13.51,14.196,"3,307"
11,08/22/2018,14.0001,14.4999,13.93,14.3683,"2,708"
12,08/21/2018,13.49,13.49,13.49,13.49,202
13,08/20/2018,14.4999,14.4999,14.4999,14.4999,535
14,08/17/2018,14.1354,14.1354,14.1354,14.1354,00
15,08/16/2018,14.1354,14.1354,14.1354,14.1354,110
16,08/15/2018,14.25,14.25,14.25,14.25,00
17,08/14/2018,14.25,14.25,14.25,14.25,482
18,08/13/2018,14.5,14.5,14.19,14.19,"1,043"
19,08/10/2018,14.5,14.5,14.1925,14.1925,"1,063"
20,08/09/2018,14,14,14,14,00
21,08/08/2018,14,14,14,14,130
22,08/07/2018,14.0001,14.2555,14.0001,14.2555,689
23,08/06/2018,14.2,14.3208,14.14,14.3208,998
24,08/03/2018,13.507,14.58,13.507,14.58,"2,479"
25,08/02/2018,14.03,14.65,13.7685,14.0701,"5,836"
26,08/01/2018,13.75,13.75,13.75,13.75,599
27,07/31/2018,13.7,13.7,13.7,13.7,00
28,07/30/2018,13.6,13.9615,13.412,13.7,"2,741"
29,07/27/2018,13.5,13.56,13.29,13.56,"1,993"
30,07/26/2018,13.75,13.75,13.231,13.55,"1,350"
31,07/25/2018,13.56,13.56,13.56,13.56,190
32,07/24/2018,13.52,13.52,13.52,13.52,00
33,07/23/2018,13.52,13.52,13.52,13.52,244
34,07/20/2018,13.49,13.85,13.01,13.85,"1,606"
35,07/19/2018,13.517,13.52,13.15,13.25,"1,827"
36,07/18/2018,13.01,13.55,13,13.52,"1,642"
37,07/17/2018,13.45,13.52,13.01,13.47,"3,148"
38,07/16/2018,13.7,13.7,13.32,13.35,"2,293"
39,07/13/2018,13.7411,13.7411,13.7411,13.7411,00
40,07/12/2018,13.7411,13.7411,13.7411,13.7411,00
41,07/11/2018,13.7411,13.7411,13.7411,13.7411,00
42,07/10/2018,14.2,14.2,13.7411,13.7411,"1,042"
43,07/09/2018,13.8076,14.324,13.7055,14.2,"4,106"
44,07/06/2018,14,14,14,14,00
45,07/05/2018,14,14,14,14,408
46,07/03/2018,13.6,14.25,13.012,14.24,"3,531"
47,07/02/2018,13.597,13.6,13.46,13.6,"2,574"
48,06/29/2018,13.6,13.6,13.59,13.6,"1,786"
49,06/28/2018,13.6,13.6,12.56,13.59,"4,545"
50,06/27/2018,13.28,13.6108,13.28,13.6108,774
51,06/26/2018,12.56,13.82,12.56,13.82,281
52,06/25/2018,13.51,13.95,13.51,13.95,300
53,06/22/2018,13.33,13.33,13.33,13.33,00
54,06/21/2018,13.9633,13.9633,13.33,13.33,"2,470"
55,06/20/2018,13.95,14,13.895,13.895,"3,341"
56,06/19/2018,14,14,14,14,238
57,06/18/2018,14.25,14.27,14.25,14.27,"3,640"
58,06/15/2018,13.85,14.07,13.85,14.07,"2,152"
59,06/14/2018,13.701,13.9,13.701,13.9,535
60,06/13/2018,14.3,14.3,13.71,13.71,"3,077"
61,06/12/2018,14.5384,14.5384,14.31,14.31,406
62,06/11/2018,14.45,14.45,14.3,14.3,416
63,06/08/2018,14.507,14.9713,14.5,14.51,"3,155"
64,06/07/2018,14.55,14.8697,14.55,14.65,"3,889"
65,06/06/2018,14.9,15.2,14.685,14.9,"12,100"
66,06/05/2018,15.193,15.193,15.193,15.193,00
67,06/04/2018,14.5,15.193,14.36,15.193,"5,345"
68,06/01/2018,15.1,15.1,15.01,15.1,"6,309"
69,05/31/2018,15.1,15.1,15.1,15.1,00
