,Date,Open,High,Low,Close,Volume
4,35.11,35.52,34.345,"10,139,450",04/18/2019,35.08
5,34.91,36.33,34.847,"15,997,020",04/17/2019,35.8
6,36.17,38.25,35.6,"32,944,360",04/16/2019,38.1
7,37.81,37.905,37.49,"4,554,843",04/15/2019,37.81
8,37.73,38.045,37.57,"4,400,857",04/12/2019,37.95
9,37.92,38.51,37.865,"4,887,600",04/11/2019,38.5
10,38.36,38.58,38.1875,"5,748,383",04/10/2019,38.24
11,38.21,38.35,37.94,"4,626,662",04/09/2019,38.06
12,38.15,38.21,37.7,"4,870,844",04/08/2019,38.1
13,38.16,38.31,37.93,"4,630,085",04/05/2019,38.23
14,38.16,38.45,37.8,"3,748,073",04/04/2019,38.45
15,38.33,38.74,38.145,"6,895,779",04/03/2019,38.7
16,38.52,38.7,38.34,"5,694,319",04/02/2019,38.7
17,38.66,39.0,38.5,"10,813,170",04/01/2019,38.82
18,38.38,38.65,37.985,"7,767,907",03/29/2019,38.15
19,37.92,37.95,37.41,"4,681,171",03/28/2019,37.64
20,37.49,38.095,37.31,"4,750,405",03/27/2019,37.85
21,37.84,38.595,37.74,"7,267,440",03/26/2019,38.07
22,37.64,37.82,37.1,"8,377,893",03/25/2019,37.3
23,37.3,38.13,37.28,"6,673,561",03/22/2019,38.1
24,38.15,38.26,37.6201,"8,093,353",03/21/2019,37.71
25,37.86,38.265,37.635,"9,626,767",03/20/2019,38.11
26,38.17,38.535,37.61,"10,485,150",03/19/2019,38.12
27,37.97,40.0,37.69,"19,084,970",03/18/2019,39.98
28,40.21,40.67,40.07,"9,811,640",03/15/2019,40.11
29,40.05,40.23,39.875,"6,343,308",03/14/2019,40.19
30,40.23,40.77,40.13,"5,915,336",03/13/2019,40.42
31,40.26,40.39,39.855,"3,474,188",03/12/2019,39.99
32,39.9,39.98,39.51,"4,470,924",03/11/2019,39.72
33,39.51,39.56,38.985,"4,353,403",03/08/2019,39.33
34,39.59,39.91,39.36,"4,793,400",03/07/2019,39.75
35,39.78,40.27,39.655,"3,914,206",03/06/2019,40.25
36,40.19,40.48,40.02,"4,187,035",03/05/2019,40.31
37,40.3,41.0,39.675,"7,899,171",03/04/2019,40.93
38,40.75,40.9,40.14,"5,819,925",03/01/2019,40.48
39,40.12,40.32,39.76,"5,797,281",02/28/2019,39.88
40,39.93,40.12,39.6,"5,260,190",02/27/2019,39.64
41,39.86,40.0,39.55,"4,397,267",02/26/2019,40.0
42,39.99,40.75,39.99,"12,094,940",02/25/2019,40.65
43,40.52,40.81,40.17,"9,321,437",02/22/2019,40.27
44,40.12,40.22,39.835,"8,367,730",02/21/2019,39.94
45,40.11,40.3,39.61,"7,687,454",02/20/2019,39.86
46,39.86,40.19,39.79,"4,050,670",02/19/2019,40.03
47,40.01,40.32,39.7,"10,363,270",02/15/2019,40.32
48,39.92,40.07,39.36,"5,203,278",02/14/2019,39.5
49,39.6,40.24,39.39,"6,236,562",02/13/2019,40.11
50,40.04,40.3299,39.4213,"7,507,268",02/12/2019,39.5
51,39.31,39.59,39.105,"5,518,015",02/11/2019,39.31
52,39.19,39.23,38.39,"6,384,081",02/08/2019,38.44
53,38.85,39.09,38.15,"9,183,495",02/07/2019,38.39
54,38.77,39.02,37.25,"11,375,070",02/06/2019,37.3
55,37.75,38.14,37.58,"10,475,560",02/05/2019,38.07
56,37.93,38.05,37.59,"6,778,809",02/04/2019,37.84
57,37.93,38.38,37.71,"5,991,669",02/01/2019,38.15
58,38.15,38.245,37.4,"10,805,890",01/31/2019,37.47
59,37.42,37.62,37.0,"13,149,580",01/30/2019,37.15
60,37.01,37.11,36.59,"8,032,691",01/29/2019,36.83
61,36.85,37.2,36.68,"5,233,969",01/28/2019,37.2
62,37.45,37.7,37.2964,"3,919,156",01/25/2019,37.41
63,37.23,37.54,37.15,"5,713,650",01/24/2019,37.27
64,37.19,37.61,36.6943,"3,786,352",01/23/2019,37.46
65,37.26,37.52,36.92,"5,423,319",01/22/2019,37.14
66,37.69,37.77,36.67,"9,410,281",01/18/2019,37.13
