,Date,Open,High,Low,Close,Volume
4,143.36,144.77,142.42,"4,503,129",04/18/2019,142.8
5,142.74,144.495,142.46,"3,467,591",04/17/2019,143
6,142.03,142.21,139.59,"2,672,612",04/16/2019,140.56
7,140.25,142.43,139.67,"3,029,587",04/15/2019,141.67
8,141.2,141.92,139.81,"4,379,330",04/12/2019,141
9,138.87,139.585,136.98,"2,760,552",04/11/2019,137.59
10,137.53,138.2099,136.28,"3,310,581",04/10/2019,137.16
11,136.35,138.905,136.07,"3,315,292",04/09/2019,138.65
12,139.82,140.12,138.61,"2,497,278",04/08/2019,140
13,140.36,141.15,139.92,"2,811,905",04/05/2019,141.1
14,140.13,140.87,139,"2,961,357",04/04/2019,139.14
15,139.26,140.55,138.41,"4,819,198",04/03/2019,139.85
16,140.19,140.69,139.23,"2,527,234",04/02/2019,140.15
17,140.25,140.37,136.32,"4,972,941",04/01/2019,137.69
18,135.49,136.28,133.62,"4,680,811",03/29/2019,134
19,132.37,132.8,131.16,"2,435,244",03/28/2019,131.9
20,131.2,132.47,130.25,"2,378,317",03/27/2019,132.27
21,131.84,133.56,131.13,"2,638,151",03/26/2019,132.69
22,131.38,132,129.23,"3,199,830",03/25/2019,129.59
23,129.77,133.3,129.49,"5,738,161",03/22/2019,132.99
24,134.06,134.6,132.01,"2,635,654",03/21/2019,132.16
25,133.01,134.15,132.06,"3,521,405",03/20/2019,133.83
26,134.15,135.71,133.51,"3,306,398",03/19/2019,135.35
27,134.1,134.2,132.53,"4,085,630",03/18/2019,132.7
28,132.67,134.53,131.9808,"7,047,668",03/15/2019,133.87
29,133.69,134.07,132.02,"3,742,181",03/14/2019,132.84
30,133.5,134.31,132.69,"4,262,941",03/13/2019,133.98
31,132.48,133.38,131.92,"4,207,982",03/12/2019,133.24
32,133.11,133.4,131.595,"3,909,439",03/11/2019,131.91
33,131.35,132.13,130.23,"4,236,361",03/08/2019,130.5
34,132.8,134.81,131.62,"4,287,725",03/07/2019,134.38
35,134.83,137.6589,134.73,"3,882,888",03/06/2019,137.54
36,137.14,138.46,137,"3,083,540",03/05/2019,138.06
37,138.35,139.7704,137.095,"3,813,252",03/04/2019,138.8
38,137.47,139.4999,136.94,"3,790,443",03/01/2019,138.86
39,137.34,139,137.14,"3,870,606",02/28/2019,138.55
40,139.58,139.64,137.14,"3,440,339",02/27/2019,137.86
41,137.98,139.03,135.27,"7,258,008",02/26/2019,136.53
42,141.41,142.55,140.18,"4,439,902",02/25/2019,140.99
43,138.68,139.69,137.93,"3,483,287",02/22/2019,138.78
44,138.88,140.98,138.41,"4,039,935",02/21/2019,139.75
45,140.31,140.69,136.34,"6,193,015",02/20/2019,136.39
46,135.8,136.98,135,"3,880,271",02/19/2019,135.35
47,136.2,136.25,133.68,"5,215,023",02/15/2019,134.1
48,132.62,133.25,131.268,"2,876,609",02/14/2019,131.78
49,133.1,134.31,132.45,"3,183,974",02/13/2019,134.2
50,132.67,133.56,130,"4,495,985",02/12/2019,130.26
51,128.93,130.07,128.69,"2,648,094",02/11/2019,128.95
52,128.6,128.6,126.55,"3,116,723",02/08/2019,127.48
53,128.78,130.44,127.36,"3,673,543",02/07/2019,129.29
54,130.54,132.1,130.3602,"3,095,270",02/06/2019,131.27
55,132,132.1,130.6,"3,577,790",02/05/2019,130.63
56,130.88,131.31,130.1,"4,534,022",02/04/2019,130.88
57,130.91,133.86,130.11,"5,604,490",02/01/2019,133.03
58,133.16,133.34,129.04,"6,465,949",01/31/2019,130.32
59,130.11,131.355,126.3108,"7,154,342",01/30/2019,127.93
60,126.53,128.39,125.61,"8,540,866",01/29/2019,125.61
61,124.37,127.8,123.15,"17,387,570",01/28/2019,126.99
62,136.86,136.89,133.89,"6,415,228",01/25/2019,134.77
63,132.73,132.99,131.2,"3,937,451",01/24/2019,131.41
64,131.82,133.49,130.15,"3,101,801",01/23/2019,133.04
65,132.24,134.94,131.17,"5,095,840",01/22/2019,134.93
66,136.6,137.72,133.66,"6,028,718",01/18/2019,135.1
