,Date,Open,High,Low,Close,Volume
4,10/31/2018,40.6,40.82,40.2,40.29,"2,902,441"
5,10/30/2018,39.56,40.21,39.25,40.12,"2,262,329"
6,10/29/2018,39.25,39.82,38.86,39.36,"2,150,095"
7,10/26/2018,38.76,39.43,38.05,38.77,"2,337,416"
8,10/25/2018,38.74,39.76,38.68,39.34,"2,024,090"
9,10/24/2018,39.46,39.78,38.55,38.55,"2,693,817"
10,10/23/2018,38.64,39.64,38.2,39.29,"2,650,882"
11,10/22/2018,39.76,40.07,39.075,39.26,"1,555,711"
12,10/19/2018,39.41,39.93,39.29,39.55,"1,779,364"
13,10/18/2018,39.45,40.06,39.2767,39.39,"1,657,817"
14,10/17/2018,40.3,40.53,39.45,39.66,"1,698,103"
15,10/16/2018,39.7,40.41,39.54,40.32,"1,846,409"
16,10/15/2018,38.91,39.86,38.875,39.48,"2,299,190"
17,10/12/2018,39.44,40.04,38.53,38.91,"2,649,187"
18,10/11/2018,39.91,40.16,38.62,39.01,"3,091,570"
19,10/10/2018,40.91,41.35,39.95,40.01,"3,683,750"
20,10/09/2018,42.04,42.27,41.03,41.2,"4,106,186"
21,10/08/2018,42.07,42.41,41.77,42.06,"1,740,075"
22,10/05/2018,43.25,43.415,41.805,42.07,"2,381,709"
23,10/04/2018,44.41,44.44,43.22,43.27,"2,204,980"
24,10/03/2018,44.42,44.74,44.145,44.32,"1,491,194"
25,10/02/2018,44.29,44.57,44.05,44.06,"1,668,802"
26,10/01/2018,44.26,44.64,44.23,44.44,"1,496,828"
27,09/28/2018,44.06,44.3,43.56,44.1,"1,886,546"
28,09/27/2018,44.26,44.52,44.11,44.2,"1,042,475"
29,09/26/2018,44.54,44.83,44.3,44.33,"1,463,804"
30,09/25/2018,45.2,45.41,44.34,44.54,"1,571,084"
31,09/24/2018,45.21,45.5,44.99,45.25,"1,348,197"
32,09/21/2018,46.12,46.12,45.4,45.46,"5,068,727"
33,09/20/2018,45.16,45.87,44.9,45.74,"1,454,703"
34,09/19/2018,45.78,46.01,44.865,44.9,"1,667,718"
35,09/18/2018,45.71,45.92,45.25,45.71,"2,067,523"
36,09/17/2018,46.77,46.77,45.63,45.73,"1,197,498"
37,09/14/2018,46.55,46.8,46.43,46.77,"1,040,465"
38,09/13/2018,46.77,46.89,46.43,46.45,"1,026,358"
39,09/12/2018,46.58,46.72,46.24,46.46,"1,029,069"
40,09/11/2018,46.16,46.75,46.1,46.65,"1,102,521"
41,09/10/2018,46.03,46.46,45.73,46.35,"1,309,003"
42,09/07/2018,46.65,46.65,45.75,45.8,"1,483,271"
43,09/06/2018,47.25,47.58,46.725,46.88,"1,057,294"
44,09/05/2018,47.39,47.6,46.961,47.16,"1,484,902"
45,09/04/2018,48.79,48.82,47.45,47.5,"1,834,807"
46,08/31/2018,48.15,48.88,48.0,48.81,"1,681,968"
47,08/30/2018,47.9,48.49,47.85,48.05,"1,383,764"
48,08/29/2018,48.34,48.4,47.83,47.95,"1,234,080"
49,08/28/2018,48.02,48.42,47.68,48.34,"1,435,788"
50,08/27/2018,47.92,48.27,47.74,47.97,"1,646,173"
51,08/24/2018,47.65,48.04,47.51,47.56,"997,475"
52,08/23/2018,47.87,47.87,47.42,47.63,"1,338,306"
53,08/22/2018,47.93,48.18,47.76,47.85,"1,023,741"
54,08/21/2018,47.52,48.29,47.445,48.08,"1,306,126"
55,08/20/2018,47.42,47.59,47.255,47.32,"1,406,872"
56,08/17/2018,46.92,47.59,46.64,47.54,"3,487,552"
57,08/16/2018,46.61,47.25,46.49,46.88,"1,390,882"
58,08/15/2018,46.69,47.02,46.18,46.51,"1,407,009"
59,08/14/2018,46.23,47.0401,46.16,46.92,"2,319,330"
60,08/13/2018,46.86,47.07,46.06,46.08,"2,191,636"
61,08/10/2018,47.51,47.73,46.96,46.99,"1,473,937"
62,08/09/2018,47.94,48.23,47.5,47.97,"1,245,257"
63,08/08/2018,49.58,49.58,47.77,48.07,"1,870,878"
64,08/07/2018,49.63,49.77,49.32,49.6,"1,250,206"
65,08/06/2018,49.34,49.53,48.99,49.37,"1,195,914"
66,08/03/2018,49.69,49.81,49.16,49.5,"1,261,308"
67,08/02/2018,49.28,49.735,48.72,49.32,"1,727,088"
68,08/01/2018,49.77,50.04,49.38,49.86,"1,684,631"
69,07/31/2018,49.44,50.02,49.28,49.8,"1,539,586"
