,Date,Open,High,Low,Close,Volume
4,10/31/2018,56.66,57.94,56.4,57.35,"2,574,170"
5,10/30/2018,54.35,56.27,54.06,56.24,"2,667,523"
6,10/29/2018,54.37,55.25,53.34,54.13,"2,723,039"
7,10/26/2018,53.91,54.75,53.31,53.83,"3,053,712"
8,10/25/2018,53.86,55.07,53.28,54.68,"3,905,151"
9,10/24/2018,56.12,56.37,53.16,53.28,"6,431,241"
10,10/23/2018,56.02,56.57,55.38,56.26,"1,708,477"
11,10/22/2018,57.04,57.38,56.09,56.8,"2,137,644"
12,10/19/2018,56.45,57.41,56.195,57.2,"2,486,329"
13,10/18/2018,55.87,56.94,55.86,56.17,"2,763,312"
14,10/17/2018,55.12,56.16,54.97,55.86,"2,680,823"
15,10/16/2018,54.62,55.29,54.17,55.05,"5,031,530"
16,10/15/2018,53.94,54.93,53.94,54.36,"1,711,522"
17,10/12/2018,54.38,54.78,53.67,54.32,"2,469,114"
18,10/11/2018,55.55,55.66,53.69,53.82,"3,807,486"
19,10/10/2018,57.44,57.44,55.44,55.53,"2,867,093"
20,10/09/2018,57.0,58.5308,56.67,57.38,"4,621,854"
21,10/08/2018,55.08,57.49,54.67,57.05,"6,290,725"
22,10/05/2018,56.28,56.545,55.19,55.32,"2,042,648"
23,10/04/2018,55.77,56.3393,55.54,56.02,"3,496,736"
24,10/03/2018,56.64,56.64,55.651,55.91,"4,171,394"
25,10/02/2018,55.81,56.61,55.75,56.51,"3,651,799"
26,10/01/2018,57.51,57.53,55.47,55.76,"3,607,746"
27,09/28/2018,56.41,57.58,56.105,57.45,"2,594,642"
28,09/27/2018,56.44,56.74,55.9,56.55,"2,364,489"
29,09/26/2018,56.77,57.19,56.23,56.5,"4,972,134"
30,09/25/2018,56.7,56.8,56.37,56.55,"3,345,862"
31,09/24/2018,56.74,57.04,56.13,56.58,"3,679,314"
32,09/21/2018,56.49,56.94,56.29,56.74,"6,105,504"
33,09/20/2018,56.01,56.865,55.94,56.7,"2,429,188"
34,09/19/2018,55.77,56.38,55.47,55.97,"5,067,071"
35,09/18/2018,56.19,56.33,55.39,55.67,"2,453,534"
36,09/17/2018,55.9,56.59,55.39,56.28,"3,610,001"
37,09/14/2018,56.21,56.53,55.41,55.85,"3,164,162"
38,09/13/2018,55.4,56.72,55.35,56.21,"3,290,566"
39,09/12/2018,55.26,55.67,54.8,55.14,"4,089,356"
40,09/11/2018,54.68,55.84,54.68,55.4,"4,247,223"
41,09/10/2018,56.23,56.25,53.87,55.2,"11,117,080"
42,09/07/2018,54.85,57.145,54.51,56.06,"6,751,747"
43,09/06/2018,51.5,55.66,51.5,54.62,"8,996,912"
44,09/05/2018,53.29,53.71,52.58,52.95,"3,906,091"
45,09/04/2018,52.84,52.89,52.242,52.59,"1,984,347"
46,08/31/2018,52.85,53.25,52.76,53.02,"1,704,112"
47,08/30/2018,53.7,53.78,52.71,53.01,"1,839,103"
48,08/29/2018,53.54,54.12,53.12,53.89,"1,665,310"
49,08/28/2018,53.64,53.87,53.26,53.39,"1,247,840"
50,08/27/2018,53.33,53.76,53.26,53.66,"2,134,811"
51,08/24/2018,52.94,53.44,52.895,53.1,"1,149,526"
52,08/23/2018,53.28,53.44,52.69,52.88,"1,729,019"
53,08/22/2018,54.0,54.0,53.3,53.38,"1,389,253"
54,08/21/2018,53.7,54.29,53.525,53.97,"2,038,140"
55,08/20/2018,53.45,53.71,53.2,53.56,"1,034,490"
56,08/17/2018,52.97,53.56,52.9,53.22,"1,525,883"
57,08/16/2018,53.0,53.44,52.79,52.98,"1,431,988"
58,08/15/2018,52.24,52.89,51.87,52.8,"2,286,067"
59,08/14/2018,52.49,52.78,52.28,52.57,"1,103,888"
60,08/13/2018,52.58,52.89,52.08,52.21,"1,734,864"
61,08/10/2018,53.21,53.32,52.415,52.52,"2,406,123"
62,08/09/2018,53.3,54.79,53.13,53.57,"4,556,885"
63,08/08/2018,53.15,53.5,53.005,53.16,"1,969,780"
64,08/07/2018,52.95,53.8,52.7,53.22,"3,220,115"
65,08/06/2018,52.91,52.99,52.3,52.85,"3,673,904"
66,08/03/2018,52.2,53.19,51.21,53.16,"8,242,193"
67,08/02/2018,52.45,52.96,51.62,52.72,"5,425,870"
68,08/01/2018,52.68,53.0,52.01,52.55,"4,063,291"
69,07/31/2018,51.4,52.97,51.01,52.67,"10,823,680"
