,Date,Open,High,Low,Close,Volume
4,57.12,57.69,56.92,"3,409,229",03/19/2019,57.43
5,57.35,57.54,56.64,"4,165,589",03/18/2019,56.65
6,56.61,57.32,56.53,"4,395,108",03/15/2019,56.53
7,56.43,56.45,55.78,"3,789,919",03/14/2019,56.13
8,56.09,56.82,55.96,"4,135,870",03/13/2019,56.21
9,55.26,55.75,54.9,"4,375,142",03/12/2019,55.63
10,55.43,55.74,55.11,"3,472,472",03/11/2019,55.27
11,54.97,55.07,54.53,"3,447,842",03/08/2019,55.0
12,55.38,55.64,54.97,"3,422,766",03/07/2019,55.58
13,56.15,57.12,56.12,"3,366,072",03/06/2019,56.89
14,57.11,57.54,56.63,"3,889,292",03/05/2019,56.81
15,56.56,57.7,56.46,"3,565,409",03/04/2019,57.66
16,57.84,58.68,57.535,"2,883,894",03/01/2019,58.34
17,57.76,57.95,57.26,"4,367,151",02/28/2019,57.57
18,57.68,58.36,57.39,"2,986,536",02/27/2019,58.03
19,58.25,58.9,58.22,"2,394,680",02/26/2019,58.51
20,58.57,58.885,58.2542,"3,336,095",02/25/2019,58.57
21,58.82,58.875,58.26,"2,234,599",02/22/2019,58.55
22,58.27,59.24,58.15,"3,723,830",02/21/2019,58.57
23,58.85,58.96,58.15,"3,492,857",02/20/2019,58.38
24,58.3,58.57,57.225,"3,807,353",02/19/2019,57.32
25,57.25,57.47,56.93,"3,239,397",02/15/2019,57.39
26,57.1,57.22,56.37,"2,443,794",02/14/2019,56.85
27,57.05,57.365,56.9,"2,591,486",02/13/2019,57.06
28,56.57,56.97,56.14,"2,756,986",02/12/2019,56.96
29,56.82,57.07,56.6,"2,310,241",02/11/2019,56.66
30,56.63,56.75,55.83,"3,609,494",02/08/2019,56.44
31,56.96,58.01,56.43,"3,965,495",02/07/2019,57.54
32,58.31,58.57,58.06,"3,296,068",02/06/2019,58.55
33,58.56,58.78,58.29,"2,983,685",02/05/2019,58.46
34,58.18,58.21,57.5,"2,464,189",02/04/2019,57.56
35,57.71,58.09,57.14,"3,032,861",02/01/2019,57.55
36,57.58,58.05,57.23,"3,763,060",01/31/2019,57.99
37,57.43,57.885,56.38,"5,487,948",01/30/2019,57.52
38,56.26,56.52,55.95,"3,152,218",01/29/2019,56.49
39,56.4,56.45,55.15,"4,500,684",01/28/2019,55.36
40,55.51,55.67,55.08,"3,172,764",01/25/2019,55.52
41,55.02,55.04,54.31,"4,879,871",01/24/2019,54.47
42,54.27,54.87,53.72,"4,352,318",01/23/2019,54.5
43,54.52,54.89,54.09,"5,848,387",01/22/2019,54.46
44,54.88,55.02,53.86,"5,684,348",01/18/2019,53.89
45,53.54,53.66,52.5625,"3,157,829",01/17/2019,52.6
46,52.73,53.13,52.3505,"4,692,769",01/16/2019,52.77
47,52.92,52.92,52.19,"3,969,538",01/15/2019,52.46
48,52.2,52.89,51.9,"3,181,606",01/14/2019,52.2
49,52.4,52.7425,52.07,"3,060,054",01/11/2019,52.22
50,52.29,52.435,51.27,"3,918,496",01/10/2019,51.84
51,51.99,52.77,51.74,"4,083,424",01/09/2019,52.4
52,51.9,52.52,51.48,"5,776,366",01/08/2019,52.4
53,50.64,51.24,50.33,"4,694,048",01/07/2019,51.01
54,50.05,50.42,48.33,"4,568,324",01/04/2019,48.44
55,47.37,49.41,47.33,"6,128,170",01/03/2019,49.27
56,49.85,50.1,48.62,"3,926,780",01/02/2019,48.94
57,49.3,49.37,48.5,"3,970,653",12/31/2018,48.9
58,48.68,49.355,48.13,"4,797,240",12/28/2018,48.46
59,48.13,48.15,46.39,"5,078,912",12/27/2018,47.61
60,47.5,47.51,45.64,"7,952,552",12/26/2018,46.31
61,46.21,47.66,46.17,"3,631,619",12/24/2018,47.46
62,47.86,50.64,47.58,"8,078,753",12/21/2018,50.41
63,49.79,52.68,48.74,"11,300,540",12/20/2018,52.15
64,55.01,57.2,54.86,"5,865,881",12/19/2018,56.43
