,Date,Open,High,Low,Close,Volume
4,62.71,63.005,61.86,"2,577,452",04/18/2019,62.8
5,62.4,63.43,62.23,"3,012,512",04/17/2019,63.12
6,63.05,63.97,62.64,"2,196,849",04/16/2019,63.78
7,63.46,63.6,62.48,"3,062,285",04/15/2019,62.72
8,62.8,62.84,62.2,"2,585,079",04/12/2019,62.39
9,62.2,63.76,61.98,"3,295,771",04/11/2019,63.57
10,63.71,63.77,61.67,"5,182,592",04/10/2019,63.6
11,62.97,66.0263,61.89,"15,883,600",04/09/2019,63.38
12,57.09,57.58,56.52,"1,397,971",04/08/2019,57.41
13,57.32,57.51,57,"993,066",04/05/2019,57.03
14,57.05,57.54,56.71,"754,177",04/04/2019,57.21
15,57.12,57.49,56.79,"1,678,307",04/03/2019,57.26
16,56.93,57.62,56.68,"1,148,381",04/02/2019,57.48
17,57.52,57.75,56.66,"1,733,538",04/01/2019,57.67
18,57.21,57.35,56.67,"1,439,955",03/29/2019,56.87
19,56.54,57,56.15,"1,368,027",03/28/2019,56.7
20,56.62,56.96,56.11,"994,625",03/27/2019,56.65
21,56.71,57.39,56.53,"1,344,375",03/26/2019,56.92
22,56.69,57.17,56.22,"1,212,478",03/25/2019,57.04
23,56.96,58.34,56.91,"1,318,474",03/22/2019,58.08
24,58.28,58.5,57.05,"1,365,930",03/21/2019,57.05
25,57.6,58.18,57.05,"1,770,069",03/20/2019,57.6
26,57.58,58.12,57.195,"1,739,046",03/19/2019,57.95
27,57.67,58,57.285,"1,207,358",03/18/2019,57.78
28,57.91,57.9298,57.02,"3,000,595",03/15/2019,57.2
29,57.14,57.63,57.06,"1,694,903",03/14/2019,57.63
30,57.56,57.81,56.815,"2,594,188",03/13/2019,56.95
31,56.89,57.05,55.95,"2,687,651",03/12/2019,56.31
32,56.26,56.47,55.49,"2,743,107",03/11/2019,55.51
33,55.45,55.68,54.6001,"2,571,933",03/08/2019,55.01
34,55.4,55.62,54.61,"2,878,800",03/07/2019,55.36
35,55.44,56.21,55.28,"3,000,250",03/06/2019,55.87
36,55.73,55.85,54.88,"1,658,206",03/05/2019,55.33
37,55.37,56.33,55.09,"2,697,891",03/04/2019,56.25
38,55.95,56.47,55.53,"3,031,096",03/01/2019,56.42
39,55.95,56.29,54.22,"3,196,233",02/28/2019,54.72
40,56.99,57.39,56.6,"1,800,099",02/27/2019,56.75
41,57,57.17,56.49,"1,813,513",02/26/2019,56.75
42,56.99,58.07,56.96,"1,641,795",02/25/2019,58
43,57.73,57.76,57.01,"1,622,874",02/22/2019,57.31
44,57.23,57.7,57.01,"1,572,618",02/21/2019,57.7
45,57.77,57.93,57.08,"1,383,982",02/20/2019,57.51
46,57.54,58.02,57.32,"1,445,401",02/19/2019,57.59
47,57.91,58,56.92,"2,096,802",02/15/2019,57.33
48,56.8,56.91,56.33,"3,287,999",02/14/2019,56.72
49,56.93,59.19,55.9399,"4,888,161",02/13/2019,59.19
50,58.82,59.15,57.66,"3,230,401",02/12/2019,57.82
51,57.5,57.58,56.04,"3,265,349",02/11/2019,56.16
52,56.01,56.165,55.06,"2,017,700",02/08/2019,55.33
53,55.6,56.13,54.965,"2,315,789",02/07/2019,55.87
54,56.27,58.24,54.8895,"4,434,409",02/06/2019,55.06
55,55.41,56.43,55.39,"2,813,640",02/05/2019,55.75
56,55.59,55.78,54.81,"2,931,957",02/04/2019,54.97
57,54.86,55.25,54.605,"2,167,804",02/01/2019,54.86
58,54.91,55.25,54.46,"3,621,610",01/31/2019,54.53
59,54.49,54.79,54.21,"4,318,475",01/30/2019,54.59
60,54.5,55.165,54.32,"1,573,716",01/29/2019,54.96
61,54.95,55.0973,54.42,"1,771,741",01/28/2019,54.52
62,54.9,55.4,54.61,"1,636,088",01/25/2019,54.91
63,54.46,54.625,53.86,"2,227,510",01/24/2019,54.27
64,54.08,54.1,52.81,"3,485,373",01/23/2019,52.97
65,52.98,53.9,52.66,"4,169,851",01/22/2019,53.78
66,54.06,54.07,53.24,"2,643,862",01/18/2019,53.9
