,Date,Open,High,Low,Close,Volume
4,2.82,2.87,2.74,"29,503,140",05/03/2019,2.73
5,2.73,2.87,2.7,"53,345,560",05/02/2019,2.83
6,2.83,2.91,2.8,"43,598,800",05/01/2019,2.91
7,2.91,2.99,2.86,"41,265,290",04/30/2019,2.99
8,2.95,3.01,2.93,"19,725,530",04/29/2019,2.98
9,2.97,3.01,2.87,"47,815,510",04/26/2019,2.9
10,2.94,3.075,2.94,"31,014,630",04/25/2019,3.07
11,3.07,3.18,3.05,"31,749,320",04/24/2019,3.17
12,3.17,3.2,3.09,"34,941,600",04/23/2019,3.12
13,3.1,3.12,2.98,"33,200,210",04/22/2019,3.02
14,2.91,3.08,2.9,"42,465,590",04/18/2019,3.08
15,3.06,3.15,3.06,"27,974,500",04/17/2019,3.13
16,3.09,3.12,3.05,"29,100,240",04/16/2019,3.09
17,3.07,3.15,3.06,"37,457,700",04/15/2019,3.14
18,3.17,3.395,3.15,"74,913,970",04/12/2019,3.38
19,3.33,3.425,3.27,"39,988,890",04/11/2019,3.36
20,3.4,3.44,3.33,"36,045,880",04/10/2019,3.36
21,3.34,3.43,3.31,"47,243,960",04/09/2019,3.43
22,3.44,3.57,3.38,"52,546,170",04/08/2019,3.46
23,3.41,3.46,3.2,"64,530,740",04/05/2019,3.21
24,3.21,3.21,3.12,"29,740,420",04/04/2019,3.14
25,3.14,3.23,3.1,"45,747,270",04/03/2019,3.21
26,3.2,3.23,3.15,"42,847,320",04/02/2019,3.16
27,3.15,3.21,3.12,"39,038,520",04/01/2019,3.15
28,3.1,3.21,3.09,"40,521,880",03/29/2019,3.19
29,3.14,3.19,3.09,"33,166,070",03/28/2019,3.12
30,3.19,3.24,3.07,"36,279,400",03/27/2019,3.19
31,3.19,3.26,3.16,"39,399,430",03/26/2019,3.2
32,3.1,3.14,2.99,"35,461,050",03/25/2019,3.1
33,3.12,3.21,3.03,"50,097,760",03/22/2019,3.19
34,3.25,3.32,3.2,"44,560,530",03/21/2019,3.25
35,3.26,3.35,3.1,"61,785,700",03/20/2019,3.12
36,3.16,3.38,3.13,"58,572,390",03/19/2019,3.23
37,3.15,3.17,3.01,"35,803,340",03/18/2019,3.02
38,2.97,3.095,2.96,"47,707,650",03/15/2019,3.07
39,3.1,3.12,3.0199,"40,108,690",03/14/2019,3.02
40,3.02,3.03,2.92,"33,138,700",03/13/2019,2.94
41,2.88,2.93,2.77,"35,571,920",03/12/2019,2.78
42,2.75,2.79,2.67,"39,406,660",03/11/2019,2.75
43,2.73,2.88,2.71,"54,081,690",03/08/2019,2.88
44,2.97,3.04,2.91,"48,855,680",03/07/2019,3.0
45,2.98,3.095,2.97,"47,418,250",03/06/2019,3.08
46,3.14,3.22,3.09,"44,145,810",03/05/2019,3.21
47,3.19,3.32,3.05,"75,879,220",03/04/2019,3.22
48,3.13,3.22,3.0,"81,148,780",03/01/2019,3.01
49,2.96,2.97,2.83,"57,303,450",02/28/2019,2.95
50,2.9,2.99,2.73,"120,904,600",02/27/2019,2.87
51,2.63,2.67,2.56,"42,376,220",02/26/2019,2.64
52,2.64,2.64,2.55,"38,574,320",02/25/2019,2.58
53,2.6,2.69,2.57,"33,551,740",02/22/2019,2.63
54,2.6,2.75,2.58,"50,362,600",02/21/2019,2.73
55,2.75,2.75,2.65,"35,185,410",02/20/2019,2.66
56,2.68,2.69,2.62,"30,253,650",02/19/2019,2.64
57,2.62,2.62,2.54,"27,246,690",02/15/2019,2.55
58,2.51,2.56,2.44,"36,688,590",02/14/2019,2.49
59,2.49,2.52,2.42,"40,497,500",02/13/2019,2.44
60,2.41,2.52,2.41,"52,843,290",02/12/2019,2.49
61,2.4,2.47,2.345,"41,638,150",02/11/2019,2.41
62,2.39,2.52,2.29,"53,262,240",02/08/2019,2.48
63,2.47,2.57,2.4,"58,371,080",02/07/2019,2.55
64,2.6,2.73,2.58,"45,247,020",02/06/2019,2.7
65,2.7,2.81,2.7,"59,799,190",02/05/2019,2.78
66,2.79,2.82,2.74,"43,477,970",02/04/2019,2.79
