,Date,Open,High,Low,Close,Volume
4,370.15,370.33,364.69,"782,388",04/26/2019,368.19
5,366.76,368.78,357.3169,"1,190,864",04/25/2019,357.91
6,360.5,361.99,355.28,"816,523",04/24/2019,358.04
7,358.63,361.32,355.325,"752,940",04/23/2019,356.5
8,358.05,359.91,356.46,"610,328",04/22/2019,358.54
9,359.37,367.2,356.79,"640,780",04/18/2019,367.2
10,361.69,362.25,358.505,"841,081",04/17/2019,360
11,358.05,359.67,356.97,"472,374",04/16/2019,359.01
12,357.34,358.38,355.52,"749,641",04/15/2019,356.59
13,356.05,356.95,354,"733,955",04/12/2019,355.89
14,355.25,356.59,353.25,"689,135",04/11/2019,356.35
15,354.35,355.47,353.04,"558,997",04/10/2019,353.48
16,354.56,355.555,350.54,"808,786",04/09/2019,351.89
17,354.14,355.12,350.53,"830,866",04/08/2019,350.53
18,351.44,352.2,344.99,"1,247,185",04/05/2019,345.79
19,345.72,347,343.95,"1,200,626",04/04/2019,346.25
20,345.37,349.1,343.1475,"1,195,871",04/03/2019,348.66
21,346.63,347.505,344.36,"1,229,442",04/02/2019,346.75
22,346.22,350.6,343.7,"1,133,835",04/01/2019,349.81
23,346.91,354.6,345.67,"1,410,207",03/29/2019,352.12
24,352.87,358.605,352.22,"832,134",03/28/2019,356.17
25,355.51,360.255,354.765,"1,329,534",03/27/2019,356.39
26,356.03,358.72,354.59,"1,126,783",03/26/2019,356.8
27,356.84,362.51,355.77,"1,365,467",03/25/2019,360.75
28,360.78,366.49,360.38,"5,238,779",03/22/2019,365.7
29,366.27,368.02,360.85,"1,096,019",03/21/2019,361.8
30,362.44,365.64,358.69,"1,192,773",03/20/2019,360.58
31,360.45,363.25,357.55,"1,200,639",03/19/2019,359.48
32,357.35,359.715,355.47,"1,003,880",03/18/2019,356.52
33,355.92,356.9,350.85,"2,484,667",03/15/2019,352.36
34,352.71,354.47,346.22,"1,127,079",03/14/2019,348.97
35,348.13,350.06,342.52,"1,847,883",03/13/2019,343.99
36,342.51,342.66,339.7,"1,495,239",03/12/2019,342.4
37,341.08,341.88,336.04,"1,231,231",03/11/2019,337.69
38,337.54,339.78,335.53,"699,853",03/08/2019,337.4
39,340.03,341.67,337.01,"842,059",03/07/2019,339.81
40,340.56,344.78,339.75,"988,531",03/06/2019,344.78
41,343.75,346.99,337.04,"992,223",03/05/2019,345.22
42,346.1,349.84,343.55,"1,386,725",03/04/2019,348.88
43,346.58,347.52,344.96,"1,218,987",03/01/2019,347.52
44,344.91,347.43,344.31,"1,025,191",02/28/2019,345.16
45,345.03,345.85,342.91,"1,354,741",02/27/2019,344.59
46,346.32,348.83,345.56,"1,105,518",02/26/2019,348.83
47,348.9,353.75,347.88,"1,003,765",02/25/2019,352.34
48,350.08,353.495,348.7603,"1,261,574",02/22/2019,350.92
49,349.54,350.275,343.85,"853,330",02/21/2019,348.28
50,349.76,351.39,347.86,"1,970,652",02/20/2019,349.3
51,348.43,350.78,347.01,"1,230,650",02/19/2019,347.67
52,349.06,349.77,341.92,"1,131,635",02/15/2019,344.69
53,341.6,343.27,335.22,"827,363",02/14/2019,336.36
54,338.49,343.32,336.38,"1,105,450",02/13/2019,340.6
55,340.4,342,339.11,"955,212",02/12/2019,341.04
56,337.82,344.72,335.71,"1,169,810",02/11/2019,343.32
57,344.16,344.64,338.87,"767,906",02/08/2019,341.36
58,344.51,344.65,337.72,"1,184,056",02/07/2019,340.18
59,343.51,343.79,338.91,"1,216,983",02/06/2019,340
60,340.7,341,332.77,"1,457,764",02/05/2019,337.71
61,337,343.9,336.39,"1,223,060",02/04/2019,338.65
62,340.95,343.135,330.92,"1,994,931",02/01/2019,331.87
63,331.05,338.31,319.3,"5,153,010",01/31/2019,320.01
64,289.91,293.1,288,"1,652,642",01/30/2019,289.57
65,289.78,292.97,287.58,"768,551",01/29/2019,290.7
66,290.86,291.73,287.305,"1,136,638",01/28/2019,289.38
