,Date,Open,High,Low,Close,Volume
4,69.35,69.385,68.77,"3,369,043",04/18/2019,69.0
5,68.68,68.955,68.55,"2,633,562",04/17/2019,68.89
6,69.04,69.27,68.72,"3,183,379",04/16/2019,68.72
7,68.71,68.89,68.43,"2,907,538",04/15/2019,68.51
8,68.77,68.77,67.69,"3,785,123",04/12/2019,68.01
9,68.09,68.4823,67.75,"2,508,903",04/11/2019,68.31
10,68.11,68.39,67.82,"2,023,128",04/10/2019,68.05
11,68.11,68.14,67.6,"2,091,042",04/09/2019,67.81
12,68.02,68.18,67.76,"1,678,084",04/08/2019,68.05
13,67.92,67.92,67.455,"1,969,812",04/05/2019,67.54
14,67.55,68.0,67.25,"2,541,738",04/04/2019,68.0
15,67.82,68.27,67.565,"3,791,271",04/03/2019,68.22
16,68.37,68.68,67.79,"3,129,929",04/02/2019,68.21
17,68.3,68.52,67.83,"4,049,950",04/01/2019,68.38
18,68.54,68.6069,67.37,"4,598,707",03/29/2019,67.5
19,67.37,67.555,67.12,"2,933,842",03/28/2019,67.12
20,67.01,67.35,66.47,"2,902,609",03/27/2019,67.03
21,66.92,67.31,66.47,"2,297,293",03/26/2019,66.61
22,66.26,66.475,65.83,"2,954,913",03/25/2019,65.91
23,66.0,66.435,65.2025,"2,877,604",03/22/2019,65.78
24,65.83,65.95,64.95,"2,793,795",03/21/2019,65.0
25,65.11,65.88,64.89,"3,788,918",03/20/2019,65.88
26,65.75,66.21,65.43,"4,607,897",03/19/2019,66.21
27,66.29,67.35,66.1,"2,914,214",03/18/2019,67.25
28,67.2,67.205,66.2,"6,641,099",03/15/2019,66.36
29,66.25,66.65,66.06,"3,293,678",03/14/2019,66.44
30,66.52,66.61,65.81,"3,893,254",03/13/2019,65.81
31,65.74,66.3926,65.59,"2,502,889",03/12/2019,65.97
32,65.85,65.89,65.215,"2,718,317",03/11/2019,65.3
33,65.35,65.81,64.94,"2,586,534",03/08/2019,65.43
34,65.34,65.735,64.78,"4,365,743",03/07/2019,65.24
35,65.61,65.91,65.12,"2,764,198",03/06/2019,65.72
36,65.72,66.18,65.55,"3,436,718",03/05/2019,66.06
37,66.03,66.33,65.44,"3,352,207",03/04/2019,66.31
38,66.0,66.06,65.36,"2,708,422",03/01/2019,65.92
39,65.87,66.19,65.43,"4,080,860",02/28/2019,66.03
40,65.87,66.34,65.76,"3,378,300",02/27/2019,66.05
41,66.49,66.9,66.14,"2,922,518",02/26/2019,66.65
42,66.52,67.36,66.4,"2,939,722",02/25/2019,67.0
43,66.9,67.47,66.46,"4,025,037",02/22/2019,66.71
44,66.7,66.93,66.25,"3,763,590",02/21/2019,66.47
45,66.51,67.105,66.224,"3,458,619",02/20/2019,66.85
46,66.72,67.0,66.12,"4,584,035",02/19/2019,66.44
47,66.48,66.535,65.8,"5,370,504",02/15/2019,66.0
48,65.45,65.855,65.33,"2,501,450",02/14/2019,65.63
49,65.94,66.15,65.5,"3,487,447",02/13/2019,65.9
50,66.02,66.48,65.48,"4,450,443",02/12/2019,66.11
51,65.79,65.84,65.34,"4,092,538",02/11/2019,65.59
52,65.69,65.69,64.75,"3,040,071",02/08/2019,64.92
53,65.05,65.38,64.55,"3,145,267",02/07/2019,64.84
54,65.33,65.5,64.5,"3,474,644",02/06/2019,64.52
55,64.74,65.55,64.64,"4,255,283",02/05/2019,65.27
56,65.19,65.43,64.61,"3,603,607",02/04/2019,65.29
57,65.05,65.25,64.2,"5,314,498",02/01/2019,64.9
58,64.68,64.85,63.44,"6,182,759",01/31/2019,63.76
59,63.95,64.34,63.46,"6,651,783",01/30/2019,63.66
60,63.69,63.8,62.7,"4,593,131",01/29/2019,62.7
61,62.74,62.84,61.6,"5,752,575",01/28/2019,61.71
62,61.84,63.6,60.96,"8,474,365",01/25/2019,60.96
63,62.2,62.25,61.27,"6,022,838",01/24/2019,62.17
64,62.35,62.53,61.64,"3,881,712",01/23/2019,61.93
65,61.74,62.45,61.05,"5,541,503",01/22/2019,62.13
66,62.63,63.7,62.33,"5,192,768",01/18/2019,62.43
