,Date,Open,High,Low,Close,Volume
4,10/30/2018,149.68,152.95,148.95,152.82,"1,334,633"
5,10/29/2018,148.51,151.22,148.425,149.76,"1,114,012"
6,10/26/2018,150.07,151.18,146.95,147.82,"1,062,102"
7,10/25/2018,152.88,153.74,151.02,151.59,"1,024,206"
8,10/24/2018,150.59,155.23,150.32,152.96,"1,073,725"
9,10/23/2018,150.18,150.91,149.15,150.13,"1,005,198"
10,10/22/2018,152.72,152.93,149.425,150.85,"977,375"
11,10/19/2018,151.04,154.51,151.04,152.57,"1,410,069"
12,10/18/2018,149.4,151.145,148.32,149.0,"823,729"
13,10/17/2018,148.41,150.08,147.25,149.43,"1,122,935"
14,10/16/2018,147.49,149.33,146.88,148.69,"600,460"
15,10/15/2018,145.18,148.49,144.87,146.61,"988,047"
16,10/12/2018,143.51,145.67,142.0,144.84,"1,065,111"
17,10/11/2018,147.55,148.515,141.53,142.18,"1,331,929"
18,10/10/2018,146.97,149.98,145.5801,147.55,"1,453,287"
19,10/09/2018,149.95,151.48,149.62,150.3,"672,559"
20,10/08/2018,148.96,150.709,148.54,149.88,"769,630"
21,10/05/2018,146.96,150.0,146.96,149.58,"1,559,896"
22,10/04/2018,146.05,147.13,144.16,146.58,"1,117,530"
23,10/03/2018,152.18,152.3599,147.05,147.21,"1,438,552"
24,10/02/2018,150.32,152.89,150.32,152.26,"769,313"
25,10/01/2018,150.48,150.73,149.75,150.43,"499,399"
26,09/28/2018,149.18,150.44,149.18,150.41,"754,107"
27,09/27/2018,150.37,150.71,149.13,149.28,"633,726"
28,09/26/2018,150.06,151.79,149.33,150.37,"695,576"
29,09/25/2018,152.09,152.09,149.335,149.64,"671,319"
30,09/24/2018,152.37,152.39,149.72,149.95,"634,056"
31,09/21/2018,152.34,153.38,152.1191,152.47,"1,163,306"
32,09/20/2018,150.52,152.46,150.32,151.88,"1,024,059"
33,09/19/2018,151.94,152.23,150.44,150.66,"624,504"
34,09/18/2018,152.51,152.905,150.42,151.85,"764,667"
35,09/17/2018,151.34,152.48,150.35,151.93,"818,811"
36,09/14/2018,151.21,151.46,149.47,151.38,"627,057"
37,09/13/2018,151.24,151.25,149.02,151.21,"685,842"
38,09/12/2018,150.23,151.24,149.69,150.84,"553,714"
39,09/11/2018,150.91,151.0,149.88,150.16,"929,635"
40,09/10/2018,151.0,152.39,150.42,150.56,"772,168"
41,09/07/2018,149.15,151.02,148.54,150.74,"1,003,633"
42,09/06/2018,147.58,150.33,146.77,149.72,"1,020,332"
43,09/05/2018,145.22,148.65,144.69,148.46,"1,095,641"
44,09/04/2018,144.98,147.78,144.66,146.12,"860,618"
45,08/31/2018,144.85,145.9,143.65,144.98,"1,157,542"
46,08/30/2018,144.77,146.02,144.32,145.0,"452,608"
47,08/29/2018,144.71,145.62,144.45,144.78,"668,588"
48,08/28/2018,145.0,146.12,144.45,144.73,"696,274"
49,08/27/2018,146.33,146.33,144.01,144.68,"681,764"
50,08/24/2018,145.63,146.17,144.46,145.67,"726,724"
51,08/23/2018,144.78,146.17,143.91,145.88,"709,951"
52,08/22/2018,146.7,146.7,144.56,145.16,"685,097"
53,08/21/2018,147.81,147.98,144.83,146.55,"1,206,207"
54,08/20/2018,147.73,148.64,147.53,148.23,"820,502"
55,08/17/2018,146.89,147.675,146.25,147.53,"793,073"
56,08/16/2018,145.27,147.03,144.54,146.77,"773,494"
57,08/15/2018,142.54,145.46,142.08,144.97,"1,522,740"
58,08/14/2018,141.29,142.5499,140.82,141.84,"594,770"
59,08/13/2018,140.93,141.49,139.255,141.22,"648,407"
60,08/10/2018,140.09,141.27,139.59,140.21,"500,431"
61,08/09/2018,141.03,141.08,139.99,140.21,"646,529"
62,08/08/2018,141.34,141.97,140.23,140.86,"792,958"
63,08/07/2018,142.97,142.97,139.95,141.48,"1,731,378"
64,08/06/2018,143.11,143.63,141.83,143.52,"998,458"
65,08/03/2018,142.4,144.89,141.0,143.08,"1,787,184"
66,08/02/2018,137.5,143.665,137.5,142.44,"3,828,210"
67,08/01/2018,134.81,134.81,132.67,134.16,"1,592,789"
68,07/31/2018,134.07,135.72,133.25,135.17,"2,323,984"
69,07/30/2018,132.02,135.56,131.715,134.62,"1,837,689"
