,Date,Open,High,Low,Close,Volume
4,700.0,700.0,687.0001,"643,974",04/18/2019,695.0
5,688.21,699.94,686.5,"864,562",04/17/2019,699.41
6,706.48,716.65,704.76,"444,323",04/16/2019,716.65
7,712.27,714.49,708.3501,"271,812",04/15/2019,712.19
8,712.44,715.25,707.5,"417,222",04/12/2019,707.5
9,707.53,713.0228,705.18,"779,944",04/11/2019,711.84
10,718.85,719.44,711.0,"433,219",04/10/2019,711.0
11,710.67,721.21,709.89,"507,367",04/09/2019,713.08
12,714.68,716.49,707.85,"557,623",04/08/2019,708.0
13,708.37,709.68,701.08,"790,621",04/05/2019,703.45
14,703.38,708.86,695.37,"527,790",04/04/2019,704.99
15,705.64,707.66,701.32,"420,124",04/03/2019,704.59
16,704.8,707.76,698.03,"556,867",04/02/2019,703.0
17,705.74,715.62,696.96,"693,427",04/01/2019,712.15
18,710.31,711.49,701.2,"755,520",03/29/2019,704.82
19,702.51,703.16,694.01,"487,778",03/28/2019,697.32
20,697.87,701.99,689.95,"692,678",03/27/2019,689.95
21,688.82,692.75,678.58,"718,500",03/26/2019,679.99
22,676.77,679.0,657.56,"681,177",03/25/2019,669.99
23,671.46,679.24,666.85,"609,036",03/22/2019,675.4
24,670.45,680.0,667.81,"605,045",03/21/2019,668.09
25,665.79,670.8119,661.93,"338,818",03/20/2019,664.66
26,665.86,671.99,653.03,"868,167",03/19/2019,657.0
27,655.8,656.59,641.06,"836,211",03/18/2019,643.36
28,639.0,646.54,637.47,"592,691",03/15/2019,643.57
29,642.39,642.93,635.4,"433,774",03/14/2019,637.07
30,637.07,641.64,633.01,"456,128",03/13/2019,633.5
31,630.99,635.6,618.34,"711,278",03/12/2019,618.34
32,616.88,618.51,613.24,"485,058",03/11/2019,615.82
33,616.44,616.81,604.64,"598,051",03/08/2019,607.91
34,609.53,614.87,607.1267,"434,443",03/07/2019,614.42
35,613.41,619.21,611.08,"272,772",03/06/2019,616.01
36,616.01,622.0,613.48,"337,963",03/05/2019,618.48
37,618.85,622.49,612.23,"727,271",03/04/2019,612.4
38,611.63,613.7,604.79,"501,603",03/01/2019,610.1
39,607.53,609.6,598.25,"660,378",02/28/2019,599.59
40,599.28,602.0,595.43,"373,668",02/27/2019,597.4
41,599.5,601.75,594.66,"414,358",02/26/2019,595.0
42,596.66,604.37,594.15,"478,607",02/25/2019,601.0
43,600.22,602.2,595.76,"279,953",02/22/2019,600.59
44,601.19,606.63,592.73,"465,733",02/21/2019,597.73
45,597.74,600.5235,594.21,"386,068",02/20/2019,598.41
46,599.46,609.24,599.02,"487,802",02/19/2019,606.14
47,605.89,609.29,601.181,"584,006",02/15/2019,606.51
48,604.43,606.9,593.7976,"489,577",02/14/2019,597.02
49,599.62,603.29,593.57,"506,318",02/13/2019,593.57
50,593.66,612.6008,592.55,"939,190",02/12/2019,608.0
51,603.36,608.5463,584.15,"1,504,399",02/11/2019,584.15
52,582.77,592.214,578.6101,"886,545",02/08/2019,582.41
53,585.78,606.0,566.68,"4,365,635",02/07/2019,568.42
54,526.06,530.725,519.09,"1,216,044",02/06/2019,527.28
55,526.65,531.8,523.43,"387,264",02/05/2019,531.3
56,527.92,536.92,525.46,"549,022",02/04/2019,528.26
57,527.2,530.97,522.76,"642,491",02/01/2019,529.48
58,529.61,534.98,527.46,"348,792",01/31/2019,532.8
59,532.98,538.6299,527.03,"397,142",01/30/2019,534.94
60,530.06,534.0,519.3426,"559,190",01/29/2019,533.0
61,532.0,542.63,531.78,"577,562",01/28/2019,540.6
62,543.37,543.9,535.35,"675,006",01/25/2019,539.0
63,533.39,536.05,518.66,"782,907",01/24/2019,521.5
64,521.37,532.41,519.08,"1,031,008",01/23/2019,523.53
65,520.08,525.49,511.0,"968,107",01/22/2019,512.2
66,513.24,523.785,509.6319,"880,289",01/18/2019,521.33
