,Date,Open,High,Low,Close,Volume
4,293.54,294.375,292.275,"199,982",05/22/2019,292.88
5,292.51,293.56,290.955,"213,251",05/21/2019,291.16
6,289.48,293.18,288.95,"200,988",05/20/2019,291.45
7,292.73,294.67,289.35,"210,215",05/17/2019,289.36
8,291.66,295.46,290.72,"312,037",05/16/2019,291.04
9,290.76,291.65,285.5,"183,838",05/15/2019,287.53
10,287.8,290.18,286.81,"157,710",05/14/2019,286.79
11,286.79,289.09,284.6,"180,556",05/13/2019,287.12
12,291.79,292.8,284.12,"149,036",05/10/2019,291.42
13,291.42,292.38,285.69,"202,012",05/09/2019,289.11
14,290.93,292.44,287.56,"172,912",05/08/2019,289.23
15,289.23,293.77,286.79,"232,803",05/07/2019,294.76
16,294.76,296.31,288.32,"313,617",05/06/2019,293.91
17,293.91,294.58,290.54,"266,517",05/03/2019,290.81
18,290.81,291.0,284.48,"277,455",05/02/2019,287.4
19,287.4,290.92,286.45,"206,443",05/01/2019,289.92
20,289.92,290.71,285.12,"312,878",04/30/2019,286.94
21,285.89,289.99,285.33,"259,973",04/29/2019,288.15
22,288.3,288.4,280.43,"338,681",04/26/2019,283.45
23,281.5,282.655,279.42,"547,433",04/25/2019,281.04
24,282.46,288.37,281.75,"363,794",04/24/2019,287.83
25,286.74,288.59,284.04,"291,775",04/23/2019,285.56
26,284.31,286.84,279.95,"318,339",04/22/2019,279.95
27,281.22,284.63,278.76,"472,843",04/18/2019,280.44
28,279.29,290.27,278.5,"411,677",04/17/2019,290.27
29,288.98,297.445,287.25,"280,548",04/16/2019,296.61
30,295.62,295.94,292.8706,"222,476",04/15/2019,294.38
31,292.94,297.22,291.585,"266,787",04/12/2019,292.0
32,291.88,293.11,289.07,"299,942",04/11/2019,293.11
33,291.68,293.18,288.325,"192,183",04/10/2019,290.1
34,289.46,292.745,288.41,"393,634",04/09/2019,288.95
35,290.03,290.04,284.58,"295,846",04/08/2019,289.13
36,289.44,291.515,288.235,"721,075",04/05/2019,289.59
37,290.73,297.08,289.465,"412,271",04/04/2019,297.08
38,297.07,299.39,295.55,"365,843",04/03/2019,298.37
39,297.59,298.5,292.18,"280,717",04/02/2019,296.45
40,295.82,302.36,294.47,"354,193",04/01/2019,298.0
41,296.17,297.94,292.87,"356,492",03/29/2019,295.32
42,294.97,295.69,291.505,"254,311",03/28/2019,294.22
43,292.85,294.81,290.94,"236,173",03/27/2019,294.11
44,294.11,297.09,293.79,"357,654",03/26/2019,294.31
45,292.31,293.84,289.97,"240,150",03/25/2019,292.4
46,291.76,297.62,291.6,"266,280",03/22/2019,296.63
47,297.25,297.88,290.74,"243,791",03/21/2019,290.74
48,291.21,294.5,290.76,"317,401",03/20/2019,294.5
49,294.58,294.935,289.81,"372,337",03/19/2019,292.78
50,293.18,296.32,289.23,"381,577",03/18/2019,294.75
51,295.23,296.76,293.77,"440,235",03/15/2019,294.72
52,294.81,295.36,289.96,"429,213",03/14/2019,291.47
53,292.11,294.39,290.265,"229,846",03/13/2019,293.67
54,292.99,293.69,288.01,"331,342",03/12/2019,289.91
55,288.81,290.515,287.68,"374,907",03/11/2019,288.43
56,288.1,290.9,282.93,"392,546",03/08/2019,286.49
57,288.39,292.46,283.09,"490,325",03/07/2019,283.99
58,282.76,299.0,278.85,"1,026,966",03/06/2019,299.0
59,290.22,291.14,285.37,"510,109",03/05/2019,289.02
60,287.85,291.67,283.905,"474,300",03/04/2019,291.35
61,290.67,292.195,285.54,"884,157",03/01/2019,287.18
62,285.99,288.45,285.63,"813,484",02/28/2019,287.27
63,287.02,289.18,286.335,"588,287",02/27/2019,287.74
64,288.75,295.355,288.28,"324,596",02/26/2019,294.4
65,294.6,295.099,292.55,"265,515",02/25/2019,293.43
66,292.59,293.0,284.69,"339,300",02/22/2019,286.67
