,Date,Open,High,Low,Close,Volume
4,09/26/2018,233.57,235.66,233.45,233.81,"1,984,578"
5,09/25/2018,234.03,234.66,232.73,232.93,"1,889,679"
6,09/24/2018,234.19,234.85,232.9,233.34,"1,530,172"
7,09/21/2018,234.37,235.84,234.01,234.76,"3,505,751"
8,09/20/2018,234.6,234.996,232.32,233.92,"1,793,544"
9,09/19/2018,234.62,234.74,232.4217,233.85,"1,579,674"
10,09/18/2018,231.98,235.47,231.7,234.35,"1,988,564"
11,09/17/2018,234.06,234.585,231.51,232.0,"2,878,519"
12,09/14/2018,239.0,239.0,234.47,235.38,"3,853,871"
13,09/13/2018,242.5,243.99,241.05,241.27,"1,998,809"
14,09/12/2018,245.0,245.12,242.23,242.44,"1,910,086"
15,09/11/2018,243.93,245.16,243.17,244.21,"2,176,852"
16,09/10/2018,243.0,243.8042,242.115,243.18,"2,707,734"
17,09/07/2018,237.31,242.95,237.2,241.46,"2,718,633"
18,09/06/2018,235.47,236.77,235.06,236.68,"1,853,091"
19,09/05/2018,234.57,236.17,233.2,235.61,"2,125,163"
20,09/04/2018,233.14,234.91,233.14,234.68,"1,833,788"
21,08/31/2018,230.21,233.52,230.21,233.13,"1,881,301"
22,08/30/2018,229.62,231.16,229.44,230.83,"1,271,186"
23,08/29/2018,231.79,232.0,228.7345,230.19,"1,793,520"
24,08/28/2018,230.94,231.83,229.84,230.26,"1,882,084"
25,08/27/2018,232.74,232.86,228.1,230.03,"1,902,819"
26,08/24/2018,230.0,232.06,229.6,231.28,"1,453,204"
27,08/23/2018,229.0,230.35,228.57,229.51,"1,337,872"
28,08/22/2018,228.48,230.23,228.3819,229.21,"1,267,827"
29,08/21/2018,229.49,230.1,227.7,228.54,"2,048,620"
30,08/20/2018,226.0,228.22,225.97,227.35,"1,779,392"
31,08/17/2018,222.33,225.88,222.15,225.68,"1,978,559"
32,08/16/2018,223.45,224.26,222.14,223.19,"1,657,547"
33,08/15/2018,220.72,222.11,218.77,221.67,"1,844,052"
34,08/14/2018,220.01,222.56,219.86,222.0,"1,450,535"
35,08/13/2018,221.03,221.58,219.06,219.56,"1,518,799"
36,08/10/2018,218.14,221.7202,217.75,220.31,"2,830,432"
37,08/09/2018,221.62,222.35,216.9101,218.24,"3,631,576"
38,08/08/2018,222.86,224.88,222.24,224.58,"2,004,558"
39,08/07/2018,223.24,225.48,222.98,223.86,"1,424,270"
40,08/06/2018,221.43,223.27,221.0112,222.72,"1,281,837"
41,08/03/2018,221.0,222.62,221.0,222.03,"1,195,543"
42,08/02/2018,215.01,221.403,215.01,221.12,"1,902,918"
43,08/01/2018,218.65,219.0989,216.251,217.13,"1,841,215"
44,07/31/2018,219.69,220.065,218.33,218.71,"1,887,264"
45,07/30/2018,219.04,220.118,218.61,219.11,"1,267,454"
46,07/27/2018,222.31,222.5,218.76,219.65,"1,596,391"
47,07/26/2018,222.0,224.62,220.82,221.72,"1,772,787"
48,07/25/2018,217.61,220.82,217.37,220.7,"1,560,160"
49,07/24/2018,219.41,220.68,217.59,218.58,"1,453,901"
50,07/23/2018,219.88,220.46,218.2,218.84,"1,393,391"
51,07/20/2018,216.98,218.939,216.24,218.69,"1,793,861"
52,07/19/2018,214.46,218.2,214.03,217.54,"2,767,388"
53,07/18/2018,215.34,215.88,213.6,214.97,"1,868,227"
54,07/17/2018,214.06,216.155,214.0,215.0,"2,064,177"
55,07/16/2018,216.64,217.13,213.9,214.85,"2,077,019"
56,07/13/2018,214.0,216.64,213.71,216.54,"1,951,128"
57,07/12/2018,212.54,214.17,212.22,214.02,"2,221,943"
58,07/11/2018,211.21,211.7758,209.97,210.95,"1,467,737"
59,07/10/2018,210.99,212.7,210.83,211.7,"1,685,327"
60,07/09/2018,210.52,211.79,210.0,210.94,"1,713,901"
61,07/06/2018,207.14,210.39,206.6583,209.62,"1,514,869"
62,07/05/2018,208.2,209.29,207.55,209.14,"1,425,626"
63,07/03/2018,208.53,209.91,206.9,207.12,"842,101"
64,07/02/2018,208.42,208.8244,206.0475,207.99,"1,872,395"
65,06/29/2018,209.66,210.53,208.32,208.98,"2,160,735"
66,06/28/2018,210.0,211.185,208.05,208.71,"1,826,698"
67,06/27/2018,210.5,212.42,209.61,210.03,"2,210,162"
68,06/26/2018,212.38,212.46,209.97,210.09,"2,276,214"
