,Date,Open,High,Low,Close,Volume
4,39.74,40.49,39.69,"1,977,581",05/22/2019,40.28
5,40.62,40.96,39.97,"1,963,926",05/21/2019,40.24
6,39.96,40.33,39.28,"2,454,222",05/20/2019,39.56
7,39.98,40.63,39.855,"2,322,531",05/17/2019,40.11
8,40.28,41.03,40.18,"1,619,078",05/16/2019,40.77
9,40.19,40.64,39.955,"2,129,575",05/15/2019,40.5
10,40.74,41.13,39.8,"2,208,839",05/14/2019,40.62
11,40.47,42.09,40.23,"2,623,665",05/13/2019,42.79
12,42.79,43.59,42.01,"2,120,463",05/10/2019,43.09
13,43.09,43.63,42.31,"2,648,969",05/09/2019,43.47
14,42.29,43.204,41.77,"2,351,288",05/08/2019,41.97
15,41.97,43.545,41.668,"2,555,843",05/07/2019,43.71
16,43.71,43.98,42.76,"2,711,655",05/06/2019,44.07
17,44.07,44.24,43.34,"1,417,346",05/03/2019,43.65
18,43.65,43.71,43.03,"1,898,182",05/02/2019,43.45
19,43.19,44.7,43.19,"2,324,306",05/01/2019,44.08
20,44.08,44.9525,43.945,"2,062,353",04/30/2019,44.63
21,44.87,45.2,44.37,"1,781,419",04/29/2019,44.62
22,44.67,45.0,44.12,"1,427,628",04/26/2019,44.43
23,44.52,46.065,44.36,"2,538,415",04/25/2019,46.05
24,46.11,46.49,45.7,"1,967,230",04/24/2019,46.15
25,46.08,47.09,45.75,"2,771,987",04/23/2019,46.72
26,46.59,48.89,46.47,"4,422,627",04/22/2019,48.86
27,49.22,49.42,48.38,"3,260,473",04/18/2019,48.58
28,48.66,49.1,48.175,"1,696,430",04/17/2019,48.33
29,47.84,48.24,47.8006,"1,682,358",04/16/2019,48.09
30,48.09,48.78,48.04,"1,528,920",04/15/2019,48.59
31,48.46,48.855,47.75,"2,289,966",04/12/2019,48.34
32,48.06,50.0,47.96,"2,194,594",04/11/2019,49.98
33,49.83,49.89,48.22,"4,144,217",04/10/2019,48.61
34,48.55,48.7912,47.86,"2,031,768",04/09/2019,48.71
35,48.86,49.32,48.45,"3,064,802",04/08/2019,49.18
36,48.09,49.86,47.95,"2,887,027",04/05/2019,49.43
37,49.31,49.38,47.53,"3,335,095",04/04/2019,47.77
38,46.95,47.34,46.54,"1,534,004",04/03/2019,46.94
39,46.63,46.98,46.38,"2,069,617",04/02/2019,46.98
40,47.14,47.175,45.96,"2,752,418",04/01/2019,45.96
41,45.75,46.77,45.65,"1,971,507",03/29/2019,46.68
42,46.65,46.76,45.65,"3,597,654",03/28/2019,46.26
43,45.38,45.45,44.56,"1,941,212",03/27/2019,44.78
44,44.37,44.83,44.12,"2,366,493",03/26/2019,44.29
45,43.84,44.025,43.1,"1,843,978",03/25/2019,43.46
46,43.7,44.99,43.06,"4,224,665",03/22/2019,44.96
47,45.36,45.75,44.17,"1,578,585",03/21/2019,45.41
48,45.4,46.34,45.13,"1,747,190",03/20/2019,46.34
49,46.56,47.37,46.31,"1,858,203",03/19/2019,47.37
50,47.08,47.14,45.94,"2,371,715",03/18/2019,46.1
51,45.93,46.31,45.55,"2,885,498",03/15/2019,46.0
52,46.24,46.7,45.13,"2,674,907",03/14/2019,46.7
53,46.43,46.615,45.63,"3,263,522",03/13/2019,45.67
54,45.55,45.75,44.67,"2,526,835",03/12/2019,45.01
55,44.69,44.92,43.64,"1,922,957",03/11/2019,43.86
56,43.58,44.48,43.28,"1,926,628",03/08/2019,44.27
57,44.7,45.98,44.04,"3,874,918",03/07/2019,45.92
58,46.0,46.13,45.065,"3,052,303",03/06/2019,45.32
59,45.17,45.57,44.92,"3,225,017",03/05/2019,45.17
60,45.07,47.16,44.84,"3,971,938",03/04/2019,46.81
61,46.81,48.25,46.44,"2,921,935",03/01/2019,48.08
62,45.6,46.27,45.04,"4,086,486",02/28/2019,45.44
63,45.42,45.8,45.0827,"5,154,861",02/27/2019,45.24
64,45.61,46.125,45.32,"3,168,644",02/26/2019,45.58
65,45.17,45.49,44.2,"2,765,177",02/25/2019,44.24
66,43.84,44.36,43.6,"1,843,751",02/22/2019,43.76
