,Date,Open,High,Low,Close,Volume
4,11/06/2018,21.0,21.23,20.93,21.15,"7,405,037"
5,11/05/2018,21.0,21.05,20.62,21.0,"7,544,021"
6,11/02/2018,20.7,21.27,20.65,20.97,"8,870,352"
7,11/01/2018,20.8,21.04,20.445,20.58,"5,871,173"
8,10/31/2018,20.62,20.95,20.48,20.64,"8,955,365"
9,10/30/2018,19.72,20.53,19.72,20.46,"9,749,907"
10,10/29/2018,19.76,20.2461,19.49,19.76,"9,885,631"
11,10/26/2018,20.78,20.78,19.12,19.37,"17,477,770"
12,10/25/2018,21.03,21.4,20.92,21.07,"9,478,539"
13,10/24/2018,21.43,21.73,20.82,20.84,"8,622,918"
14,10/23/2018,21.15,21.585,21.04,21.5,"7,619,237"
15,10/22/2018,22.01,22.04,21.25,21.29,"9,895,140"
16,10/19/2018,21.17,22.08,21.17,21.99,"11,822,020"
17,10/18/2018,21.15,21.255,20.9,21.04,"6,127,421"
18,10/17/2018,21.05,21.22,20.855,21.15,"6,479,350"
19,10/16/2018,20.79,21.08,20.52,21.0,"6,068,432"
20,10/15/2018,20.7,20.98,20.53,20.71,"7,793,996"
21,10/12/2018,20.48,20.74,20.4,20.66,"6,070,093"
22,10/11/2018,20.94,21.06,20.05,20.14,"11,401,340"
23,10/10/2018,21.04,21.62,20.9,20.92,"7,943,959"
24,10/09/2018,21.32,21.36,20.97,21.03,"9,434,844"
25,10/08/2018,21.8,21.85,21.04,21.26,"9,753,726"
26,10/05/2018,21.93,22.21,21.83,21.86,"9,260,752"
27,10/04/2018,21.95,21.99,21.58,21.87,"9,452,468"
28,10/03/2018,21.9,22.04,21.6,21.89,"9,350,823"
29,10/02/2018,21.41,21.9,21.35,21.83,"8,922,919"
30,10/01/2018,21.3,21.6799,21.25,21.45,"9,900,458"
31,09/28/2018,20.89,21.35,20.87,21.2,"8,024,940"
32,09/27/2018,20.75,21.31,20.74,20.89,"9,122,448"
33,09/26/2018,21.07,21.16,20.55,20.73,"15,549,350"
34,09/25/2018,21.77,21.881,20.9,21.05,"28,935,170"
35,09/24/2018,22.94,23.13,22.69,22.9,"6,905,871"
36,09/21/2018,22.61,23.06,22.525,22.94,"26,201,930"
37,09/20/2018,22.78,22.81,22.2,22.57,"11,566,010"
38,09/19/2018,23.18,23.23,22.71,22.74,"8,142,469"
39,09/18/2018,22.78,23.23,22.76,23.16,"7,281,566"
40,09/17/2018,22.79,23.1,22.68,22.78,"6,583,573"
41,09/14/2018,22.75,22.81,22.235,22.74,"7,678,121"
42,09/13/2018,23.0,23.0,22.57,22.65,"6,700,753"
43,09/12/2018,22.51,23.04,22.43,22.94,"8,128,246"
44,09/11/2018,21.88,22.74,21.83,22.51,"11,006,260"
45,09/10/2018,22.09,22.11,21.71,21.81,"6,629,244"
46,09/07/2018,21.92,22.43,21.81,21.94,"6,503,062"
47,09/06/2018,21.78,22.055,21.71,22.0,"11,261,350"
48,09/05/2018,21.47,21.73,21.42,21.65,"8,406,732"
49,09/04/2018,21.36,21.58,21.06,21.5,"11,681,640"
50,08/31/2018,21.68,21.8,21.23,21.36,"9,931,634"
51,08/30/2018,21.83,21.89,21.35,21.68,"13,836,400"
52,08/29/2018,22.55,22.61,22.04,22.34,"17,361,460"
53,08/28/2018,22.89,22.995,22.46,22.5,"12,970,650"
54,08/27/2018,22.8,23.005,22.71,22.87,"10,006,500"
55,08/24/2018,22.86,23.01,22.74,22.75,"10,612,740"
56,08/23/2018,22.48,23.0,22.4,22.81,"10,912,130"
57,08/22/2018,23.2,23.25,22.34,22.42,"20,475,060"
58,08/21/2018,23.88,24.2,23.74,23.98,"10,944,890"
59,08/20/2018,23.58,23.895,23.43,23.86,"10,891,830"
60,08/17/2018,23.19,23.78,23.12,23.48,"10,552,390"
61,08/16/2018,22.69,23.4,22.66,23.33,"15,471,650"
62,08/15/2018,22.46,22.83,22.08,22.47,"12,892,530"
63,08/14/2018,21.9165,22.55,21.9165,22.36,"12,373,990"
64,08/13/2018,21.47,22.038,21.38,21.88,"15,205,270"
65,08/10/2018,20.82,21.615,20.81,21.38,"16,411,750"
66,08/09/2018,19.46,21.12,19.43,20.97,"32,292,370"
67,08/08/2018,18.65,18.75,18.4,18.54,"8,293,390"
68,08/07/2018,18.75,18.79,18.56,18.64,"10,153,810"
69,08/06/2018,18.81,18.89,18.64,18.7,"6,679,969"
