,Date,Open,High,Low,Close,Volume
4,10/30/2018,71.03,72.47,70.33,72.39,"7,204,505"
5,10/29/2018,71.16,71.52,69.48,70.54,"6,261,605"
6,10/26/2018,70.0,70.8,69.17,70.12,"8,538,131"
7,10/25/2018,70.08,71.13,69.55,70.67,"9,230,073"
8,10/24/2018,72.13,72.57,69.58,69.81,"6,901,454"
9,10/23/2018,71.27,72.91,70.45,72.45,"5,862,809"
10,10/22/2018,74.45,74.94,72.6,72.84,"5,389,484"
11,10/19/2018,74.39,75.62,73.95,74.18,"7,266,268"
12,10/18/2018,74.47,75.165,73.77,74.53,"7,315,651"
13,10/17/2018,73.96,74.83,73.75,74.36,"7,233,460"
14,10/16/2018,73.54,73.75,72.65,73.72,"10,207,350"
15,10/15/2018,74.17,74.97,73.02,73.06,"7,383,512"
16,10/12/2018,74.51,74.97,73.27,74.58,"9,472,798"
17,10/11/2018,76.69,77.07,72.6,73.19,"17,089,430"
18,10/10/2018,80.01,80.53,78.7,78.92,"14,045,000"
19,10/09/2018,79.76,79.89,78.81,79.49,"3,701,699"
20,10/08/2018,78.81,80.0,78.73,79.8,"5,255,977"
21,10/05/2018,79.22,79.69,78.44,78.67,"4,540,703"
22,10/04/2018,79.57,79.97,78.97,79.39,"6,577,643"
23,10/03/2018,79.66,80.465,79.2,79.9,"4,825,052"
24,10/02/2018,79.28,79.99,79.16,79.24,"3,929,576"
25,10/01/2018,79.05,80.56,78.9501,79.5,"6,452,655"
26,09/28/2018,78.39,79.09,78.26,78.72,"6,317,423"
27,09/27/2018,78.47,79.425,78.35,78.76,"8,945,975"
28,09/26/2018,77.87,79.09,77.33,78.43,"6,000,881"
29,09/25/2018,78.34,78.9,77.31,77.61,"8,941,602"
30,09/24/2018,79.22,79.37,78.12,78.74,"7,129,408"
31,09/21/2018,79.46,79.93,78.58,79.59,"12,054,240"
32,09/20/2018,79.41,79.97,79.235,79.39,"6,736,668"
33,09/19/2018,78.81,79.94,78.48,78.96,"7,807,840"
34,09/18/2018,78.04,79.18,77.61,78.61,"7,717,103"
35,09/17/2018,76.83,78.2,76.76,78.1,"8,987,280"
36,09/14/2018,77.45,77.74,76.865,76.91,"4,987,579"
37,09/13/2018,77.97,78.5,76.89,77.08,"6,831,036"
38,09/12/2018,75.83,77.5,75.62,77.32,"6,152,054"
39,09/11/2018,74.91,75.94,74.5774,75.73,"4,980,778"
40,09/10/2018,77.27,77.8,75.63,75.64,"5,329,085"
41,09/07/2018,75.89,77.42,75.83,77.29,"9,984,017"
42,09/06/2018,75.01,76.31,74.09,76.07,"9,470,150"
43,09/05/2018,73.89,75.22,72.8201,74.89,"14,728,750"
44,09/04/2018,74.98,75.01,73.36,74.0,"9,708,943"
45,08/31/2018,74.46,75.31,74.31,75.24,"5,643,845"
46,08/30/2018,74.1,74.7759,73.65,74.53,"4,035,001"
47,08/29/2018,74.86,74.92,74.21,74.45,"3,781,117"
48,08/28/2018,75.0,75.03,73.9,74.92,"5,535,060"
49,08/27/2018,74.2,75.1,74.16,74.96,"4,770,683"
50,08/24/2018,73.64,74.25,73.59,74.08,"5,499,670"
51,08/23/2018,73.71,73.9,73.2,73.64,"4,299,572"
52,08/22/2018,73.5,74.54,73.14,73.91,"5,259,097"
53,08/21/2018,74.3,74.6,73.31,73.69,"5,064,822"
54,08/20/2018,73.98,74.9,73.79,74.62,"5,852,758"
55,08/17/2018,73.04,74.24,72.77,73.68,"7,144,693"
56,08/16/2018,72.24,73.87,72.0,73.2,"9,036,608"
57,08/15/2018,71.04,71.77,70.28,71.64,"6,965,230"
58,08/14/2018,69.5,71.89,69.5,71.38,"9,894,885"
59,08/13/2018,69.25,70.15,68.56,69.5,"6,776,597"
60,08/10/2018,68.5,69.12,68.21,69.05,"5,917,276"
61,08/09/2018,68.17,69.28,67.98,68.57,"9,056,464"
62,08/08/2018,68.02,69.39,66.72,68.17,"18,503,700"
63,08/07/2018,65.42,66.02,64.96,65.45,"5,712,973"
64,08/06/2018,64.85,65.3,64.69,65.04,"4,737,054"
65,08/03/2018,63.91,65.24,63.7,64.89,"4,803,272"
66,08/02/2018,63.77,64.185,63.23,63.78,"6,800,371"
67,08/01/2018,65.0,65.49,63.72,64.09,"9,561,728"
68,07/31/2018,67.46,67.659,64.85,64.86,"9,344,429"
69,07/30/2018,66.65,67.59,66.6,67.43,"4,665,150"
