,Date,Open,High,Low,Close,Volume
4,119.86,120.82,119.1,"9,482,216",04/18/2019,120.52
5,120.27,122.54,120.05,"11,897,320",04/17/2019,122.2
6,121.17,121.32,120.06,"11,942,220",04/16/2019,120.43
7,120.14,121.02,119.33,"13,364,150",04/15/2019,120.02
8,119.76,122.0,119.0,"42,686,640",04/12/2019,121.58
9,125.99,126.255,124.75,"3,247,619",04/11/2019,125.34
10,125.49,126.565,125.13,"3,946,833",04/10/2019,126.14
11,125.54,126.29,125.12,"4,143,392",04/09/2019,126.29
12,126.68,127.34,126.23,"5,483,079",04/08/2019,126.77
13,126.42,126.64,125.2,"5,544,771",04/05/2019,125.25
14,124.8,124.83,123.55,"3,715,379",04/04/2019,124.01
15,123.89,125.35,123.54,"3,595,240",04/03/2019,125.22
16,124.93,125.44,124.11,"4,349,192",04/02/2019,125.2
17,124.94,125.27,123.45,"5,236,645",04/01/2019,123.87
18,123.18,124.47,122.49,"5,318,643",03/29/2019,124.28
19,123.02,123.16,122.36,"4,057,723",03/28/2019,122.6
20,122.79,124.48,122.0174,"3,698,967",03/27/2019,123.98
21,124.13,124.91,123.38,"4,079,813",03/26/2019,123.77
22,122.89,123.35,122.31,"3,837,471",03/25/2019,122.93
23,123.09,124.9,122.7,"5,784,506",03/22/2019,124.85
24,125.86,125.96,124.51,"5,050,436",03/21/2019,124.87
25,124.69,126.34,124.68,"6,702,976",03/20/2019,125.04
26,125.28,126.92,124.74,"4,766,559",03/19/2019,126.56
27,125.88,126.13,125.17,"5,586,896",03/18/2019,125.21
28,125.31,125.42,124.35,"10,449,710",03/15/2019,124.59
29,124.6,125.46,124.48,"5,146,400",03/14/2019,124.76
30,124.67,124.93,123.9,"4,701,992",03/13/2019,124.6
31,123.9,124.96,123.38,"6,180,985",03/12/2019,123.84
32,123.62,124.2,122.75,"6,088,551",03/11/2019,122.87
33,121.62,121.93,119.2,"7,014,052",03/08/2019,120.1
34,121.94,123.5,121.7,"7,198,775",03/07/2019,123.42
35,123.53,124.7,122.2999,"7,599,939",03/06/2019,123.17
36,123.29,123.35,121.59,"6,980,380",03/05/2019,121.87
37,122.12,122.84,120.55,"7,486,241",03/04/2019,122.67
38,122.03,122.04,120.17,"7,730,203",03/01/2019,120.39
39,119.58,120.16,118.49,"6,393,743",02/28/2019,120.0
40,120.08,121.29,119.89,"5,289,818",02/27/2019,120.29
41,119.94,120.97,119.68,"5,445,647",02/26/2019,119.81
42,119.62,120.42,119.37,"5,196,485",02/25/2019,119.41
43,119.39,120.46,118.85,"4,517,619",02/22/2019,120.28
44,119.14,120.32,118.39,"4,971,552",02/21/2019,120.07
45,120.28,120.72,119.0,"5,940,487",02/20/2019,119.31
46,119.31,119.86,118.46,"4,277,802",02/19/2019,118.9
47,119.35,119.86,118.5901,"6,150,781",02/15/2019,119.62
48,118.16,119.53,117.66,"5,406,427",02/14/2019,118.37
49,119.57,120.39,118.6989,"5,932,827",02/13/2019,119.16
50,118.72,118.87,117.61,"5,399,716",02/12/2019,118.33
51,116.95,117.36,116.39,"4,858,537",02/11/2019,116.93
52,117.58,117.89,115.92,"5,670,614",02/08/2019,117.74
53,118.23,118.51,116.51,"7,281,882",02/07/2019,118.01
54,118.88,119.59,118.6907,"4,990,326",02/06/2019,119.0
55,119.48,119.86,118.69,"5,915,116",02/05/2019,119.62
56,119.74,119.75,116.31,"7,932,733",02/04/2019,117.5
57,118.37,119.25,116.6,"10,918,270",02/01/2019,116.65
58,114.65,115.41,113.38,"11,203,990",01/31/2019,113.8
59,113.01,113.65,111.98,"7,925,936",01/30/2019,112.53
60,111.83,113.35,111.77,"5,358,659",01/29/2019,113.03
61,112.17,112.57,111.07,"6,750,654",01/28/2019,111.91
62,113.22,114.78,112.99,"6,261,825",01/25/2019,114.06
63,113.51,113.82,110.91,"8,468,886",01/24/2019,111.03
64,111.39,112.6725,110.42,"5,856,476",01/23/2019,112.38
65,112.34,113.45,111.95,"7,205,223",01/22/2019,113.12
66,114.37,114.65,113.06,"9,367,855",01/18/2019,113.99
