,Date,Open,High,Low,Close,Volume
4,11/06/2018,37.34,37.6,36.87,37.49,"3,690,519"
5,11/05/2018,36.09,37.385,36.04,37.36,"5,494,847"
6,11/02/2018,37.3,37.3,35.48,36.09,"5,086,418"
7,11/01/2018,36.05,37.3725,35.75,36.97,"6,087,851"
8,10/31/2018,36.62,36.81,35.61,35.96,"5,500,624"
9,10/30/2018,34.93,36.41,34.63,36.36,"5,728,230"
10,10/29/2018,36.71,36.79,34.65,35.04,"5,295,008"
11,10/26/2018,34.99,37.13,34.785,36.05,"7,993,079"
12,10/25/2018,34.77,35.91,34.63,35.62,"6,337,544"
13,10/24/2018,35.68,36.34,34.38,34.42,"7,606,315"
14,10/23/2018,34.62,36.34,34.37,35.68,"10,289,100"
15,10/22/2018,36.05,36.105,34.88,34.97,"8,075,580"
16,10/19/2018,37.23,37.49,35.7169,35.92,"4,972,601"
17,10/18/2018,37.25,37.99,37.05,37.38,"3,932,657"
18,10/17/2018,38.27,38.35,37.3,37.78,"6,704,164"
19,10/16/2018,38.08,38.67,37.59,38.65,"4,647,993"
20,10/15/2018,37.42,37.99,37.28,37.68,"3,431,979"
21,10/12/2018,38.36,38.4,37.42,37.63,"4,427,172"
22,10/11/2018,38.28,39.015,37.8,37.92,"5,897,890"
23,10/10/2018,39.18,39.62,38.2,38.27,"7,801,267"
24,10/09/2018,40.5,40.76,39.26,39.39,"5,180,019"
25,10/08/2018,39.9,40.86,39.8631,40.65,"5,072,133"
26,10/05/2018,40.54,40.86,39.43,40.26,"8,087,263"
27,10/04/2018,41.4,41.4799,39.97,40.5,"5,878,044"
28,10/03/2018,42.5,42.86,41.33,41.48,"5,068,703"
29,10/02/2018,42.18,42.93,42.18,42.59,"3,929,322"
30,10/01/2018,42.26,42.8,41.86,42.22,"3,064,947"
31,09/28/2018,41.75,42.685,41.6,42.18,"3,742,891"
32,09/27/2018,42.41,42.43,41.56,41.83,"2,714,117"
33,09/26/2018,43.39,43.62,42.09,42.55,"2,902,300"
34,09/25/2018,42.21,43.16,42.03,42.99,"4,141,258"
35,09/24/2018,42.24,42.41,41.85,41.95,"4,772,955"
36,09/21/2018,42.5,42.62,41.6577,42.41,"5,058,395"
37,09/20/2018,42.79,43.01,42.18,42.54,"3,318,605"
38,09/19/2018,43.07,43.55,42.35,42.62,"2,320,370"
39,09/18/2018,42.54,43.635,42.54,43.18,"2,387,265"
40,09/17/2018,43.07,43.16,42.49,42.54,"2,683,512"
41,09/14/2018,42.38,43.16,42.09,43.0,"3,160,016"
42,09/13/2018,43.59,43.91,41.7,42.66,"5,440,876"
43,09/12/2018,43.13,43.67,42.95,43.5,"5,236,520"
44,09/11/2018,42.61,43.77,42.45,42.99,"4,619,136"
45,09/10/2018,43.1,43.325,42.73,42.87,"2,937,118"
46,09/07/2018,44.47,44.52,42.74,42.99,"4,901,203"
47,09/06/2018,45.23,45.715,44.645,44.77,"2,055,881"
48,09/05/2018,44.72,45.3039,44.55,45.11,"2,306,381"
49,09/04/2018,44.47,44.9,44.37,44.68,"2,035,801"
50,08/31/2018,44.48,44.85,44.2,44.51,"2,600,022"
51,08/30/2018,45.05,45.42,44.425,44.52,"2,079,596"
52,08/29/2018,45.27,45.55,44.7655,45.14,"1,779,445"
53,08/28/2018,45.33,45.6,45.11,45.32,"2,330,829"
54,08/27/2018,45.05,45.58,44.85,45.38,"1,945,842"
55,08/24/2018,44.96,45.27,44.77,44.96,"2,140,330"
56,08/23/2018,45.63,45.63,44.76,44.97,"2,079,770"
57,08/22/2018,46.36,46.54,45.61,45.7,"3,281,447"
58,08/21/2018,45.49,46.91,45.49,46.47,"7,279,240"
59,08/20/2018,44.51,45.09,44.38,44.79,"3,645,521"
60,08/17/2018,44.24,44.82,44.12,44.38,"2,898,543"
61,08/16/2018,43.99,44.83,43.83,44.32,"2,583,979"
62,08/15/2018,43.84,44.14,43.24,43.83,"2,939,315"
63,08/14/2018,43.5,44.46,43.44,43.99,"3,133,898"
64,08/13/2018,44.87,44.93,43.17,43.52,"3,764,616"
65,08/10/2018,44.68,45.2,44.21,44.92,"3,576,559"
66,08/09/2018,44.22,45.45,44.11,45.0,"3,887,161"
67,08/08/2018,44.27,44.489,43.75,44.1,"2,059,787"
68,08/07/2018,43.71,44.45,43.63,44.29,"2,865,650"
69,08/06/2018,43.77,43.84,42.82,43.78,"4,925,400"
