,Date,Open,High,Low,Close,Volume
4,131.95,132.04,130.28,"2,123,793",04/08/2019,131.65
5,131.59,131.77,130.43,"2,702,867",04/05/2019,130.82
6,130.47,131.63,130.19,"2,266,408",04/04/2019,131.26
7,130.97,132.07,130.85,"2,349,105",04/03/2019,132.07
8,131.62,132.02,131.42,"2,038,772",04/02/2019,132.0
9,131.82,134.5,131.31,"2,237,654",04/01/2019,133.15
10,132.02,132.17,130.07,"3,211,143",03/29/2019,130.44
11,129.84,130.22,129.02,"1,451,589",03/28/2019,130.0
12,129.74,131.16,128.83,"2,843,551",03/27/2019,130.85
13,131.08,132.05,130.42,"1,902,359",03/26/2019,130.69
14,129.46,130.22,128.85,"1,750,262",03/25/2019,129.37
15,129.69,132.5975,129.66,"2,940,405",03/22/2019,131.53
16,132.29,132.425,128.79,"2,989,131",03/21/2019,128.79
17,129.74,130.18,129.07,"3,131,793",03/20/2019,129.35
18,129.86,129.94,128.39,"3,127,008",03/19/2019,128.53
19,128.07,129.19,127.34,"2,751,646",03/18/2019,128.81
20,128.69,129.42,128.03,"5,489,373",03/15/2019,128.13
21,128.11,128.26,127.54,"2,280,589",03/14/2019,128.0
22,128.13,128.95,127.5988,"2,091,249",03/13/2019,127.75
23,127.44,127.8,126.41,"2,484,780",03/12/2019,126.59
24,126.33,126.805,125.02,"3,282,288",03/11/2019,125.32
25,125.04,125.145,123.5,"2,369,099",03/08/2019,123.74
26,124.46,125.0,123.64,"2,834,037",03/07/2019,124.44
27,124.64,125.27,123.77,"3,767,259",03/06/2019,125.01
28,125.35,126.605,125.04,"3,276,606",03/05/2019,125.42
29,125.89,128.39,124.85,"4,505,786",03/04/2019,127.79
30,127.77,128.21,126.43,"3,626,541",03/01/2019,127.55
31,127.02,127.84,125.8,"6,179,607",02/28/2019,126.11
32,126.39,127.53,125.03,"15,512,120",02/27/2019,125.38
33,123.21,123.41,121.31,"6,662,567",02/26/2019,122.43
34,123.15,124.1,121.33,"8,801,516",02/25/2019,123.94
35,113.48,113.63,112.3649,"1,855,759",02/22/2019,112.55
36,112.43,112.47,111.3,"1,821,677",02/21/2019,111.83
37,112.2,112.23,110.66,"1,703,552",02/20/2019,111.01
38,111.32,111.82,110.9,"2,365,723",02/19/2019,111.35
39,111.24,111.59,110.63,"4,047,843",02/15/2019,111.36
40,110.36,111.09,110.29,"2,248,017",02/14/2019,110.97
41,111.22,111.785,110.6,"1,960,400",02/13/2019,111.65
42,111.37,111.5,109.97,"1,773,348",02/12/2019,110.5
43,109.68,109.93,109.08,"1,642,730",02/11/2019,109.56
44,109.25,109.36,107.56,"1,259,450",02/08/2019,107.92
45,108.59,109.7,107.83,"1,699,277",02/07/2019,108.87
46,109.66,109.93,109.06,"1,597,704",02/06/2019,109.28
47,109.51,110.69,109.03,"2,569,949",02/05/2019,110.0
48,109.59,109.59,108.53,"1,923,672",02/04/2019,109.2
49,109.3,111.0,108.975,"2,588,149",02/01/2019,110.93
50,110.92,111.1,108.08,"2,888,439",01/31/2019,108.64
51,109.01,109.48,105.59,"3,515,278",01/30/2019,106.05
52,105.27,107.8,104.5,"3,631,979",01/29/2019,106.19
53,106.03,106.04,104.955,"2,100,467",01/28/2019,105.54
54,106.33,107.65,105.94,"2,800,475",01/25/2019,106.78
55,106.05,106.5,105.22,"1,660,823",01/24/2019,106.1
56,106.13,106.97,104.9451,"1,899,653",01/23/2019,106.23
57,106.41,106.8976,105.32,"2,679,273",01/22/2019,106.83
58,107.45,107.69,106.03,"3,150,577",01/18/2019,106.41
59,105.57,105.92,104.45,"3,092,080",01/17/2019,104.49
60,104.49,105.75,104.16,"2,796,676",01/16/2019,105.29
61,105.04,105.48,104.04,"2,016,490",01/15/2019,104.26
62,104.09,104.975,103.98,"1,563,359",01/14/2019,104.36
63,105.26,105.29,104.2,"1,547,658",01/11/2019,104.58
64,105.36,105.43,103.21,"1,674,724",01/10/2019,104.04
65,104.36,105.315,103.73,"3,015,569",01/09/2019,104.08
66,103.43,103.48,101.46,"3,529,615",01/08/2019,101.73
