,Date,Open,High,Low,Close,Volume
4,01/31/2019,110.1,111.54,110.01,111.52,"8,248,752"
5,01/30/2019,110.3,110.58,108.96,110.13,"7,852,571"
6,01/29/2019,110.65,110.9286,110.0046,110.9,"5,250,366"
7,01/28/2019,110.76,110.99,109.95,110.81,"6,123,045"
8,01/25/2019,111.465,111.5,110.66,111.09,"5,706,862"
9,01/24/2019,111.0,111.11,109.93,110.55,"6,713,263"
10,01/23/2019,111.19,111.84,110.0,111.12,"6,845,002"
11,01/22/2019,110.62,111.33,109.75,110.6,"6,948,627"
12,01/18/2019,111.86,111.93,110.8286,111.04,"8,552,678"
13,01/17/2019,110.72,111.255,110.16,111.01,"5,119,995"
14,01/16/2019,111.45,112.01,110.81,110.91,"5,854,799"
15,01/15/2019,112.3,113.18,110.61,111.76,"9,663,624"
16,01/14/2019,111.65,112.695,111.43,112.42,"6,980,508"
17,01/11/2019,112.18,112.92,111.73,112.65,"4,749,165"
18,01/10/2019,111.99,112.91,111.5,112.8,"6,097,125"
19,01/09/2019,111.8,112.8,111.56,112.67,"5,920,728"
20,01/08/2019,111.8,112.56,111.17,111.42,"8,689,079"
21,01/07/2019,109.91,111.4,109.3,110.56,"6,352,180"
22,01/04/2019,107.94,110.75,107.25,109.61,"10,073,780"
23,01/03/2019,108.48,108.65,105.9436,106.33,"10,744,350"
24,01/02/2019,108.1,109.135,107.7304,108.97,"9,711,276"
25,12/31/2018,109.11,109.67,107.5528,109.65,"7,240,290"
26,12/28/2018,107.28,108.52,106.1901,107.3,"7,598,070"
27,12/27/2018,104.41,106.55,102.795,106.52,"8,078,455"
28,12/26/2018,100.49,105.85,100.38,105.83,"9,311,869"
29,12/24/2018,103.23,103.9,100.35,100.35,"7,132,955"
30,12/21/2018,106.47,108.75,103.86,104.22,"15,523,620"
31,12/20/2018,108.75,109.21,106.13,107.0,"9,382,722"
32,12/19/2018,110.0,112.13,108.9461,109.22,"9,344,297"
33,12/18/2018,110.87,111.08,108.9,109.45,"6,673,748"
34,12/17/2018,112.29,112.89,110.03,110.62,"7,711,632"
35,12/14/2018,112.37,113.92,112.05,112.2,"7,601,873"
36,12/13/2018,112.87,113.595,112.34,113.39,"6,570,562"
37,12/12/2018,113.0,113.98,112.15,112.21,"7,716,351"
38,12/11/2018,112.97,113.72,111.43,111.97,"6,861,110"
39,12/10/2018,111.99,112.29,109.5301,111.86,"7,329,130"
40,12/07/2018,113.86,113.99,111.61,111.98,"8,304,231"
41,12/06/2018,112.06,114.34,111.16,114.33,"10,503,440"
42,12/04/2018,115.62,116.29,112.66,112.87,"10,804,640"
43,12/03/2018,116.65,116.92,114.91,115.74,"9,264,250"
44,11/30/2018,116.84,117.065,115.06,115.49,"16,855,210"
45,11/29/2018,115.75,117.14,115.21,116.61,"10,259,160"
46,11/28/2018,114.32,116.3,114.05,116.1,"9,033,987"
47,11/27/2018,113.61,114.1,112.41,113.9,"7,357,404"
48,11/26/2018,113.18,113.18,111.92,112.55,"6,996,014"
49,11/23/2018,112.24,112.79,111.74,112.08,"3,242,322"
50,11/21/2018,112.5,113.985,112.3,113.03,"7,242,441"
51,11/20/2018,113.52,114.588,111.52,111.87,"11,193,550"
52,11/19/2018,116.0,117.83,114.79,115.42,"9,712,526"
53,11/16/2018,116.53,117.344,115.99,116.19,"7,123,863"
54,11/15/2018,116.49,117.43,115.7,117.11,"7,087,355"
55,11/14/2018,117.44,118.22,116.44,117.12,"7,102,031"
56,11/13/2018,117.11,117.78,116.18,116.85,"4,645,737"
57,11/12/2018,118.0,118.46,116.6,116.7,"9,169,862"
58,11/09/2018,118.2,120.2,117.18,118.0,"16,875,190"
59,11/08/2018,117.45,117.83,115.21,116.0,"11,008,440"
60,11/07/2018,116.57,117.285,115.16,117.05,"8,239,470"
61,11/06/2018,115.74,116.84,115.45,116.71,"5,035,633"
62,11/05/2018,115.74,116.2241,115.12,115.45,"7,920,295"
63,11/02/2018,116.83,116.95,114.37,115.18,"6,365,960"
64,11/01/2018,115.2,116.28,114.9,116.1,"6,777,469"
65,10/31/2018,116.23,116.52,114.68,114.83,"9,189,266"
