,Date,Open,High,Low,Close,Volume
4,120.45,120.98,118.93,"863,026",04/18/2019,119.12
5,119.12,120.03,117.56,"775,918",04/17/2019,119.17
6,119.07,122.3,118.22,"862,809",04/16/2019,121.8
7,121.9,123.02,121.48,"558,551",04/15/2019,122.88
8,122.73,122.76,120.865,"782,066",04/12/2019,121.53
9,121.72,122.7,120.9737,"778,816",04/11/2019,121.98
10,121.98,122.08,121.01,"996,427",04/10/2019,121.39
11,120.53,121.95,120.32,"1,076,322",04/09/2019,121.48
12,121.41,122.6656,120.82,"1,075,573",04/08/2019,122.28
13,122.41,122.745,121.74,"961,474",04/05/2019,122.01
14,121.93,122.26,120.71,"483,085",04/04/2019,121.89
15,121.66,122.66,120.82,"780,266",04/03/2019,121.87
16,121.71,122.0,119.39,"1,114,109",04/02/2019,120.28
17,120.03,120.12,117.97,"787,581",04/01/2019,119.21
18,119.0,119.78,118.61,"1,181,702",03/29/2019,119.78
19,119.64,119.99,118.48,"854,439",03/28/2019,118.91
20,118.77,119.655,117.665,"1,641,786",03/27/2019,118.87
21,118.89,118.96,117.56,"744,228",03/26/2019,118.05
22,117.7,119.11,117.68,"631,766",03/25/2019,118.61
23,119.12,120.93,119.08,"1,068,203",03/22/2019,119.48
24,119.41,119.56,116.25,"818,109",03/21/2019,116.57
25,116.57,117.03,115.0,"960,766",03/20/2019,115.67
26,115.63,116.44,115.27,"741,801",03/19/2019,115.93
27,115.63,115.95,114.91,"676,017",03/18/2019,115.37
28,115.23,115.79,114.89,"1,578,720",03/15/2019,115.52
29,115.37,115.5,114.56,"900,052",03/14/2019,115.0
30,115.97,116.8,115.11,"1,223,992",03/13/2019,115.11
31,114.8,115.38,114.07,"778,690",03/12/2019,114.34
32,113.94,114.09,112.4,"1,421,089",03/11/2019,112.55
33,111.99,113.83,111.3,"1,389,389",03/08/2019,112.66
34,112.65,114.37,112.46,"1,803,481",03/07/2019,112.96
35,112.56,113.47,112.38,"1,027,866",03/06/2019,113.29
36,113.14,114.06,112.995,"1,408,582",03/05/2019,113.11
37,113.4,115.235,112.2,"1,416,083",03/04/2019,115.16
38,114.65,114.9,113.09,"2,058,598",03/01/2019,113.68
39,113.12,114.61,112.01,"2,838,909",02/28/2019,114.13
40,114.15,115.45,113.29,"1,531,909",02/27/2019,114.1
41,115.04,117.7,114.75,"1,483,082",02/26/2019,117.7
42,117.11,118.82,117.01,"1,669,276",02/25/2019,118.67
43,118.49,118.98,116.17,"1,122,490",02/22/2019,116.73
44,116.37,118.01,116.045,"2,518,626",02/21/2019,118.01
45,118.49,118.71,116.0,"2,554,577",02/20/2019,116.31
46,116.41,116.85,114.26,"1,516,422",02/19/2019,115.0
47,115.03,115.11,112.97,"1,288,989",02/15/2019,114.43
48,113.81,114.76,111.91,"1,740,876",02/14/2019,112.19
49,112.19,112.49,110.26,"1,225,922",02/13/2019,110.71
50,111.61,113.55,111.49,"1,262,745",02/12/2019,113.54
51,113.23,114.46,112.04,"1,800,169",02/11/2019,112.04
52,112.32,112.46,109.33,"1,760,227",02/08/2019,110.13
53,110.05,110.97,107.835,"2,473,680",02/07/2019,108.85
54,107.9,109.96,106.8898,"3,407,492",02/06/2019,109.75
55,110.83,111.15,109.22,"1,634,640",02/05/2019,109.28
56,109.28,109.32,107.26,"1,139,701",02/04/2019,108.41
57,108.56,108.65,106.39,"1,279,546",02/01/2019,108.55
58,108.34,109.43,106.39,"1,495,779",01/31/2019,107.24
59,107.43,108.3,106.38,"1,316,187",01/30/2019,106.38
60,106.65,106.99,105.33,"1,441,722",01/29/2019,105.68
61,105.7,106.1,103.03,"1,440,753",01/28/2019,103.88
62,104.17,104.43,102.815,"1,876,563",01/25/2019,104.15
63,104.09,104.2999,103.25,"1,346,384",01/24/2019,104.03
64,104.03,105.54,102.5977,"1,468,423",01/23/2019,105.19
65,105.1,107.26,104.22,"1,942,445",01/22/2019,106.89
66,107.25,107.3,105.2227,"1,180,616",01/18/2019,106.9
