,Date,Open,High,Low,Close,Volume
4,10/12/2018,82.89,82.89,80.97,82.18,"1,997,904"
5,10/11/2018,82.5,83.38,81.13,81.34,"2,474,004"
6,10/10/2018,85.49,85.49,82.67,82.76,"2,214,143"
7,10/09/2018,87.14,87.14,85.62,85.66,"1,475,263"
8,10/08/2018,86.99,87.47,86.4362,87.38,"869,014"
9,10/05/2018,88.2,88.67,86.79,87.43,"1,291,079"
10,10/04/2018,88.07,88.33,87.45,88.16,"1,083,632"
11,10/03/2018,88.4,88.8,87.89,88.1,"1,193,965"
12,10/02/2018,88.08,88.59,87.96,88.15,"1,240,461"
13,10/01/2018,89.39,89.61,87.57,88.15,"1,813,835"
14,09/28/2018,89.03,89.66,88.35,88.53,"1,517,537"
15,09/27/2018,89.21,89.48,88.9,88.98,"2,057,932"
16,09/26/2018,89.08,89.98,88.78,88.84,"1,788,650"
17,09/25/2018,88.73,89.45,88.51,88.81,"1,753,099"
18,09/24/2018,89.21,89.24,88.195,88.51,"1,268,320"
19,09/21/2018,89.6,90.26,89.165,89.3,"2,867,087"
20,09/20/2018,89.08,89.96,88.96,89.36,"1,575,593"
21,09/19/2018,88.83,89.62,88.31,88.41,"1,455,881"
22,09/18/2018,88.85,89.63,88.19,88.79,"1,600,387"
23,09/17/2018,88.69,88.83,88.23,88.53,"920,588"
24,09/14/2018,87.97,88.67,87.59,88.48,"1,309,569"
25,09/13/2018,88.21,88.71,87.58,88.0,"2,013,881"
26,09/12/2018,87.5,88.18,86.82,87.76,"2,029,005"
27,09/11/2018,86.22,88.6,86.22,87.25,"2,259,011"
28,09/10/2018,85.5,86.28,85.42,85.53,"1,290,626"
29,09/07/2018,84.99,85.965,84.26,84.74,"1,763,511"
30,09/06/2018,86.9,87.33,86.01,86.34,"1,719,499"
31,09/05/2018,85.96,87.1,85.87,86.9,"1,132,242"
32,09/04/2018,85.6,86.31,85.31,86.08,"1,660,829"
33,08/31/2018,85.67,86.235,85.15,85.87,"1,394,060"
34,08/30/2018,85.64,86.41,85.12,85.52,"1,894,270"
35,08/29/2018,85.4,87.17,85.17,86.77,"1,527,603"
36,08/28/2018,85.41,85.71,84.91,85.19,"1,130,031"
37,08/27/2018,84.6,85.52,84.49,85.09,"965,559"
38,08/24/2018,84.13,84.48,83.96,84.26,"635,999"
39,08/23/2018,83.8,84.29,83.425,84.0,"976,761"
40,08/22/2018,84.42,84.5,83.6425,83.92,"1,922,378"
41,08/21/2018,84.38,84.95,84.11,84.67,"1,869,867"
42,08/20/2018,84.21,85.31,84.21,84.39,"1,802,158"
43,08/17/2018,82.98,84.26,82.59,83.95,"1,286,356"
44,08/16/2018,82.5,83.6,82.49,82.94,"1,402,303"
45,08/15/2018,80.65,82.51,80.65,82.35,"1,537,265"
46,08/14/2018,81.73,82.39,81.67,81.78,"932,576"
47,08/13/2018,81.73,82.275,80.91,81.5,"1,093,648"
48,08/10/2018,82.17,82.32,81.19,81.55,"837,646"
49,08/09/2018,82.9,83.39,82.38,82.42,"1,203,760"
50,08/08/2018,83.03,83.52,82.67,83.08,"1,019,941"
51,08/07/2018,83.0,83.77,82.37,83.09,"1,259,609"
52,08/06/2018,82.42,82.89,82.11,82.66,"928,070"
53,08/03/2018,82.12,82.39,81.49,82.24,"862,858"
54,08/02/2018,80.6,82.09,80.3,81.78,"1,230,407"
55,08/01/2018,82.68,82.98,81.12,81.42,"1,112,710"
56,07/31/2018,81.63,83.17,81.42,82.98,"2,858,881"
57,07/30/2018,81.1,82.11,80.88,81.01,"1,725,566"
58,07/27/2018,81.35,81.69,80.235,80.86,"1,760,343"
59,07/26/2018,81.12,82.39,81.12,81.25,"2,332,759"
60,07/25/2018,79.02,81.02,78.84,80.86,"1,798,863"
61,07/24/2018,79.11,79.78,78.74,79.2,"2,222,211"
62,07/23/2018,79.61,79.98,77.81,78.7,"3,211,523"
63,07/20/2018,77.74,81.485,77.5921,80.24,"4,172,083"
64,07/19/2018,77.69,78.6,75.54,78.12,"4,095,625"
65,07/18/2018,74.67,74.8,73.73,74.19,"2,426,667"
66,07/17/2018,74.0,74.67,73.61,74.53,"1,085,778"
67,07/16/2018,74.91,75.18,73.91,74.1,"1,459,352"
68,07/13/2018,73.73,75.06,73.73,74.91,"998,822"
69,07/12/2018,73.73,74.27,73.47,73.89,"1,139,452"
