,Date,Open,High,Low,Close,Volume
4,119.68,120.19,118.62,"895,285",06/14/2019,118.76
5,118.9,119.5,118.01,"1,265,852",06/13/2019,118.11
6,117.81,120.02,117.13,"1,143,635",06/12/2019,119.84
7,119.03,120.77,118.72,"1,094,865",06/11/2019,119.57
8,118.98,122.75,118.46,"886,443",06/10/2019,121.61
9,121.32,122.64,121.01,"1,146,016",06/07/2019,121.34
10,120.68,121.37,117.75,"1,114,622",06/06/2019,118
11,118.01,118.56,117.18,"1,210,497",06/05/2019,118.29
12,118.02,119.57,116.85,"1,634,001",06/04/2019,117.05
13,116.45,116.65,115.39,"1,401,977",06/03/2019,116.01
14,116.32,117.45,115.91,"1,359,660",05/31/2019,116.69
15,117.65,118.16,115.65,"949,577",05/30/2019,115.78
16,115.93,117.4875,114.7,"1,746,054",05/29/2019,117.4
17,118.13,120.99,118.0803,"2,376,509",05/28/2019,120.73
18,120.13,121.04,119.22,"1,232,646",05/24/2019,120.68
19,120.76,123.1,119.64,"1,739,022",05/23/2019,122.9
20,123.03,125.13,122.27,"1,781,518",05/22/2019,124.43
21,124.78,125.33,123.1,"1,696,901",05/21/2019,123.21
22,122.91,123.266,119.6327,"2,044,146",05/20/2019,120.16
23,119.86,120.56,118.02,"1,863,474",05/17/2019,118.02
24,118.95,122.12,118.675,"1,404,962",05/16/2019,121.31
25,120.96,121.81,120.61,"999,246",05/15/2019,120.88
26,121.03,122.02,120.08,"1,057,893",05/14/2019,120.17
27,120.18,120.73,119.395,"1,015,937",05/13/2019,120.06
28,121.75,122.02,119.51,"984,335",05/10/2019,120.14
29,120.35,120.36,118.21,"974,798",05/09/2019,118.6
30,118.87,119.68,118.28,"886,866",05/08/2019,119.25
31,119.46,119.7,118.06,"1,691,684",05/07/2019,118.06
32,118.68,118.89,116.02,"997,628",05/06/2019,116.44
33,117.68,118.44,117.05,"945,526",05/03/2019,118.14
34,117.81,118.31,116.07,"1,764,922",05/02/2019,116.26
35,115.53,117.6359,115.46,"1,024,707",05/01/2019,117.37
36,117.6,119.94,116.03,"1,617,766",04/30/2019,119.94
37,120.33,121.88,119.75,"1,137,338",04/29/2019,121.74
38,121.62,121.88,119.48,"1,565,913",04/26/2019,120.15
39,119.15,119.6,117.62,"1,793,692",04/25/2019,117.84
40,117.93,118.48,116.74,"788,600",04/24/2019,116.96
41,117,118.31,116.19,"1,351,845",04/23/2019,116.83
42,116.82,117.29,116.25,"1,446,082",04/22/2019,116.37
43,116.87,117.11,114.65,"1,632,796",04/18/2019,114.88
44,114.42,115.87,113.82,"1,657,701",04/17/2019,115.66
45,115.74,116.74,114.76,"879,348",04/16/2019,116.3
46,115.85,116.5,115.56,"814,091",04/15/2019,116.44
47,116.5,117.34,116.22,"1,038,990",04/12/2019,116.5
48,116.35,117.5,115.81,"1,130,181",04/11/2019,116.99
49,117.01,117.66,116.07,"786,936",04/10/2019,117.12
50,117.03,118.25,116.91,"779,745",04/09/2019,118.06
51,119.33,119.53,118.535,"1,185,687",04/08/2019,119
52,118.98,119.39,118.42,"1,564,805",04/05/2019,118.86
53,118.51,118.73,117,"1,063,827",04/04/2019,118.58
54,118.45,119.98,118,"1,297,869",04/03/2019,119.98
55,119.18,120.16,118.32,"1,374,412",04/02/2019,120.16
56,120.48,122.36,119.955,"937,934",04/01/2019,122.13
57,121.47,122.37,120.78,"1,267,437",03/29/2019,121.69
58,121.13,121.3,119.32,"1,315,507",03/28/2019,119.53
59,119.02,119.5057,118.37,"1,520,194",03/27/2019,119
60,119.1,119.97,118.285,"1,279,487",03/26/2019,118.39
61,118.71,119.12,117.385,"1,665,351",03/25/2019,117.66
62,117.44,118.2,115.81,"1,957,713",03/22/2019,116.22
63,116.11,116.56,112.5,"3,789,705",03/21/2019,113.49
64,108.65,110.96,108.32,"1,905,706",03/20/2019,110.29
65,110.37,111.38,109.85,"1,276,182",03/19/2019,111.38
66,111.09,112.14,110.18,"1,205,322",03/18/2019,111.14
67,110.66,111.39,109.67,"1,903,107",03/15/2019,110.04
68,110.04,110.77,109.5,"1,132,481",03/14/2019,110.09
