,Date,Open,High,Low,Close,Volume
4,56.99,57.25,56.55,"1,570,208",05/03/2019,56.61
5,56.51,56.61,55.21,"1,131,870",05/02/2019,55.6
6,55.6,56.18,55.24,"964,373",05/01/2019,55.24
7,55.24,56.5,54.47,"897,571",04/30/2019,56.22
8,56.15,57.01,55.36,"1,437,633",04/29/2019,55.74
9,55.61,55.71,53.63,"1,257,924",04/26/2019,54.15
10,53.89,54.52,53.44,"1,909,304",04/25/2019,53.79
11,54.03,54.54,53.05,"1,593,873",04/24/2019,53.21
12,53.03,53.39,51.21,"1,484,950",04/23/2019,51.21
13,51.1,52.61,51.03,"1,507,631",04/22/2019,52.24
14,52.23,52.64,51.06,"1,975,427",04/18/2019,51.08
15,51.05,55.43,50.87,"3,318,156",04/17/2019,55.43
16,55.32,56.55,55.09,"2,574,941",04/16/2019,55.6
17,55.17,55.27,53.99,"652,322",04/15/2019,54.79
18,54.54,55.5012,54.39,"898,171",04/12/2019,54.99
19,54.63,56.06,54.43,"1,046,939",04/11/2019,55.98
20,55.9,56.01,54.87,"1,253,445",04/10/2019,54.97
21,55.11,55.25,54.27,"984,157",04/09/2019,55.0
22,55.24,55.88,55.05,"567,194",04/08/2019,55.82
23,55.95,56.12,55.13,"1,790,149",04/05/2019,55.14
24,55.11,55.75,54.97,"736,620",04/04/2019,55.27
25,55.27,55.5,54.84,"1,498,243",04/03/2019,54.9
26,54.6,54.98,54.24,"1,363,693",04/02/2019,54.77
27,54.92,55.0199,54.47,"744,473",04/01/2019,54.64
28,54.29,54.36,53.63,"692,245",03/29/2019,53.93
29,53.52,53.84,53.09,"921,254",03/28/2019,53.65
30,53.48,53.8,52.545,"1,551,411",03/27/2019,53.03
31,53.09,53.87,52.66,"1,143,913",03/26/2019,53.39
32,53.24,54.0,52.59,"1,021,731",03/25/2019,53.97
33,54.05,55.0,54.013,"1,275,208",03/22/2019,54.74
34,55.0,55.67,53.775,"2,284,165",03/21/2019,53.85
35,53.71,54.56,52.825,"1,817,351",03/20/2019,53.96
36,53.91,54.37,52.23,"2,249,963",03/19/2019,52.51
37,52.07,53.4,51.88,"4,191,424",03/18/2019,53.35
38,53.53,54.04,53.14,"2,110,871",03/15/2019,53.6
39,53.58,54.06,53.285,"1,887,478",03/14/2019,53.61
40,53.6,54.05,51.62,"2,984,596",03/13/2019,51.62
41,51.33,51.44,50.67,"1,461,875",03/12/2019,50.67
42,50.47,50.51,49.63,"1,336,316",03/11/2019,49.96
43,49.95,50.49,49.48,"2,330,534",03/08/2019,50.16
44,50.54,51.2415,50.17,"2,726,595",03/07/2019,51.14
45,51.04,53.395,50.945,"3,483,465",03/06/2019,53.23
46,53.1,55.6,53.05,"3,651,567",03/05/2019,55.6
47,55.44,56.71,54.66,"2,244,548",03/04/2019,55.78
48,57.05,58.175,56.96,"1,479,832",03/01/2019,57.26
49,56.9,57.22,56.47,"1,476,044",02/28/2019,56.97
50,56.92,57.88,56.78,"1,364,393",02/27/2019,57.8
51,57.99,58.24,57.57,"973,888",02/26/2019,58.14
52,58.24,59.36,58.11,"1,011,271",02/25/2019,58.74
53,58.7,59.49,57.875,"1,214,469",02/22/2019,59.14
54,59.21,59.97,58.78,"1,182,796",02/21/2019,59.14
55,59.06,59.455,58.9,"1,001,086",02/20/2019,59.4
56,59.14,59.68,58.11,"1,722,104",02/19/2019,59.04
57,59.1,59.56,58.02,"2,415,083",02/15/2019,58.45
58,58.09,58.15,54.81,"3,564,576",02/14/2019,57.49
59,57.92,58.17,57.0,"1,758,966",02/13/2019,57.5
60,57.36,57.37,56.165,"2,430,817",02/12/2019,56.56
61,55.99,56.48,55.83,"1,464,013",02/11/2019,56.17
62,56.13,56.75,55.152,"1,224,865",02/08/2019,56.75
63,57.03,57.41,55.94,"1,774,629",02/07/2019,56.09
64,56.15,57.11,55.875,"1,151,136",02/06/2019,56.73
65,56.85,57.9,56.73,"1,593,752",02/05/2019,56.85
66,56.6,56.86,56.0823,"1,120,420",02/04/2019,56.3
