,Date,Open,High,Low,Close,Volume
4,11/02/2018,32.99,33.49,32.19,32.28,"6,294,376"
5,11/01/2018,32.53,33.715,32.37,32.86,"9,448,569"
6,10/31/2018,32.77,33.26,32.35,32.4,"7,692,313"
7,10/30/2018,30.76,32.39,30.66,32.32,"7,372,011"
8,10/29/2018,32.59,32.66,30.36,30.98,"6,862,468"
9,10/26/2018,32.18,32.91,31.685,32.38,"7,365,850"
10,10/25/2018,32.58,33.29,32.31,32.85,"6,423,099"
11,10/24/2018,34.22,34.28,32.07,32.13,"7,418,554"
12,10/23/2018,33.99,34.175,33.26,33.73,"7,186,002"
13,10/22/2018,34.86,35.09,34.34,34.87,"4,680,522"
14,10/19/2018,35.24,35.74,34.89,34.94,"4,493,931"
15,10/18/2018,35.33,35.76,34.67,35.1,"7,778,642"
16,10/17/2018,36.76,36.98,35.6,36.0,"8,327,873"
17,10/16/2018,36.96,37.73,36.67,37.08,"7,495,443"
18,10/15/2018,36.91,37.15,36.045,36.11,"6,318,836"
19,10/12/2018,36.85,36.98,35.82,36.63,"7,621,101"
20,10/11/2018,36.97,37.4,35.87,36.04,"9,614,962"
21,10/10/2018,39.4,39.5,37.25,37.3,"8,273,698"
22,10/09/2018,38.81,40.02,38.47,39.51,"7,421,148"
23,10/08/2018,39.7,39.86,38.6563,38.78,"8,174,847"
24,10/05/2018,40.19,40.74,39.64,40.04,"5,085,523"
25,10/04/2018,40.39,40.875,39.84,40.14,"4,255,434"
26,10/03/2018,39.88,40.78,39.47,40.65,"6,084,065"
27,10/02/2018,40.55,40.55,39.72,39.86,"6,587,900"
28,10/01/2018,40.02,40.47,39.72,40.2,"5,902,476"
29,09/28/2018,39.37,40.26,39.31,39.94,"7,131,722"
30,09/27/2018,40.18,40.18,39.33,39.38,"5,682,246"
31,09/26/2018,40.9,41.02,39.62,39.68,"8,151,872"
32,09/25/2018,41.87,41.94,41.36,41.41,"5,722,757"
33,09/24/2018,41.19,41.8,41.08,41.55,"6,365,479"
34,09/21/2018,40.11,40.9199,40.02,40.55,"9,806,878"
35,09/20/2018,40.22,40.33,39.88,40.11,"5,157,835"
36,09/19/2018,39.35,40.09,39.15,39.87,"5,806,134"
37,09/18/2018,39.25,39.65,39.03,39.33,"6,920,352"
38,09/17/2018,39.88,40.19,38.69,38.81,"10,601,550"
39,09/14/2018,40.86,41.08,39.57,39.67,"11,374,620"
40,09/13/2018,41.58,41.835,40.68,40.88,"7,539,333"
41,09/12/2018,42.05,42.27,41.51,41.95,"8,552,281"
42,09/11/2018,40.31,41.6,40.27,41.49,"7,605,928"
43,09/10/2018,40.79,41.07,40.155,40.51,"5,679,907"
44,09/07/2018,40.22,40.56,39.65,40.47,"7,669,190"
45,09/06/2018,41.46,41.46,40.5,40.63,"9,189,471"
46,09/05/2018,42.06,42.0667,41.215,41.71,"7,087,662"
47,09/04/2018,43.06,43.27,42.12,42.35,"4,972,832"
48,08/31/2018,42.88,43.03,42.42,42.93,"3,774,614"
49,08/30/2018,43.08,43.6,42.855,43.13,"4,176,111"
50,08/29/2018,42.9,43.37,42.69,42.96,"4,551,077"
51,08/28/2018,42.7,43.26,42.235,42.51,"4,761,779"
52,08/27/2018,42.66,42.99,42.43,42.88,"3,872,012"
53,08/24/2018,43.0,43.31,42.52,42.66,"3,543,773"
54,08/23/2018,42.45,42.625,42.18,42.52,"4,245,040"
55,08/22/2018,42.37,43.0,42.31,42.71,"5,292,769"
56,08/21/2018,41.5,42.19,41.46,41.85,"4,872,233"
57,08/20/2018,40.53,41.33,40.39,41.04,"4,127,782"
58,08/17/2018,40.9,41.03,40.415,40.6,"4,513,033"
59,08/16/2018,40.62,41.15,40.22,40.68,"5,371,367"
60,08/15/2018,42.07,42.07,40.07,40.48,"8,209,344"
61,08/14/2018,42.65,42.76,42.22,42.41,"4,485,600"
62,08/13/2018,42.52,43.03,42.025,42.07,"5,495,124"
63,08/10/2018,41.89,42.905,41.63,42.84,"5,552,522"
64,08/09/2018,42.83,42.96,42.04,42.07,"5,647,047"
65,08/08/2018,43.12,43.2779,41.96,42.67,"7,014,059"
66,08/07/2018,44.24,44.34,43.375,43.45,"5,731,650"
67,08/06/2018,43.76,44.325,43.44,43.65,"6,769,572"
68,08/03/2018,43.9,44.06,42.765,43.05,"6,217,812"
69,08/02/2018,43.1,44.36,43.05,43.94,"6,355,907"
