,Date,Open,High,Low,Close,Volume
4,10/31/2018,53.48,54.595,53.18,53.92,"15,929,710"
5,10/30/2018,52.05,53.12,51.55,52.63,"15,196,960"
6,10/29/2018,52.83,53.34,51.43,52.07,"12,823,470"
7,10/26/2018,52.39,52.895,51.32,52.0,"22,387,370"
8,10/25/2018,53.39,53.63,52.5168,52.92,"12,825,550"
9,10/24/2018,54.55,54.72,52.575,52.68,"19,462,900"
10,10/23/2018,55.02,55.24,53.69,54.68,"18,102,050"
11,10/22/2018,57.78,57.94,55.77,56.07,"12,931,970"
12,10/19/2018,57.29,58.66,57.19,57.49,"13,993,130"
13,10/18/2018,59.2,59.62,58.27,58.58,"8,739,724"
14,10/17/2018,59.91,60.04,59.0,59.57,"7,561,375"
15,10/16/2018,59.27,60.59,58.93,60.26,"8,516,669"
16,10/15/2018,59.69,60.1,58.92,58.94,"6,108,097"
17,10/12/2018,60.36,61.1,59.05,59.66,"10,152,340"
18,10/11/2018,59.102,60.24,58.81,58.98,"14,948,270"
19,10/10/2018,60.53,60.79,59.01,59.32,"17,811,950"
20,10/09/2018,62.78,62.84,60.6116,60.84,"15,093,340"
21,10/08/2018,63.0,63.48,62.665,63.16,"9,387,510"
22,10/05/2018,63.78,64.21,62.89,63.19,"7,675,319"
23,10/04/2018,64.27,64.3054,63.31,64.01,"8,871,924"
24,10/03/2018,65.05,65.21,64.1,64.39,"10,855,720"
25,10/02/2018,64.9,65.45,64.7,64.82,"6,925,148"
26,10/01/2018,64.77,65.76,64.725,64.82,"11,651,280"
27,09/28/2018,65.04,65.1,64.11,64.31,"12,484,500"
28,09/27/2018,67.0,67.05,65.23,65.33,"14,231,440"
29,09/26/2018,67.28,67.7,66.56,66.89,"12,545,120"
30,09/25/2018,68.22,68.69,67.89,67.95,"5,851,912"
31,09/24/2018,69.43,69.6237,68.04,68.2,"6,701,564"
32,09/21/2018,70.48,70.66,69.39,69.69,"13,244,370"
33,09/20/2018,69.39,70.36,69.39,70.03,"8,444,853"
34,09/19/2018,68.04,69.185,67.57,68.73,"10,406,870"
35,09/18/2018,69.28,69.67,67.99,68.03,"8,335,628"
36,09/17/2018,68.58,69.73,68.41,68.82,"6,821,368"
37,09/14/2018,69.25,69.55,68.42,68.58,"7,368,040"
38,09/13/2018,69.66,70.25,68.82,68.92,"7,064,897"
39,09/12/2018,69.99,70.08,69.1,69.24,"7,808,830"
40,09/11/2018,69.51,70.55,69.18,70.08,"7,650,192"
41,09/10/2018,70.33,70.555,69.97,70.06,"8,479,435"
42,09/07/2018,69.55,70.14,69.02,70.0,"7,563,060"
43,09/06/2018,70.05,70.8,69.73,70.08,"6,047,496"
44,09/05/2018,69.63,70.56,69.36,70.05,"7,314,398"
45,09/04/2018,69.75,70.25,69.24,69.72,"10,032,280"
46,08/31/2018,69.93,70.53,69.83,70.13,"8,124,241"
47,08/30/2018,70.72,70.89,69.8,70.2,"8,631,133"
48,08/29/2018,70.81,71.93,70.28,71.44,"8,689,910"
49,08/28/2018,71.125,71.5801,70.3601,70.74,"5,941,659"
50,08/27/2018,69.67,71.28,69.54,70.81,"10,421,160"
51,08/24/2018,68.48,69.675,68.4,69.21,"6,207,128"
52,08/23/2018,68.55,68.7,67.84,68.11,"5,522,646"
53,08/22/2018,68.84,69.04,68.18,68.76,"4,541,142"
54,08/21/2018,68.48,69.44,68.33,68.83,"8,250,067"
55,08/20/2018,68.0,68.815,67.92,68.48,"7,295,304"
56,08/17/2018,67.16,68.05,66.9,67.79,"6,483,127"
57,08/16/2018,66.99,67.58,66.57,67.08,"7,201,517"
58,08/15/2018,66.81,66.87,65.7,66.46,"8,184,601"
59,08/14/2018,66.83,68.08,66.83,67.56,"7,017,615"
60,08/13/2018,67.68,67.845,66.054,66.59,"6,515,472"
61,08/10/2018,68.707,68.71,67.62,67.74,"7,067,292"
62,08/09/2018,68.33,69.5,68.14,69.02,"7,819,559"
63,08/08/2018,68.19,68.39,67.53,67.66,"6,383,512"
64,08/07/2018,67.93,68.65,67.85,68.14,"8,062,727"
65,08/06/2018,66.35,68.14,66.29,67.76,"5,713,568"
66,08/03/2018,66.8,67.63,66.19,66.82,"7,557,948"
67,08/02/2018,66.02,66.7,65.13,66.44,"11,168,750"
68,08/01/2018,68.48,68.955,67.7249,67.96,"6,115,959"
69,07/31/2018,68.37,69.1,68.27,68.77,"7,413,855"
