,Date,Open,High,Low,Close,Volume
4,125.7,126.06,124.79,"562,038",04/18/2019,125.39
5,125.46,126.89,125.35,"604,523",04/17/2019,126.89
6,126.27,126.66,125.72,"437,132",04/16/2019,126.64
7,126.17,126.21,125.06,"508,707",04/15/2019,125.39
8,125.06,126.15,124.54,"540,464",04/12/2019,125.0
9,124.48,124.565,122.865,"562,234",04/11/2019,123.42
10,123.12,123.13,121.92,"602,132",04/10/2019,122.88
11,122.52,123.15,122.32,"478,516",04/09/2019,122.78
12,123.27,124.02,122.6,"734,561",04/08/2019,123.45
13,123.78,124.83,123.34,"1,588,163",04/05/2019,123.39
14,123.11,123.12,121.8501,"1,216,815",04/04/2019,122.65
15,122.34,122.4,120.36,"776,358",04/03/2019,120.71
16,120.23,120.32,118.45,"486,161",04/02/2019,119.69
17,119.52,119.83,118.86,"640,179",04/01/2019,119.1
18,118.5,118.95,117.39,"1,657,659",03/29/2019,117.55
19,116.78,117.045,114.44,"1,066,600",03/28/2019,114.53
20,114.92,115.21,113.125,"811,387",03/27/2019,113.33
21,113.36,113.58,112.48,"561,187",03/26/2019,113.04
22,112.37,113.01,111.51,"506,327",03/25/2019,113.01
23,112.88,114.78,112.8025,"599,380",03/22/2019,114.74
24,115.0,115.11,112.04,"896,214",03/21/2019,112.04
25,112.45,113.48,111.42,"475,179",03/20/2019,113.16
26,113.43,113.76,112.79,"845,814",03/19/2019,112.82
27,112.71,112.87,111.2,"982,177",03/18/2019,111.26
28,111.02,111.05,109.76,"884,799",03/15/2019,110.15
29,110.32,111.65,110.01,"668,214",03/14/2019,111.47
30,111.57,112.45,111.15,"592,646",03/13/2019,111.25
31,111.09,111.49,110.34,"694,354",03/12/2019,110.5
32,110.04,110.4,108.3,"621,346",03/11/2019,108.3
33,108.53,108.67,107.58,"604,162",03/08/2019,108.06
34,108.71,109.52,107.82,"678,314",03/07/2019,109.27
35,109.38,110.05,109.29,"630,209",03/06/2019,109.93
36,109.91,110.33,109.51,"467,291",03/05/2019,110.33
37,110.22,111.25,109.3,"644,366",03/04/2019,110.9
38,110.46,110.61,109.0,"900,838",03/01/2019,109.99
39,109.51,109.85,108.26,"740,855",02/28/2019,108.84
40,108.74,111.28,108.7,"1,039,871",02/27/2019,110.78
41,110.95,111.0,109.41,"1,115,072",02/26/2019,110.36
42,110.39,111.95,110.34,"976,440",02/25/2019,111.33
43,110.76,110.975,108.52,"1,468,570",02/22/2019,110.41
44,110.49,113.11,105.58,"2,659,370",02/21/2019,107.05
45,108.13,110.36,107.85,"3,130,939",02/20/2019,109.56
46,109.32,109.7,108.55,"1,931,999",02/19/2019,108.88
47,109.31,110.52,109.15,"988,527",02/15/2019,109.66
48,108.93,109.67,107.41,"4,365,579",02/14/2019,107.5
49,108.5,108.8,107.81,"1,121,039",02/13/2019,108.69
50,108.42,108.5,106.91,"1,290,397",02/12/2019,107.57
51,107.25,107.73,106.65,"1,371,659",02/11/2019,107.0
52,106.88,106.94,105.71,"1,184,895",02/08/2019,105.99
53,106.6,107.09,105.69,"690,199",02/07/2019,106.27
54,107.07,107.62,106.425,"1,050,018",02/06/2019,107.29
55,107.78,107.8159,106.02,"705,976",02/05/2019,106.7
56,107.77,108.15,106.75,"1,229,059",02/04/2019,107.86
57,107.94,108.52,106.6,"1,348,323",02/01/2019,107.09
58,107.02,107.36,105.21,"768,671",01/31/2019,105.93
59,105.9,106.6,104.47,"951,715",01/30/2019,105.33
60,104.91,105.815,104.345,"536,589",01/29/2019,105.32
61,105.21,105.9,104.21,"1,407,724",01/28/2019,104.77
62,105.63,105.64,104.5881,"672,710",01/25/2019,104.85
63,103.82,104.42,103.28,"899,136",01/24/2019,104.0
64,104.02,104.295,102.96,"987,007",01/23/2019,103.52
65,103.62,104.06,102.6,"1,662,594",01/22/2019,103.87
66,104.24,104.28,101.49,"1,701,078",01/18/2019,101.5
