,Date,Open,High,Low,Close,Volume
4,10/30/2018,126.65,131.69,126.3,131.22,"3,518,153"
5,10/29/2018,126.25,128.76,125.095,126.46,"2,714,340"
6,10/26/2018,124.93,126.44,122.94,125.62,"1,621,164"
7,10/25/2018,124.88,127.48,124.16,126.41,"1,579,508"
8,10/24/2018,125.68,127.88,124.11,124.27,"1,903,726"
9,10/23/2018,124.46,126.29,121.93,125.3,"2,665,006"
10,10/22/2018,125.9,127.08,125.3,126.19,"1,819,278"
11,10/19/2018,128.2,129.86,125.45,125.45,"1,935,503"
12,10/18/2018,128.83,128.97,125.66,126.77,"2,339,959"
13,10/17/2018,128.58,129.46,127.66,128.82,"1,947,730"
14,10/16/2018,127.34,129.08,127.1601,128.48,"2,222,757"
15,10/15/2018,126.76,127.23,125.39,125.86,"2,012,316"
16,10/12/2018,129.28,130.25,124.68,126.32,"3,714,532"
17,10/11/2018,129.62,130.5299,127.65,128.08,"3,584,201"
18,10/10/2018,136.26,136.77,129.89,129.9,"5,086,199"
19,10/09/2018,139.62,141.09,139.44,140.33,"1,253,062"
20,10/08/2018,137.91,140.29,137.33,139.98,"1,503,900"
21,10/05/2018,136.5,139.21,136.5,138.31,"2,390,971"
22,10/04/2018,140.82,141.93,135.95,137.14,"3,659,070"
23,10/03/2018,145.01,146.0,143.21,143.29,"1,252,506"
24,10/02/2018,145.4,146.23,144.11,144.31,"1,670,259"
25,10/01/2018,145.78,147.2299,145.25,145.78,"1,772,556"
26,09/28/2018,143.73,145.66,143.73,145.32,"1,631,690"
27,09/27/2018,142.1,144.37,142.04,144.12,"1,281,716"
28,09/26/2018,142.27,142.97,140.53,141.73,"1,194,388"
29,09/25/2018,144.51,144.99,141.97,142.08,"1,640,001"
30,09/24/2018,142.82,144.46,142.46,143.6,"1,369,944"
31,09/21/2018,143.87,145.55,143.0,143.54,"2,542,403"
32,09/20/2018,141.43,142.83,140.37,142.59,"1,586,162"
33,09/19/2018,140.0,140.69,138.83,139.66,"1,200,814"
34,09/18/2018,140.4,141.4,139.35,140.3,"1,468,861"
35,09/17/2018,140.91,140.91,139.02,139.89,"1,351,398"
36,09/14/2018,140.59,141.8,139.935,140.93,"1,512,568"
37,09/13/2018,139.89,140.6556,139.08,140.13,"1,107,007"
38,09/12/2018,138.71,140.27,138.04,139.73,"1,715,621"
39,09/11/2018,137.85,138.375,136.475,138.17,"2,047,143"
40,09/10/2018,139.44,140.39,138.5,138.55,"1,392,856"
41,09/07/2018,137.92,139.19,136.531,138.77,"1,590,632"
42,09/06/2018,137.21,139.66,137.03,138.68,"1,662,800"
43,09/05/2018,137.38,138.59,136.18,137.75,"2,124,659"
44,09/04/2018,138.88,139.95,137.9,138.15,"2,388,925"
45,08/31/2018,139.34,140.61,138.8,140.12,"2,844,249"
46,08/30/2018,139.85,140.53,139.16,139.5,"1,808,795"
47,08/29/2018,140.51,142.12,140.117,140.37,"2,531,830"
48,08/28/2018,142.92,146.0,139.54,140.09,"3,226,620"
49,08/27/2018,136.22,139.3,136.0,138.25,"1,885,630"
50,08/24/2018,133.37,136.24,133.29,135.59,"1,983,925"
51,08/23/2018,134.22,134.37,132.1,133.13,"3,075,609"
52,08/22/2018,136.51,136.6,133.7735,135.07,"2,838,249"
53,08/21/2018,141.47,142.39,134.89,136.63,"5,280,665"
54,08/20/2018,141.11,144.98,139.18,140.56,"6,240,102"
55,08/17/2018,134.4,136.22,133.63,135.94,"4,381,354"
56,08/16/2018,134.33,138.98,132.8405,133.57,"2,964,532"
57,08/15/2018,132.39,133.63,131.35,133.53,"1,939,549"
58,08/14/2018,132.77,133.45,131.35,133.05,"1,935,351"
59,08/13/2018,133.38,133.56,131.23,132.33,"1,870,207"
60,08/10/2018,131.22,134.39,128.81,132.73,"1,948,176"
61,08/09/2018,132.55,133.13,130.47,132.17,"3,055,824"
62,08/08/2018,134.95,135.3,133.09,133.12,"1,547,607"
63,08/07/2018,135.83,136.69,134.92,135.35,"1,139,908"
64,08/06/2018,135.38,136.3,134.02,135.08,"1,309,602"
65,08/03/2018,136.75,137.77,133.87,134.99,"1,750,792"
66,08/02/2018,134.41,137.11,133.76,136.74,"1,641,657"
67,08/01/2018,134.33,134.93,133.29,134.43,"2,198,475"
68,07/31/2018,133.6,135.83,132.03,134.94,"2,714,299"
69,07/30/2018,136.8,136.99,133.84,134.06,"3,804,241"
