,Date,Open,High,Low,Close,Volume
4,11/02/2018,70.67,70.96,69.083,69.62,"4,584,626"
5,11/01/2018,68.39,70.26,68.24,69.95,"3,845,925"
6,10/31/2018,68.61,69.52,67.83,67.88,"3,605,154"
7,10/30/2018,66.27,67.92,66.165,67.81,"2,876,289"
8,10/29/2018,67.4,68.33,65.45,66.33,"3,446,568"
9,10/26/2018,66.23,67.34,65.56,66.25,"3,507,448"
10,10/25/2018,66.86,67.65,66.49,67.1,"3,652,567"
11,10/24/2018,68.93,69.18,65.82,66.01,"5,151,321"
12,10/23/2018,69.76,69.8,68.05,68.97,"5,538,390"
13,10/22/2018,72.65,72.71,71.47,71.72,"2,655,762"
14,10/19/2018,72.56,73.37,71.935,72.27,"2,951,989"
15,10/18/2018,73.65,74.26,71.93,72.44,"2,859,666"
16,10/17/2018,73.47,74.31,72.71,74.0,"3,635,316"
17,10/16/2018,72.17,73.66,71.95,73.57,"3,393,208"
18,10/15/2018,71.74,72.22,71.42,71.42,"2,559,050"
19,10/12/2018,72.74,72.82,71.2,71.92,"3,542,298"
20,10/11/2018,73.1,73.6,71.02,71.2,"4,341,850"
21,10/10/2018,75.94,75.99,73.29,73.35,"4,165,522"
22,10/09/2018,77.77,77.9,75.74,75.98,"3,638,530"
23,10/08/2018,77.48,78.09,76.93,77.9,"2,690,204"
24,10/05/2018,78.26,78.65,77.47,78.06,"4,116,004"
25,10/04/2018,78.57,79.7,77.66,78.16,"3,271,746"
26,10/03/2018,78.02,78.59,77.9,78.52,"2,584,968"
27,10/02/2018,77.45,78.3,77.13,77.86,"3,994,018"
28,10/01/2018,77.12,77.93,76.78,77.64,"3,207,417"
29,09/28/2018,76.83,77.33,76.4,76.58,"2,012,898"
30,09/27/2018,77.06,77.265,76.48,76.79,"1,517,546"
31,09/26/2018,77.26,77.42,76.42,76.65,"1,874,664"
32,09/25/2018,77.77,78.0299,77.05,77.21,"2,496,801"
33,09/24/2018,77.88,77.91,76.94,77.48,"1,953,862"
34,09/21/2018,78.57,78.75,77.72,78.01,"3,061,432"
35,09/20/2018,77.93,78.41,77.44,78.38,"2,596,363"
36,09/19/2018,78.12,78.34,77.19,77.41,"2,737,032"
37,09/18/2018,77.99,78.615,77.58,78.41,"2,313,838"
38,09/17/2018,77.51,77.99,77.39,77.77,"1,465,139"
39,09/14/2018,77.75,77.91,77.34,77.54,"1,743,677"
40,09/13/2018,77.37,78.0,77.12,77.75,"2,465,128"
41,09/12/2018,76.2,77.26,76.03,77.11,"2,113,055"
42,09/11/2018,76.09,76.64,75.8,76.22,"1,479,411"
43,09/10/2018,76.29,76.64,76.0,76.27,"2,256,753"
44,09/07/2018,75.99,76.2327,75.495,75.79,"2,038,706"
45,09/06/2018,77.2,77.24,75.91,76.21,"3,288,455"
46,09/05/2018,76.21,77.6,76.11,77.27,"4,055,269"
47,09/04/2018,76.7,76.7,75.71,76.4,"2,021,141"
48,08/31/2018,76.23,76.87,76.215,76.73,"1,957,796"
49,08/30/2018,76.63,76.89,76.08,76.36,"1,543,165"
50,08/29/2018,76.73,76.9,76.26,76.8,"1,576,549"
51,08/28/2018,76.82,77.0,76.24,76.53,"2,422,983"
52,08/27/2018,75.96,76.795,75.91,76.65,"2,093,011"
53,08/24/2018,75.85,76.0,75.42,75.67,"2,489,295"
54,08/23/2018,75.07,75.6499,75.0,75.57,"1,608,761"
55,08/22/2018,76.09,76.28,75.01,75.16,"2,501,420"
56,08/21/2018,75.93,76.78,75.62,76.6,"2,477,801"
57,08/20/2018,75.13,75.68,75.02,75.54,"2,697,323"
58,08/17/2018,74.05,75.07,73.58,74.86,"2,862,525"
59,08/16/2018,73.34,74.2732,73.09,73.96,"2,056,426"
60,08/15/2018,73.73,73.73,72.41,73.56,"2,851,425"
61,08/14/2018,73.8,74.825,73.65,74.24,"2,933,776"
62,08/13/2018,74.0,74.32,73.35,73.45,"2,888,607"
63,08/10/2018,73.84,74.47,73.505,73.86,"3,100,549"
64,08/09/2018,74.29,74.45,73.91,74.05,"2,071,041"
65,08/08/2018,74.57,75.25,74.01,74.04,"3,592,659"
66,08/07/2018,73.31,75.0,72.11,74.66,"4,945,408"
67,08/06/2018,71.31,71.785,71.16,71.62,"2,637,557"
68,08/03/2018,71.47,72.02,71.3365,71.48,"3,682,601"
69,08/02/2018,70.83,71.335,70.2101,71.28,"2,852,222"
