,Date,Open,High,Low,Close,Volume
4,76.2,76.58,75.86,"836,837",04/26/2019,76.37
5,75.97,76.19,74.95,"769,140",04/25/2019,75.1
6,75.47,75.84,74.76,"1,230,842",04/24/2019,75.24
7,74.96,75.13,74.19,"961,700",04/23/2019,74.47
8,74.17,74.83,73.29,"1,543,524",04/22/2019,74.7
9,75.07,75.18,73.91,"1,584,581",04/18/2019,74.26
10,74.29,75.847,74.04,"1,916,368",04/17/2019,75.71
11,75.73,77.59,75.34,"1,732,507",04/16/2019,77.59
12,77.6,77.64,76.95,"1,791,354",04/15/2019,77.54
13,77.45,77.46,75.92,"1,659,291",04/12/2019,76.5
14,76.69,76.92,76.23,"1,926,877",04/11/2019,76.49
15,76.35,76.39,75.42,"1,746,036",04/10/2019,75.75
16,75.39,75.8,75.13,"877,220",04/09/2019,75.69
17,75.56,75.83,75.07,"831,641",04/08/2019,75.5
18,75.61,75.75,75.03,"761,434",04/05/2019,75.25
19,75.28,75.57,74.79,"762,408",04/04/2019,75.57
20,75.39,75.75,74.89,"1,282,914",04/03/2019,75.45
21,75.69,75.88,74.23,"1,665,328",04/02/2019,75.09
22,74.98,75.315,73.74,"1,426,878",04/01/2019,75.03
23,75.32,75.69,75.04,"1,995,882",03/29/2019,75.49
24,75.63,75.66,74.81,"1,015,822",03/28/2019,75.3
25,74.98,75.55,74.45,"1,152,555",03/27/2019,75.55
26,75.14,75.18,74.56,"1,177,240",03/26/2019,74.74
27,74.47,74.85,74.15,"803,860",03/25/2019,74.57
28,74.4,75.71,74.4,"1,484,849",03/22/2019,74.51
29,74.79,74.92,73.32,"1,159,460",03/21/2019,73.37
30,73.62,74.14,72.78,"1,208,812",03/20/2019,73.46
31,73.5,74.15,73.25,"1,434,399",03/19/2019,73.91
32,73.98,75.13,73.54,"1,361,716",03/18/2019,74.85
33,74.76,75.25,74.45,"2,415,971",03/15/2019,75.06
34,75.06,75.06,74.54,"1,321,362",03/14/2019,74.84
35,74.91,75.65,74.88,"1,201,538",03/13/2019,75.13
36,75.05,75.17,74.36,"1,565,684",03/12/2019,74.5
37,74.44,74.54,73.46,"1,271,003",03/11/2019,73.89
38,73.64,73.98,73.12,"957,098",03/08/2019,73.45
39,73.43,74.2,73.17,"1,421,953",03/07/2019,73.66
40,73.55,74.18,73.53,"1,065,023",03/06/2019,74.01
41,73.93,74.46,73.83,"1,278,559",03/05/2019,73.92
42,73.98,74.12,73.21,"1,805,204",03/04/2019,73.72
43,73.5,73.68,72.64,"1,374,652",03/01/2019,73.65
44,73.69,74.68,73.06,"2,830,696",02/28/2019,73.24
45,73.33,73.64,72.87,"1,123,125",02/27/2019,73.27
46,73.72,73.9,73.23,"1,004,827",02/26/2019,73.73
47,73.5,74.46,73.4,"1,292,012",02/25/2019,74.37
48,74.23,74.43,73.56,"1,395,351",02/22/2019,74
49,73.86,73.9,72.06,"1,487,618",02/21/2019,72.28
50,72.68,73.45,71.87,"1,888,888",02/20/2019,73.42
51,73.53,73.58,73.04,"1,393,540",02/19/2019,73.07
52,73.21,73.74,72.97,"1,968,860",02/15/2019,73.72
53,73.12,73.47,72.83,"1,037,057",02/14/2019,73.36
54,73.29,73.37,72.13,"1,246,825",02/13/2019,72.28
55,72.54,73.4,72.36,"2,018,342",02/12/2019,73.4
56,73.46,73.85,73.19,"1,587,563",02/11/2019,73.48
57,73.44,73.84,73.16,"1,695,284",02/08/2019,73.29
58,73.54,73.625,72.46,"1,470,026",02/07/2019,72.86
59,73,73.01,72.44,"1,192,303",02/06/2019,72.82
60,72.95,73,71.83,"1,334,134",02/05/2019,72.33
61,72.79,72.81,71.41,"1,501,140",02/04/2019,71.62
62,72.02,72.94,70.78,"1,528,380",02/01/2019,72.79
63,72.56,72.67,71,"2,403,912",01/31/2019,71.4
64,72,72.68,71.61,"2,494,633",01/30/2019,72.09
65,72.37,72.38,71.43,"1,966,698",01/29/2019,71.43
66,71.72,71.73,70.38,"1,623,113",01/28/2019,70.38
