,Date,Open,High,Low,Close,Volume
4,278.29,278.5,274.28,"298,529",04/18/2019,274.79
5,274.63,279.33,273.56,"279,824",04/17/2019,279.33
6,278.5,288.75,277.98,"452,430",04/16/2019,288.07
7,288.7,291.31,288.2249,"275,346",04/15/2019,290.59
8,290.16,290.18,286.48,"245,142",04/12/2019,289.03
9,289.82,290.28,287.82,"151,912",04/11/2019,289.14
10,288.7,289.64,287.77,"330,134",04/10/2019,288.19
11,287.46,288.13,286.22,"234,965",04/09/2019,287.63
12,287.5,289.4,285.92,"281,814",04/08/2019,289.4
13,289.35,289.5,286.71,"285,046",04/05/2019,288.36
14,287.78,290.94,285.85,"270,947",04/04/2019,290.68
15,290.08,291.68,287.91,"322,101",04/03/2019,291.36
16,291.74,292.47,285.3,"379,082",04/02/2019,288.39
17,288.27,288.87,284.37,"263,691",04/01/2019,288.84
18,289.24,291.03,288.5,"349,017",03/29/2019,290.39
19,290.17,290.85,288.44,"213,394",03/28/2019,289.58
20,291.53,294.11,290.17,"251,146",03/27/2019,292.86
21,292.86,292.99,289.09,"164,639",03/26/2019,289.09
22,288.87,291.405,287.13,"299,640",03/25/2019,289.62
23,290.71,294.61,290.29,"302,658",03/22/2019,290.29
24,289.5,290.05,285.04,"251,223",03/21/2019,285.04
25,285.26,287.5,282.91,"257,757",03/20/2019,285.73
26,285.73,286.74,284.22,"254,345",03/19/2019,286.15
27,286.25,290.96,284.49,"291,276",03/18/2019,290.1
28,289.4,290.94,288.5,"466,860",03/15/2019,290.1
29,290.93,291.23,288.59,"243,407",03/14/2019,289.38
30,289.21,291.15,287.59,"352,640",03/13/2019,287.59
31,286.99,287.36,285.03,"209,894",03/12/2019,286.15
32,285.73,286.3,282.77,"240,057",03/11/2019,284.79
33,283.5,284.365,281.44,"320,136",03/08/2019,281.51
34,282.29,286.05,281.13,"293,448",03/07/2019,281.79
35,281.37,282.74,281.1,"292,857",03/06/2019,282.07
36,281.34,282.96,280.62,"194,346",03/05/2019,281.87
37,282.03,282.47,278.37,"222,037",03/04/2019,280.14
38,279.09,280.25,276.24,"248,908",03/01/2019,280.25
39,279.84,284.21,279.44,"465,283",02/28/2019,280.03
40,279.84,280.06,276.55,"169,804",02/27/2019,279.12
41,280.04,280.46,278.47,"180,287",02/26/2019,279.99
42,279.39,282.62,278.76,"212,094",02/25/2019,282.62
43,281.47,282.9325,279.345,"209,552",02/22/2019,280.79
44,280.01,280.4,274.55,"207,478",02/21/2019,275.78
45,276.79,280.03,274.82,"259,652",02/20/2019,280.03
46,280.24,280.64,278.17,"242,572",02/19/2019,278.78
47,278.82,279.69,277.18,"261,801",02/15/2019,279.27
48,277.85,279.45,275.9,"181,832",02/14/2019,278.41
49,278.03,278.635,274.705,"229,397",02/13/2019,275.63
50,276.58,278.45,274.42,"341,549",02/12/2019,278.45
51,278.66,280.11,277,"286,044",02/11/2019,278
52,278.07,278.32,275.94,"344,841",02/08/2019,275.99
53,277.46,277.88,272.76,"230,663",02/07/2019,272.76
54,275.51,277.25,274.34,"251,220",02/06/2019,277.25
55,276.92,277.37,272.06,"313,333",02/05/2019,274.68
56,274.69,274.79,268.16,"315,370",02/04/2019,269.33
57,270.09,271.7,265.54,"349,380",02/01/2019,271.31
58,271.2,272.74,265.37,"784,115",01/31/2019,269.95
59,271.01,276.55,267.88,"418,266",01/30/2019,267.88
60,268.91,269.06,265.9,"309,100",01/29/2019,266.83
61,266.48,267.17,261.54,"379,869",01/28/2019,261.9
62,262.82,264.54,261.525,"468,504",01/25/2019,261.86
63,261.6,262.73,259.325,"230,701",01/24/2019,261.53
64,261.8,262,259.79,"291,914",01/23/2019,261.08
65,261.27,261.7,258.76,"385,502",01/22/2019,260.22
66,259.93,260.06,257.49,"310,750",01/18/2019,259.55
