,Date,Open,High,Low,Close,Volume
4,83.77,84.02,83.07,"2,454,819",04/26/2019,83.96
5,83.8,84.765,83.64,"1,598,952",04/25/2019,84.48
6,85.34,85.87,85.21,"1,508,920",04/24/2019,85.44
7,85.59,86.0799,84.7301,"1,998,654",04/23/2019,84.8
8,84.94,85.07,84.45,"1,222,940",04/22/2019,84.68
9,85.21,85.485,84.75,"1,637,652",04/18/2019,84.93
10,84.43,85.2499,84.14,"1,499,330",04/17/2019,84.73
11,84.15,84.24,83.5566,"1,821,965",04/16/2019,84
12,83.61,84,83.27,"876,514",04/15/2019,83.88
13,83.88,83.9,83.08,"1,510,381",04/12/2019,83.59
14,82.98,83.18,82.5,"1,349,733",04/11/2019,82.74
15,82.42,82.75,81.98,"1,400,714",04/10/2019,82.44
16,82.35,83.23,82.23,"1,737,979",04/09/2019,83.23
17,83.68,83.69,82.52,"1,417,887",04/08/2019,83
18,83.25,83.68,83.1,"1,542,861",04/05/2019,83.29
19,83.18,83.24,82.24,"1,917,440",04/04/2019,82.24
20,82.87,83.67,82.47,"2,080,344",04/03/2019,83.15
21,82.64,82.94,82.13,"1,695,697",04/02/2019,82.49
22,82.24,82.39,81.26,"2,080,674",04/01/2019,81.56
23,80.56,80.67,80.2499,"2,173,130",03/29/2019,80.65
24,79.86,80.35,79.235,"1,766,960",03/28/2019,79.85
25,79.37,80.06,78.95,"2,133,359",03/27/2019,79.54
26,79.52,79.92,79.08,"2,062,365",03/26/2019,79.75
27,78.96,79.565,78.62,"2,801,538",03/25/2019,79
28,79.02,81.71,78.86,"3,789,972",03/22/2019,81.51
29,82.01,82.295,80.78,"1,873,043",03/21/2019,80.81
30,81.23,82.15,80.88,"3,259,002",03/20/2019,82.15
31,82.22,82.84,81.83,"2,225,316",03/19/2019,82.59
32,82.1,82.25,80.75,"2,645,530",03/18/2019,80.82
33,80.58,81.42,80.43,"4,940,006",03/15/2019,80.94
34,80.99,81.2,79.9301,"2,449,892",03/14/2019,80.43
35,80.59,81.19,80.28,"2,201,664",03/13/2019,80.71
36,80.36,81.1,80.14,"3,307,176",03/12/2019,81.09
37,80.31,80.37,79.15,"2,146,347",03/11/2019,79.2
38,79.38,79.7,78.76,"2,249,571",03/08/2019,78.86
39,79.93,80.12,78.74,"2,853,473",03/07/2019,80.12
40,80.95,81.34,80.54,"3,900,056",03/06/2019,80.73
41,80.8,81.44,80.68,"3,173,983",03/05/2019,81.15
42,81.3,82.08,80.2,"4,046,814",03/04/2019,81.27
43,80.23,81.36,79.04,"4,009,210",03/01/2019,81.25
44,79.77,80.69,79.7,"2,537,136",02/28/2019,80.66
45,80.64,80.68,79.7,"2,082,711",02/27/2019,80.38
46,80.49,81.2,80.45,"1,554,044",02/26/2019,80.54
47,80.92,81.51,80.71,"2,233,110",02/25/2019,81.51
48,80.79,80.87,79.75,"2,584,225",02/22/2019,80
49,79.69,79.81,79.14,"1,926,085",02/21/2019,79.62
50,79.72,79.78,78.77,"2,211,542",02/20/2019,78.97
51,78.8,79.02,78.049,"2,001,054",02/19/2019,78.31
52,78.73,78.81,77.78,"2,233,251",02/15/2019,77.97
53,77.2,77.84,76.68,"1,706,954",02/14/2019,77.14
54,77.67,77.835,76.86,"2,120,356",02/13/2019,77.07
55,76.67,76.845,76.05,"2,327,715",02/12/2019,76.15
56,75.63,75.98,75.33,"1,785,406",02/11/2019,75.89
57,75.83,76.09,75.12,"1,903,422",02/08/2019,75.86
58,76.36,77.13,75.7,"2,465,912",02/07/2019,76.63
59,76.94,77.46,76.44,"2,474,973",02/06/2019,76.44
60,77.15,77.21,76.5,"2,496,960",02/05/2019,77.11
61,77.1,77.15,76.01,"2,857,607",02/04/2019,76.73
62,76.48,76.58,75.27,"4,149,462",02/01/2019,76.29
63,76.25,76.52,74.46,"6,154,977",01/31/2019,75.21
64,72.88,73.04,70.95,"3,646,912",01/30/2019,72
65,71.11,71.245,69.44,"3,492,987",01/29/2019,69.85
66,69.11,69.84,67.97,"4,635,729",01/28/2019,69.8
