,Date,Open,High,Low,Close,Volume
4,10/31/2018,44.23,44.23,43.53,43.81,"9,030,398"
5,10/30/2018,44.79,44.79,43.93,44.38,"6,306,854"
6,10/29/2018,43.56,44.28,43.56,44.08,"7,000,454"
7,10/26/2018,44.03,44.21,43.24,43.62,"9,369,094"
8,10/25/2018,44.21,44.24,43.5,43.85,"6,165,215"
9,10/24/2018,43.87,44.865,43.59,44.52,"6,010,277"
10,10/23/2018,43.57,43.805,43.2,43.53,"4,566,203"
11,10/22/2018,43.73,43.98,43.4,43.5,"4,663,963"
12,10/19/2018,43.23,44.39,43.15,44.13,"6,371,265"
13,10/18/2018,43.01,43.31,42.8,43.08,"4,357,390"
14,10/17/2018,43.46,43.56,42.83,42.99,"5,078,040"
15,10/16/2018,43.01,43.625,42.89,43.46,"4,888,880"
16,10/15/2018,42.96,43.55,42.83,43.03,"4,381,530"
17,10/12/2018,42.82,43.11,42.44,42.91,"5,587,534"
18,10/11/2018,43.69,43.78,42.5,42.73,"7,272,778"
19,10/10/2018,43.92,44.49,43.55,43.56,"5,605,079"
20,10/09/2018,43.86,44.3601,43.63,44.02,"5,522,229"
21,10/08/2018,43.97,44.21,43.48,44.01,"4,933,394"
22,10/05/2018,43.24,43.96,43.14,43.81,"3,426,225"
23,10/04/2018,43.02,43.325,42.56,43.24,"6,368,526"
24,10/03/2018,43.95,44.07,42.73,43.1,"5,275,593"
25,10/02/2018,43.55,44.205,43.4966,44.01,"4,488,099"
26,10/01/2018,43.46,43.54,43.2,43.41,"4,548,559"
27,09/28/2018,42.93,43.72,42.84,43.66,"6,878,714"
28,09/27/2018,42.24,42.95,42.2,42.81,"5,597,878"
29,09/26/2018,42.69,42.84,42.19,42.2,"5,725,335"
30,09/25/2018,43.29,43.29,42.44,42.58,"5,144,853"
31,09/24/2018,43.59,43.7,43.165,43.2,"4,492,965"
32,09/21/2018,43.3,43.86,43.125,43.65,"9,245,275"
33,09/20/2018,43.17,43.56,42.92,43.39,"6,069,069"
34,09/19/2018,44.27,44.28,42.9499,43.24,"9,961,715"
35,09/18/2018,44.34,44.48,44.025,44.2,"4,426,857"
36,09/17/2018,44.38,44.55,44.17,44.47,"2,952,540"
37,09/14/2018,44.34,44.36,43.84,44.08,"5,193,838"
38,09/13/2018,44.11,44.45,43.86,44.44,"4,179,542"
39,09/12/2018,44.25,44.46,44.06,44.12,"4,665,589"
40,09/11/2018,44.29,44.48,43.97,44.2,"5,325,269"
41,09/10/2018,44.27,44.85,44.17,44.62,"4,934,836"
42,09/07/2018,44.11,44.44,43.86,44.07,"4,571,685"
43,09/06/2018,44.45,44.58,44.18,44.36,"6,306,103"
44,09/05/2018,44.04,44.38,43.99,44.2,"7,031,233"
45,09/04/2018,44.09,44.13,43.85,43.99,"3,113,043"
46,08/31/2018,43.93,44.05,43.45,43.71,"6,418,440"
47,08/30/2018,43.89,44.1286,43.75,43.94,"2,865,944"
48,08/29/2018,43.84,43.94,43.58,43.82,"2,981,622"
49,08/28/2018,43.52,43.6,43.27,43.4,"4,427,223"
50,08/27/2018,44.12,44.18,43.415,43.65,"2,691,167"
51,08/24/2018,43.92,44.08,43.605,44.03,"3,371,169"
52,08/23/2018,43.92,44.23,43.78,43.9,"3,360,810"
53,08/22/2018,44.2,44.2,43.63,43.93,"2,984,666"
54,08/21/2018,44.32,44.3609,43.82,44.09,"4,348,098"
55,08/20/2018,44.29,44.49,44.09,44.26,"6,318,609"
56,08/17/2018,44.3,45.05,44.24,44.53,"7,729,165"
57,08/16/2018,43.62,44.44,43.57,44.33,"7,439,295"
58,08/15/2018,43.44,43.97,43.38,43.63,"5,868,447"
59,08/14/2018,43.06,43.52,43.0001,43.35,"4,348,973"
60,08/13/2018,43.17,43.37,43.01,43.31,"4,429,790"
61,08/10/2018,43.47,43.74,43.06,43.13,"4,462,333"
62,08/09/2018,42.87,43.43,42.75,43.37,"4,556,189"
63,08/08/2018,42.7,42.92,42.5,42.85,"3,428,758"
64,08/07/2018,42.66,42.96,42.25,42.77,"5,587,525"
65,08/06/2018,42.44,42.78,42.37,42.61,"3,964,249"
66,08/03/2018,42.36,42.645,42.14,42.49,"4,424,854"
67,08/02/2018,42.16,42.88,41.96,42.29,"5,087,362"
68,08/01/2018,42.18,42.21,41.72,42.0,"5,461,399"
69,07/31/2018,41.96,42.52,41.73,42.5,"8,365,236"
