,Date,Open,High,Low,Close,Volume
4,65.82,66.59,65.67,"2,027,179",04/03/2019,66.17
5,66.01,66.11,65.57,"1,537,965",04/02/2019,65.78
6,65.79,65.86,64.53,"2,102,305",04/01/2019,64.95
7,64.31,64.54,63.83,"1,863,807",03/29/2019,63.99
8,63.51,63.645,62.71,"1,224,307",03/28/2019,62.82
9,62.72,62.85,61.955,"1,117,540",03/27/2019,62.43
10,62.32,62.37,61.71,"929,000",03/26/2019,62.23
11,61.9,62.24,61.56,"1,115,850",03/25/2019,61.77
12,61.7,63.79,61.66,"1,700,439",03/22/2019,63.47
13,63.88,63.97,62.27,"1,230,788",03/21/2019,62.55
14,62.63,63.22,62.07,"1,878,251",03/20/2019,62.45
15,62.63,63.6293,62.29,"1,495,516",03/19/2019,63.46
16,63.16,63.19,62.35,"1,308,023",03/18/2019,62.35
17,62.28,62.6828,62.03,"2,739,576",03/15/2019,62.16
18,62.19,62.64,61.89,"1,399,273",03/14/2019,62.56
19,62.68,62.81,62.17,"1,662,658",03/13/2019,62.2
20,62.17,62.37,61.56,"1,361,038",03/12/2019,61.91
21,61.72,61.8,61.4,"1,628,138",03/11/2019,61.43
22,61.43,61.6,60.58,"1,885,731",03/08/2019,61.09
23,61.52,62.0113,61.0,"2,159,209",03/07/2019,61.94
24,62.03,62.35,61.83,"1,338,455",03/06/2019,61.89
25,61.97,62.69,61.94,"1,502,729",03/05/2019,62.69
26,62.65,62.69,61.75,"2,198,668",03/04/2019,62.23
27,62.23,63.63,61.79,"2,785,546",03/01/2019,63.37
28,62.94,63.5,62.85,"1,889,375",02/28/2019,63.5
29,63.52,63.72,62.18,"2,064,753",02/27/2019,62.52
30,62.81,63.35,62.73,"1,449,203",02/26/2019,62.92
31,62.9,63.02,62.67,"1,118,026",02/25/2019,62.99
32,62.66,63.0,62.46,"1,289,377",02/22/2019,62.81
33,62.45,62.835,62.0,"1,893,082",02/21/2019,62.12
34,62.1,62.57,61.71,"2,388,119",02/20/2019,62.43
35,62.46,62.8834,62.32,"2,679,075",02/19/2019,62.68
36,62.97,63.14,62.47,"1,788,808",02/15/2019,62.95
37,62.37,62.93,62.02,"2,046,480",02/14/2019,62.62
38,63.01,63.285,62.61,"2,054,462",02/13/2019,63.0
39,62.86,63.065,61.54,"3,214,998",02/12/2019,61.54
40,61.87,61.9,60.95,"2,410,363",02/11/2019,60.95
41,60.68,60.91,59.81,"2,670,328",02/08/2019,60.38
42,60.75,61.53,60.2801,"3,000,934",02/07/2019,61.17
43,61.52,62.12,61.2086,"2,126,012",02/06/2019,61.35
44,61.62,61.65,60.03,"1,873,825",02/05/2019,60.03
45,61.42,61.42,60.37,"1,881,613",02/04/2019,60.73
46,60.55,61.2,60.05,"2,859,723",02/01/2019,60.73
47,60.46,60.86,59.8,"8,747,466",01/31/2019,60.14
48,60.19,60.525,59.32,"2,264,839",01/30/2019,59.87
49,59.97,60.29,59.4,"2,380,761",01/29/2019,59.6
50,59.39,59.7,58.39,"3,804,777",01/28/2019,58.8
51,59.53,59.77,59.1,"2,564,603",01/25/2019,59.28
52,58.81,59.22,58.363,"3,242,341",01/24/2019,58.95
53,58.9,59.78,58.36,"2,964,049",01/23/2019,58.45
54,59.1,59.66,58.68,"4,730,254",01/22/2019,58.71
55,59.35,59.38,57.62,"5,083,612",01/18/2019,57.99
56,57.34,57.5942,54.88,"6,361,414",01/17/2019,55.45
57,54.12,55.19,54.02,"3,784,182",01/16/2019,54.74
58,54.59,54.92,54.0,"2,246,342",01/15/2019,54.08
59,54.07,54.86,54.05,"2,497,986",01/14/2019,54.5
60,54.84,54.965,54.19,"1,641,274",01/11/2019,54.28
61,54.48,54.609,53.32,"1,965,739",01/10/2019,53.51
62,53.89,54.68,53.26,"2,818,383",01/09/2019,54.1
63,53.74,53.79,52.09,"2,601,756",01/08/2019,52.91
64,52.38,53.06,51.2,"3,544,554",01/07/2019,51.52
65,52.0,52.37,50.69,"2,242,565",01/04/2019,50.91
66,49.95,51.41,49.69,"3,463,920",01/03/2019,50.95
