,Date,Open,High,Low,Close,Volume
4,10/26/2018,145.82,149,143.8,145.37,"31,235,150"
5,10/25/2018,147.73,152.21,147,150.95,"22,000,170"
6,10/24/2018,154.28,154.65,145.6,146.04,"27,574,300"
7,10/23/2018,151.22,154.77,150.85,154.39,"19,066,360"
8,10/22/2018,154.76,157.34,154.46,154.78,"15,381,630"
9,10/19/2018,155.86,157.35,153.55,154.05,"19,636,460"
10,10/18/2018,158.51,158.66,153.28,154.92,"21,123,820"
11,10/17/2018,159.56,160.49,157.95,159.42,"17,307,030"
12,10/16/2018,155.4,159.46,155.01,158.78,"18,711,620"
13,10/15/2018,153.32,155.57,152.55,153.52,"15,194,060"
14,10/12/2018,156.73,156.89,151.2998,153.74,"25,209,770"
15,10/11/2018,150.13,154.81,149.16,153.35,"35,225,150"
16,10/10/2018,156.82,157.69,151.31,151.38,"30,143,210"
17,10/09/2018,157.69,160.59,157.42,157.9,"18,494,270"
18,10/08/2018,155.54,158.34,154.39,157.25,"23,825,100"
19,10/05/2018,159.21,160.9,156.2,157.33,"25,727,470"
20,10/04/2018,161.46,161.46,157.35,158.85,"25,707,300"
21,10/03/2018,160,163.66,159.53,162.43,"23,086,120"
22,10/02/2018,161.58,162.28,158.67,159.33,"35,303,190"
23,10/01/2018,163.03,165.88,161.26,162.44,"26,260,420"
24,09/28/2018,168.33,168.79,162.56,164.46,"33,786,480"
25,09/27/2018,167.55,171.77,167.21,168.84,"27,192,570"
26,09/26/2018,164.3,169.3,164.21,166.95,"24,271,500"
27,09/25/2018,161.99,165.59,161.15,164.91,"27,430,470"
28,09/24/2018,161.03,165.7,160.88,165.41,"18,907,320"
29,09/21/2018,166.64,167.25,162.81,162.93,"45,847,680"
30,09/20/2018,164.5,166.45,164.4722,166.02,"18,812,060"
31,09/19/2018,160.08,163.44,159.48,163.06,"19,568,020"
32,09/18/2018,159.39,161.7639,158.8656,160.3,"22,331,470"
33,09/17/2018,161.92,162.06,159.77,160.58,"20,951,950"
34,09/14/2018,161.715,162.84,160.34,162.32,"21,682,850"
35,09/13/2018,162,163.32,160.86,161.36,"25,376,900"
36,09/12/2018,163.25,164.49,161.8,162,"24,033,850"
37,09/11/2018,163.94,167.19,163.72,165.94,"20,285,090"
38,09/10/2018,163.51,165.01,162.16,164.18,"19,896,190"
39,09/07/2018,160.31,164.6269,160.16,163.04,"24,151,910"
40,09/06/2018,166.98,166.98,160,162.53,"41,418,330"
41,09/05/2018,169.49,171.125,166.67,167.18,"31,191,210"
42,09/04/2018,173.5,173.89,168.8,171.16,"29,460,630"
43,08/31/2018,177.15,177.62,174.9815,175.73,"18,025,110"
44,08/30/2018,175.9,179.7901,175.7,177.64,"24,105,390"
45,08/29/2018,176.295,176.79,174.75,175.9,"18,357,780"
46,08/28/2018,178.1,178.2399,175.83,176.26,"15,720,690"
47,08/27/2018,175.99,178.67,175.79,177.46,"17,853,600"
48,08/24/2018,173.7,174.82,172.92,174.645,"14,519,920"
49,08/23/2018,173.09,175.55,172.83,172.9,"17,945,260"
50,08/22/2018,172.21,174.24,172.13,173.64,"16,760,320"
51,08/21/2018,172.81,174.17,171.39,172.62,"19,475,690"
52,08/20/2018,174.04,174.57,170.91,172.5,"21,449,120"
53,08/17/2018,174.5,176.22,172.04,173.8,"24,819,470"
54,08/16/2018,180.42,180.5,174.01,174.7,"31,161,240"
55,08/15/2018,179.34,180.87,174.78,179.53,"32,658,240"
56,08/14/2018,180.71,181.99,178.62,181.11,"18,961,200"
57,08/13/2018,180.1,182.61,178.9,180.05,"17,349,150"
58,08/10/2018,182.04,182.1,179.42,180.26,"21,467,940"
59,08/09/2018,185.849,186.57,182.48,183.09,"19,652,850"
60,08/08/2018,184.75,186.85,183.76,185.18,"22,178,460"
61,08/07/2018,186.5,188.3,183.72,183.81,"33,127,670"
62,08/06/2018,178.97,185.79,178.38,185.69,"49,600,350"
63,08/03/2018,177.69,178.85,176.15,177.78,"24,730,780"
64,08/02/2018,170.68,176.79,170.27,176.37,"32,235,750"
65,08/01/2018,173.93,175.08,170.9,171.65,"33,979,910"
66,07/31/2018,170.67,174.24,170,172.58,"40,213,830"
67,07/30/2018,175.3,175.3,166.56,171.06,"65,129,810"
68,07/27/2018,179.87,179.93,173,174.89,"59,700,640"
69,07/26/2018,174.89,180.13,173.75,176.26,"169,059,900"
